gram,counts,date
covid 19,141553,2020-08-01
19 cases,6160,2020-08-01
coronavirus cases,5056,2020-08-01
coronavirus pandemic,4670,2020-08-01
coronavirus covid19,4481,2020-08-01
19 pandemic,3753,2020-08-01
covid19 coronavirus,3622,2020-08-01
positive covid,3496,2020-08-01
new cases,3435,2020-08-01
positive coronavirus,3315,2020-08-01
19 vaccine,2775,2020-08-01
tests positive,2680,2020-08-01
casos covid,2544,2020-08-01
dr fauci,2524,2020-08-01
coronavirus deaths,2451,2020-08-01
nuevos casos,2437,2020-08-01
tested positive,2402,2020-08-01
death toll,2236,2020-08-01
via youtube,2194,2020-08-01
social distancing,2185,2020-08-01
new coronavirus,2145,2020-08-01
test positive,2130,2020-08-01
coronavirus vaccine,2103,2020-08-01
new covid,2073,2020-08-01
19 deaths,2064,2020-08-01
wear mask,2024,2020-08-01
public health,1942,2020-08-01
new york,1923,2020-08-01
casos coronavirus,1905,2020-08-01
covid19 cases,1811,2020-08-01
due covid,1756,2020-08-01
19 patients,1746,2020-08-01
coronavirus covid,1735,2020-08-01
covid19 pandemic,1637,2020-08-01
donald trump,1584,2020-08-01
24 horas,1579,2020-08-01
bbc news,1522,2020-08-01
united states,1515,2020-08-01
news coronavirus,1510,2020-08-01
white house,1478,2020-08-01
19 via,1409,2020-08-01
hong kong,1337,2020-08-01
nursing homes,1318,2020-08-01
24 hours,1310,2020-08-01
spread covid,1290,2020-08-01
coronavirus outbreak,1283,2020-08-01
blue states,1280,2020-08-01
first day,1274,2020-08-01
summer camp,1256,2020-08-01
vacuna covid,1255,2020-08-01
gon na,1237,2020-08-01
casos positivos,1234,2020-08-01
pandemia covid,1230,2020-08-01
últimas 24,1218,2020-08-01
19 test,1213,2020-08-01
many people,1200,2020-08-01
casos confirmados,1181,2020-08-01
19 testing,1180,2020-08-01
19 death,1168,2020-08-01
coronavirus restrictions,1155,2020-08-01
coronavirus lockdown,1132,2020-08-01
pandemia coronavirus,1127,2020-08-01
due coronavirus,1126,2020-08-01
sars cov,1097,2020-08-01
cases covid,1090,2020-08-01
wearing mask,1079,2020-08-01
coronavirus relief,1077,2020-08-01
wear masks,1075,2020-08-01
india mitega,1065,2020-08-01
south africa,1046,2020-08-01
150 000,1036,2020-08-01
spread coronavirus,1020,2020-08-01
confirmed cases,1020,2020-08-01
due covid19,1014,2020-08-01
positive cases,973,2020-08-01
schools reopen,965,2020-08-01
coronavirus infected,964,2020-08-01
york times,957,2020-08-01
back school,957,2020-08-01
01 08,954,2020-08-01
student tests,951,2020-08-01
active cases,937,2020-08-01
mitega india,934,2020-08-01
bill gates,924,2020-08-01
anthony fauci,902,2020-08-01
19 outbreak,897,2020-08-01
long term,890,2020-08-01
august 2020,889,2020-08-01
indiana student,882,2020-08-01
coronavirus via,867,2020-08-01
us covid,863,2020-08-01
tik tok,857,2020-08-01
stay safe,853,2020-08-01
total cases,853,2020-08-01
coronavirus update,850,2020-08-01
death rate,843,2020-08-01
covid_19 coronavirus,842,2020-08-01
wearing masks,837,2020-08-01
da covid,837,2020-08-01
novel coronavirus,836,2020-08-01
health care,836,2020-08-01
herman cain,834,2020-08-01
live updates,831,2020-08-01
fight covid,831,2020-08-01
looks like,826,2020-08-01
via gatewaypundit,824,2020-08-01
500 000,823,2020-08-01
immigrantsdiewhendurbinlies unblocks386,813,2020-08-01
stay home,810,2020-08-01
amid covid,803,2020-08-01
cases coronavirus,803,2020-08-01
coronavirus creeps,802,2020-08-01
died covid,800,2020-08-01
day school,800,2020-08-01
school reopens,799,2020-08-01
spread covid19,798,2020-08-01
amid coronavirus,793,2020-08-01
muertes covid,785,2020-08-01
in person,782,2020-08-01
get covid,779,2020-08-01
coronavirus death,772,2020-08-01
19 restrictions,772,2020-08-01
last 24,771,2020-08-01
year old,767,2020-08-01
reopens coronavirus,764,2020-08-01
mass vaccination,763,2020-08-01
new deaths,759,2020-08-01
19 tests,757,2020-08-01
thousands protest,750,2020-08-01
corona virus,746,2020-08-01
pandemia covid19,741,2020-08-01
new covid19,739,2020-08-01
people died,727,2020-08-01
school indiana,726,2020-08-01
single day,723,2020-08-01
unblocks386 dickdurbin,723,2020-08-01
19 di,721,2020-08-01
gt gt,717,2020-08-01
coronavirus testing,716,2020-08-01
positivo covid,715,2020-08-01
casos covid19,710,2020-08-01
sa mga,695,2020-08-01
president trump,693,2020-08-01
pruebas clínicas,693,2020-08-01
thousands march,693,2020-08-01
contact tracing,691,2020-08-01
19 crisis,688,2020-08-01
casos nuevos,688,2020-08-01
go back,687,2020-08-01
coronavirus crisis,686,2020-08-01
coronavirus covid_19,681,2020-08-01
testing positive,676,2020-08-01
test results,675,2020-08-01
face masks,675,2020-08-01
19 relief,670,2020-08-01
trump administration,668,2020-08-01
every day,666,2020-08-01
contagios covid,665,2020-08-01
may need,665,2020-08-01
march berlin,661,2020-08-01
coronavirus response,660,2020-08-01
people coronavirus,655,2020-08-01
fake news,654,2020-08-01
face mask,651,2020-08-01
georgia summer,649,2020-08-01
agosto 2020,648,2020-08-01
july 31,647,2020-08-01
coronavirus live,647,2020-08-01
vacuna coronavirus,646,2020-08-01
third highest,641,2020-08-01
000 americans,641,2020-08-01
experts say,640,2020-08-01
pubs may,633,2020-08-01
covid19 deaths,628,2020-08-01
patients nursing,625,2020-08-01
cases deaths,625,2020-08-01
top story,624,2020-08-01
19 response,622,2020-08-01
social media,622,2020-08-01
berlin protest,622,2020-08-01
000 people,619,2020-08-01
ban tiktok,618,2020-08-01
allow schools,615,2020-08-01
grijalva tests,614,2020-08-01
positive covid19,613,2020-08-01
19 virus,612,2020-08-01
medical experts,611,2020-08-01
coronavirus argentina,606,2020-08-01
second wave,604,2020-08-01
need shut,603,2020-08-01
19 coronavirus,600,2020-08-01
save lives,596,2020-08-01
covid19 covid_19,592,2020-08-01
