gram,counts,date
covid 19,157651,2020-06-06
19 cases,5615,2020-06-06
coronavirus covid19,5570,2020-06-06
coronavirus pandemic,5394,2020-06-06
coronavirus cases,5284,2020-06-06
19 pandemic,4884,2020-06-06
new cases,4802,2020-06-06
covid19 coronavirus,4496,2020-06-06
da saúde,4449,2020-06-06
social distancing,4286,2020-06-06
da covid,3828,2020-06-06
ministério da,3273,2020-06-06
casos covid,2891,2020-06-06
19 patients,2636,2020-06-06
nuevos casos,2600,2020-06-06
due covid,2581,2020-06-06
george floyd,2548,2020-06-06
death toll,2483,2020-06-06
lives matter,2412,2020-06-06
covid19 cases,2267,2020-06-06
second wave,2251,2020-06-06
black lives,2225,2020-06-06
new york,2218,2020-06-06
new coronavirus,2217,2020-06-06
coronavirus covid,2212,2020-06-06
covid19 pandemic,2202,2020-06-06
casos coronavirus,2145,2020-06-06
meaning behind,2133,2020-06-06
public health,2122,2020-06-06
new covid,2059,2020-06-06
porn usa,1931,2020-06-06
casos confirmados,1888,2020-06-06
stay home,1856,2020-06-06
bbc news,1847,2020-06-06
due covid19,1809,2020-06-06
24 hours,1800,2020-06-06
24 horas,1788,2020-06-06
wear mask,1768,2020-06-06
news coronavirus,1716,2020-06-06
via youtube,1713,2020-06-06
cashless society,1677,2020-06-06
due coronavirus,1643,2020-06-06
coronavirus lockdown,1614,2020-06-06
face masks,1596,2020-06-06
coronavirus deaths,1585,2020-06-06
june 2020,1568,2020-06-06
wear masks,1546,2020-06-06
19 deaths,1542,2020-06-06
19 crisis,1542,2020-06-06
pandemia covid,1493,2020-06-06
pandemia coronavirus,1450,2020-06-06
must read,1447,2020-06-06
coronavirus outbreak,1444,2020-06-06
hidden meaning,1438,2020-06-06
rfid microchip,1422,2020-06-06
microchip mark,1406,2020-06-06
06 2020,1406,2020-06-06
mark beast,1404,2020-06-06
06 06,1385,2020-06-06
mortes covid,1354,2020-06-06
cases covid,1347,2020-06-06
tested positive,1329,2020-06-06
stay safe,1316,2020-06-06
confirmed cases,1314,2020-06-06
new normal,1305,2020-06-06
19 via,1298,2020-06-06
últimas 24,1263,2020-06-06
corona virus,1262,2020-06-06
coronavirus crisis,1238,2020-06-06
spread coronavirus,1234,2020-06-06
casos positivos,1221,2020-06-06
