gram,counts,date
covid 19,177752,2020-09-02
19 pandemic,6424,2020-09-02
19 vaccine,5591,2020-09-02
19 cases,5454,2020-09-02
positive covid,4706,2020-09-02
coronavirus pandemic,4549,2020-09-02
coronavirus covid19,4517,2020-09-02
protokol kesehatan,4059,2020-09-02
tested positive,4038,2020-09-02
19 patients,3939,2020-09-02
covid19 coronavirus,3793,2020-09-02
coronavirus cases,3781,2020-09-02
coronavirus vaccine,3696,2020-09-02
new cases,3415,2020-09-02
white house,2749,2020-09-02
penyebaran covid,2650,2020-09-02
nuevos casos,2540,2020-09-02
19 polrisukseskan3m,2515,2020-09-02
positivo coronavirus,2495,2020-09-02
covid19 pandemic,2451,2020-09-02
due covid,2450,2020-09-02
positive coronavirus,2418,2020-09-02
19 death,2281,2020-09-02
19 jagakesehatanjaga3m,2216,2020-09-02
casos covid,2159,2020-09-02
pandemi covid,2106,2020-09-02
test positive,2098,2020-09-02
19 deaths,2082,2020-09-02
new covid,2075,2020-09-02
social distancing,2053,2020-09-02
lawan covid,2049,2020-09-02
new coronavirus,2038,2020-09-02
public health,2015,2020-09-02
wear mask,1941,2020-09-02
motorcycle rally,1931,2020-09-02
thearieair tjhinfar21,1920,2020-09-02
1trenggalek thearieair,1899,2020-09-02
sturgis motorcycle,1893,2020-09-02
new york,1886,2020-09-02
tests positive,1828,2020-09-02
ill covid,1828,2020-09-02
positivo covid,1779,2020-09-02
casos coronavirus,1770,2020-09-02
silvio berlusconi,1752,2020-09-02
nancy pelosi,1722,2020-09-02
kirk cousins,1702,2020-09-02
dwayne johnson,1680,2020-09-02
died covid,1607,2020-09-02
coronavirus covid,1604,2020-09-02
via youtube,1600,2020-09-02
september 2020,1538,2020-09-02
severely ill,1537,2020-09-02
covid19 cases,1528,2020-09-02
donald trump,1524,2020-09-02
24 horas,1516,2020-09-02
united states,1509,2020-09-02
herd immunity,1504,2020-09-02
terhindar dari,1494,2020-09-02
death toll,1473,2020-09-02
states prepare,1471,2020-09-02
first covid,1440,2020-09-02
coronavirus deaths,1413,2020-09-02
19 testing,1413,2020-09-02
di maría,1385,2020-09-02
casos positivos,1380,2020-09-02
dari paparan,1375,2020-09-02
gon na,1369,2020-09-02
virus corona,1363,2020-09-02
family tested,1363,2020-09-02
due covid19,1360,2020-09-02
due coronavirus,1358,2020-09-02
19 di,1349,2020-09-02
19 ini,1335,2020-09-02
19 via,1335,2020-09-02
di tengah,1323,2020-09-02
steroids reduce,1323,2020-09-02
live updates,1322,2020-09-02
amid covid,1306,2020-09-02
linked sturgis,1305,2020-09-02
tengah pandemi,1286,2020-09-02
joe biden,1277,2020-09-02
agar terhindar,1261,2020-09-02
kesehatan jagakesehatanjaga3m,1255,2020-09-02
tjhinfar21 1802_kimmi,1243,2020-09-02
pencegahan covid,1223,2020-09-02
cases covid,1218,2020-09-02
19 vaccines,1205,2020-09-02
últimas 24,1192,2020-09-02
research finds,1185,2020-09-02
death linked,1181,2020-09-02
widely available,1180,2020-09-02
dio positivo,1170,2020-09-02
rally reported,1159,2020-09-02
trump administration,1154,2020-09-02
active cases,1131,2020-09-02
neymar di,1129,2020-09-02
health officials,1126,2020-09-02
tells states,1117,2020-09-02
terapkan protokol,1113,2020-09-02
19 test,1112,2020-09-02
wearing mask,1093,2020-09-02
available steroids,1093,2020-09-02
patients research,1090,2020-09-02
corona yuk,1084,2020-09-02
pastikan tanganmu,1084,2020-09-02
tanganmu selalu,1084,2020-09-02
selalu bersih,1084,2020-09-02
reduce mortality,1081,2020-09-02
reported minnesota,1080,2020-09-02
coronavirus lockdown,1076,2020-09-02
cegah covid,1075,2020-09-02
yuk lawan,1073,2020-09-02
19 terapkan,1073,2020-09-02
dari covid,1069,2020-09-02
polri di,1065,2020-09-02
02 09,1064,2020-09-02
paparan virus,1062,2020-09-02
bersih agar,1061,2020-09-02
ini pastikan,1056,2020-09-02
long term,1054,2020-09-02
people died,1051,2020-09-02
coronavirus live,1049,2020-09-02
19 crisis,1045,2020-09-02
covid19 vaccine,1044,2020-09-02
spread covid,1041,2020-09-02
coronavirus death,1039,2020-09-02
save lives,1036,2020-09-02
many people,1034,2020-09-02
sobat polri,1034,2020-09-02
effort develop,1032,2020-09-02
mortality severely,1028,2020-09-02
da covid,1027,2020-09-02
casos confirmados,1025,2020-09-02
news coronavirus,1019,2020-09-02
san francisco,1015,2020-09-02
first time,1009,2020-09-02
rock johnson,1007,2020-09-02
sars cov,1005,2020-09-02
gt gt,1003,2020-09-02
19 outbreak,989,2020-09-02
000 americans,984,2020-09-02
di maria,979,2020-09-02
deaths covid,973,2020-09-02
back school,963,2020-09-02
johnson family,962,2020-09-02
global effort,959,2020-09-02
185 000,954,2020-09-02
join global,952,2020-09-02
pandemia coronavirus,951,2020-09-02
patricia bullrich,947,2020-09-02
berlusconi positivo,943,2020-09-02
24 hours,942,2020-09-02
patuhi protokol,937,2020-09-02
hair salon,936,2020-09-02
mencegah penyebaran,933,2020-09-02
confirmed cases,924,2020-09-02
pandemia covid19,922,2020-09-02
vacuna covid,917,2020-09-02
positive covid19,908,2020-09-02
contact tracing,896,2020-09-02
impact covid,889,2020-09-02
president trump,889,2020-09-02
health care,888,2020-09-02
000 people,884,2020-09-02
1trenggalek pencegahan,876,2020-09-02
