gram,counts,date
covid 19,204060,2020-07-16
19 cases,9442,2020-07-16
coronavirus cases,8044,2020-07-16
19 pandemic,7356,2020-07-16
coronavirus covid19,7151,2020-07-16
19 vaccine,6974,2020-07-16
covid19 coronavirus,6519,2020-07-16
coronavirus pandemic,6230,2020-07-16
coronavirus vaccine,6016,2020-07-16
new cases,5492,2020-07-16
wear mask,5058,2020-07-16
tested positive,4318,2020-07-16
trump administration,4258,2020-07-16
positive covid,3809,2020-07-16
vaccine research,3806,2020-07-16
white house,3669,2020-07-16
covid19 pandemic,3385,2020-07-16
coronavirus data,3360,2020-07-16
public health,3151,2020-07-16
covid19 cases,3142,2020-07-16
casos covid,3089,2020-07-16
nuevos casos,2943,2020-07-16
russian hackers,2874,2020-07-16
new york,2796,2020-07-16
new covid,2779,2020-07-16
due covid,2647,2020-07-16
positive coronavirus,2606,2020-07-16
wearing mask,2604,2020-07-16
casos coronavirus,2547,2020-07-16
wear masks,2542,2020-07-16
19 data,2509,2020-07-16
via youtube,2503,2020-07-16
new coronavirus,2440,2020-07-16
social distancing,2419,2020-07-16
united states,2336,2020-07-16
trying steal,2282,2020-07-16
coronavirus covid,2278,2020-07-16
19 deaths,2237,2020-07-16
19 patients,2143,2020-07-16
homenaje víctimas,2105,2020-07-16
tests positive,2088,2020-07-16
july 16,2028,2020-07-16
19 crisis,1979,2020-07-16
gon na,1955,2020-07-16
24 horas,1944,2020-07-16
test positive,1942,2020-07-16
face masks,1913,2020-07-16
live updates,1903,2020-07-16
wearing masks,1846,2020-07-16
cases covid,1827,2020-07-16
death toll,1770,2020-07-16
spread coronavirus,1755,2020-07-16
19 testing,1754,2020-07-16
coronavirus deaths,1714,2020-07-16
due coronavirus,1699,2020-07-16
chuck woolery,1665,2020-07-16
coronavirus testing,1639,2020-07-16
single day,1633,2020-07-16
stay home,1625,2020-07-16
24 hours,1623,2020-07-16
coronavirus crisis,1613,2020-07-16
spread covid,1611,2020-07-16
donald trump,1594,2020-07-16
due covid19,1591,2020-07-16
19 via,1559,2020-07-16
back school,1556,2020-07-16
amid covid,1554,2020-07-16
19 test,1545,2020-07-16
many people,1539,2020-07-16
bbc news,1538,2020-07-16
brian kemp,1538,2020-07-16
news coronavirus,1518,2020-07-16
19 response,1501,2020-07-16
16 julio,1498,2020-07-16
steal coronavirus,1484,2020-07-16
casos confirmados,1479,2020-07-16
control cdc,1475,2020-07-16
long term,1473,2020-07-16
shifted control,1441,2020-07-16
coronavirus outbreak,1440,2020-07-16
gop governor,1438,2020-07-16
vacuna covid,1420,2020-07-16
dr fauci,1407,2020-07-16
positive cases,1392,2020-07-16
administration shifted,1388,2020-07-16
confirmed cases,1384,2020-07-16
health care,1377,2020-07-16
16 2020,1372,2020-07-16
últimas 24,1360,2020-07-16
disappeared trump,1346,2020-07-16
coronavirus response,1345,2020-07-16
pandemia coronavirus,1338,2020-07-16
da covid,1335,2020-07-16
us canada,1335,2020-07-16
19 research,1331,2020-07-16
casos positivos,1325,2020-07-16
hong kong,1319,2020-07-16
coronavirus live,1312,2020-07-16
positivo covid,1306,2020-07-16
spread covid19,1291,2020-07-16
amid coronavirus,1290,2020-07-16
go back,1284,2020-07-16
sars cov,1278,2020-07-16
face mask,1278,2020-07-16
mask mandate,1277,2020-07-16
uk us,1276,2020-07-16
mask mandates,1273,2020-07-16
active cases,1271,2020-07-16
coronavirus via,1271,2020-07-16
new deaths,1270,2020-07-16
nursing homes,1260,2020-07-16
19 outbreak,1243,2020-07-16
16 07,1241,2020-07-16
covid19 vaccine,1232,2020-07-16
looks like,1229,2020-07-16
test results,1214,2020-07-16
pandemia covid,1213,2020-07-16
covid19 crisis,1209,2020-07-16
gt gt,1198,2020-07-16
víctimas coronavirus,1186,2020-07-16
target covid,1185,2020-07-16
year old,1179,2020-07-16
vacuna coronavirus,1128,2020-07-16
impact covid,1127,2020-07-16
pandemia covid19,1122,2020-07-16
covid19 covid,1118,2020-07-16
death rate,1117,2020-07-16
one day,1114,2020-07-16
mental health,1106,2020-07-16
georgia governor,1102,2020-07-16
stay safe,1100,2020-07-16
19 di,1093,2020-07-16
coronavirus lockdown,1086,2020-07-16
víctimas covid,1082,2020-07-16
whitehouse realdonaldtrump,1080,2020-07-16
19 relief,1074,2020-07-16
19 positive,1071,2020-07-16
herd immunity,1070,2020-07-16
president trump,1067,2020-07-16
19 tests,1067,2020-07-16
new covid19,1063,2020-07-16
show host,1061,2020-07-16
state coronavirus,1059,2020-07-16
100 000,1058,2020-07-16
game show,1056,2020-07-16
hospital data,1052,2020-07-16
19 death,1040,2020-07-16
every day,1037,2020-07-16
cases coronavirus,1031,2020-07-16
good news,1027,2020-07-16
data already,1027,2020-07-16
fox news,1020,2020-07-16
people died,1013,2020-07-16
pandemi covid,1011,2020-07-16
positive covid19,1010,2020-07-16
larry hogan,1008,2020-07-16
first time,1007,2020-07-16
bill gates,1005,2020-07-16
trump coronavirus,1005,2020-07-16
get covid,991,2020-07-16
us uk,989,2020-07-16
protokol kesehatan,985,2020-07-16
steal covid,979,2020-07-16
already disappeared,972,2020-07-16
fight covid,971,2020-07-16
save lives,968,2020-07-16
help state,964,2020-07-16
novel coronavirus,958,2020-07-16
casos covid19,946,2020-07-16
trump help,946,2020-07-16
washington post,945,2020-07-16
july 2020,935,2020-07-16
make sure,931,2020-07-16
07 2020,928,2020-07-16
second wave,927,2020-07-16
impact covid19,926,2020-07-16
georgia gov,922,2020-07-16
corona virus,921,2020-07-16
cases reported,918,2020-07-16
covid coronavirus,918,2020-07-16
víctimas covid19,915,2020-07-16
data cdc,913,2020-07-16
uk canada,911,2020-07-16
cases deaths,892,2020-07-16
young people,891,2020-07-16
russia trying,888,2020-07-16
south africa,886,2020-07-16
cities counties,884,2020-07-16
last 24,883,2020-07-16
around world,882,2020-07-16
research centers,882,2020-07-16
contagios covid,881,2020-07-16
140 000,877,2020-07-16
face coverings,876,2020-07-16
total cases,875,2020-07-16
stand way,875,2020-07-16
requiring masks,869,2020-07-16
coronavirus update,868,2020-07-16
post covid,862,2020-07-16
fake news,860,2020-07-16
gov brian,859,2020-07-16
york times,857,2020-07-16
coronavirus test,855,2020-07-16
russian cyberattacks,849,2020-07-16
positivo coronavirus,846,2020-07-16
julio 2020,842,2020-07-16
million coronavirus,842,2020-07-16
cyberattacks covid,842,2020-07-16
19 coronavirus,841,2020-07-16
000 people,840,2020-07-16
contact tracing,840,2020-07-16
covid19 data,840,2020-07-16
coronavirus numbers,834,2020-07-16
casos nuevos,833,2020-07-16
health officials,832,2020-07-16
died covid,828,2020-07-16
tested covid,826,2020-07-16
people dying,825,2020-07-16
cases rise,823,2020-07-16
help us,822,2020-07-16
last week,819,2020-07-16
19 vaccines,818,2020-07-16
mask wearing,812,2020-07-16
19 infections,812,2020-07-16
covid19 deaths,812,2020-07-16
people die,810,2020-07-16
us coronavirus,810,2020-07-16
19 virus,809,2020-07-16
covid covid19,806,2020-07-16
000 deaths,805,2020-07-16
000 new,800,2020-07-16
response covid,799,2020-07-16
pacientes covid,793,2020-07-16
wear face,790,2020-07-16
covid_19 coronavirus,789,2020-07-16
open schools,788,2020-07-16
000 covid,785,2020-07-16
anthony fauci,780,2020-07-16
department health,780,2020-07-16
wash hands,779,2020-07-16
task force,778,2020-07-16
global pandemic,777,2020-07-16
dio positivo,777,2020-07-16
next week,776,2020-07-16
covid19 covid_19,775,2020-07-16
fight coronavirus,775,2020-07-16
join us,769,2020-07-16
governor trump,766,2020-07-16
hackers target,763,2020-07-16
19 update,757,2020-07-16
reino unido,757,2020-07-16
coronavirus russian,757,2020-07-16
people wear,756,2020-07-16
science stand,756,2020-07-16
total number,754,2020-07-16
coronavirus argentina,754,2020-07-16
fight covid19,752,2020-07-16
slow spread,746,2020-07-16
health department,743,2020-07-16
canada say,737,2020-07-16
twitter account,733,2020-07-16
get tested,733,2020-07-16
stop spread,732,2020-07-16
go away,724,2020-07-16
deletes account,723,2020-07-16
two weeks,717,2020-07-16
vaccine data,714,2020-07-16
covid19 patients,710,2020-07-16
look like,707,2020-07-16
canada allege,704,2020-07-16
get coronavirus,699,2020-07-16
hackers trying,695,2020-07-16
covid19 amp,694,2020-07-16
american people,692,2020-07-16
reopening schools,691,2020-07-16
post covid19,689,2020-07-16
contagios coronavirus,689,2020-07-16
response coronavirus,686,2020-07-16
new post,686,2020-07-16
health experts,684,2020-07-16
die covid,680,2020-07-16
children tested,679,2020-07-16
19 case,675,2020-07-16
reopen schools,675,2020-07-16
retweeted trump,674,2020-07-16
ee uu,672,2020-07-16
wan na,672,2020-07-16
000 dead,672,2020-07-16
cases covid19,670,2020-07-16
account announcing,670,2020-07-16
social media,666,2020-07-16
19 impact,663,2020-07-16
coronavirus death,660,2020-07-16
in person,660,2020-07-16
19 lockdown,659,2020-07-16
russian spies,656,2020-07-16
19 amp,655,2020-07-16
deaths reported,655,2020-07-16
refrigerated trucks,655,2020-07-16
allege russian,655,2020-07-16
trump deletes,654,2020-07-16
double protection,653,2020-07-16
du coronavirus,653,2020-07-16
host retweeted,653,2020-07-16
announcing coronavirus,653,2020-07-16
get sick,650,2020-07-16
loved ones,648,2020-07-16
vaccine could,646,2020-07-16
coronavirus infections,646,2020-07-16
new normal,644,2020-07-16
covid cases,643,2020-07-16
000 americans,643,2020-07-16
july 15,640,2020-07-16
19 situation,639,2020-07-16
muertes covid,638,2020-07-16
federal government,638,2020-07-16
via gatewaypundit,637,2020-07-16
coronavirus updates,636,2020-07-16
without mask,636,2020-07-16
would like,631,2020-07-16
muertes coronavirus,631,2020-07-16
cases surge,629,2020-07-16
telling world,629,2020-07-16
deliver copy,627,2020-07-16
cases day,626,2020-07-16
ministerio salud,620,2020-07-16
jul 16,619,2020-07-16
economic recovery,618,2020-07-16
copy officials,617,2020-07-16
control coronavirus,615,2020-07-16
covid19 response,615,2020-07-16
