gram,counts,date
covid 19,209532,2020-05-28
100 000,18059,2020-05-28
coronavirus pandemic,9663,2020-05-28
19 pandemic,8057,2020-05-28
coronavirus covid19,7497,2020-05-28
covid19 coronavirus,6182,2020-05-28
19 cases,5644,2020-05-28
death toll,5301,2020-05-28
new cases,5235,2020-05-28
nursing homes,5022,2020-05-28
19 deaths,4768,2020-05-28
coronavirus cases,4756,2020-05-28
new normal,4701,2020-05-28
coronavirus deaths,4539,2020-05-28
covid19 pandemic,3890,2020-05-28
death rate,3502,2020-05-28
19 patients,3430,2020-05-28
19 crisis,3381,2020-05-28
new york,3273,2020-05-28
social distancing,3067,2020-05-28
due covid,3005,2020-05-28
meaning behind,2852,2020-05-28
coronavirus covid,2851,2020-05-28
coronavirus lockdown,2798,2020-05-28
coronavirus crisis,2762,2020-05-28
coronavirus death,2728,2020-05-28
nuevos casos,2676,2020-05-28
via youtube,2667,2020-05-28
casos covid,2618,2020-05-28
due coronavirus,2589,2020-05-28
positive covid,2524,2020-05-28
public health,2512,2020-05-28
may 28,2452,2020-05-28
penyebaran covid,2427,2020-05-28
new coronavirus,2379,2020-05-28
tested positive,2369,2020-05-28
casos coronavirus,2292,2020-05-28
dominic cummings,2292,2020-05-28
news coronavirus,2249,2020-05-28
nursing home,2240,2020-05-28
000 deaths,2220,2020-05-28
000 people,2210,2020-05-28
bbc news,2208,2020-05-28
cashless society,2183,2020-05-28
coronavirus outbreak,2178,2020-05-28
new covid,2167,2020-05-28
000 americans,2143,2020-05-28
due covid19,2076,2020-05-28
social media,2051,2020-05-28
positive coronavirus,2048,2020-05-28
normal baru,1986,2020-05-28
confirmed cases,1982,2020-05-28
people died,1964,2020-05-28
casos confirmados,1961,2020-05-28
must read,1954,2020-05-28
19 di,1944,2020-05-28
covid19 cases,1911,2020-05-28
mark beast,1902,2020-05-28
hidden meaning,1902,2020-05-28
rfid microchip,1888,2020-05-28
microchip mark,1886,2020-05-28
second wave,1881,2020-05-28
pandemia coronavirus,1867,2020-05-28
amid coronavirus,1850,2020-05-28
stay home,1838,2020-05-28
amid covid,1823,2020-05-28
united states,1804,2020-05-28
year old,1798,2020-05-28
test trace,1789,2020-05-28
donald trump,1782,2020-05-28
protokol kesehatan,1780,2020-05-28
jaga jarak,1768,2020-05-28
kehidupan normal,1767,2020-05-28
baru disiplinpolahidupbaru,1751,2020-05-28
siap menyongsong,1747,2020-05-28
menyongsong pelaksanaan,1746,2020-05-28
pelaksanaan kehidupan,1742,2020-05-28
19 via,1728,2020-05-28
care homes,1695,2020-05-28
di tempat,1694,2020-05-28
gt gt,1692,2020-05-28
covid 19polri,1690,2020-05-28
19polri siap,1689,2020-05-28
pandemia covid19,1644,2020-05-28
contact tracing,1632,2020-05-28
jarak di,1624,2020-05-28
mental health,1616,2020-05-28
supreme court,1615,2020-05-28
tempat umumputus,1600,2020-05-28
umumputus penyebaran,1600,2020-05-28
28 2020,1582,2020-05-28
highest death,1577,2020-05-28
live updates,1574,2020-05-28
000 dead,1566,2020-05-28
coronavirus covid_19,1563,2020-05-28
pandemia covid,1550,2020-05-28
long term,1513,2020-05-28
died coronavirus,1507,2020-05-28
fake news,1499,2020-05-28
health care,1491,2020-05-28
boris johnson,1490,2020-05-28
impact covid,1489,2020-05-28
coronavirus test,1485,2020-05-28
read article,1483,2020-05-28
19 outbreak,1480,2020-05-28
covid19 crisis,1474,2020-05-28
cases covid,1470,2020-05-28
many people,1465,2020-05-28
wear mask,1465,2020-05-28
porn usa,1453,2020-05-28
gon na,1452,2020-05-28
coronavirus via,1450,2020-05-28
south korea,1440,2020-05-28
test positive,1440,2020-05-28
19 vaccine,1436,2020-05-28
24 horas,1426,2020-05-28
stay safe,1422,2020-05-28
behind calculating,1417,2020-05-28
coronavirus live,1415,2020-05-28
may 2020,1410,2020-05-28
covid19 deaths,1408,2020-05-28
rate coronavirus,1406,2020-05-28
19 testing,1405,2020-05-28
19 lockdown,1401,2020-05-28
new zealand,1395,2020-05-28
coronavirus patients,1385,2020-05-28
da covid,1376,2020-05-28
19 test,1371,2020-05-28
000 coronavirus,1367,2020-05-28
casos positivos,1365,2020-05-28
19 death,1354,2020-05-28
looks like,1354,2020-05-28
us coronavirus,1341,2020-05-28
covid_19 coronavirus,1327,2020-05-28
pandemi covid,1308,2020-05-28
post covid,1293,2020-05-28
24 hours,1292,2020-05-28
spread coronavirus,1290,2020-05-28
deaths coronavirus,1282,2020-05-28
19 response,1277,2020-05-28
society know,1277,2020-05-28
join us,1263,2020-05-28
coronavirus response,1251,2020-05-28
uk suffers,1247,2020-05-28
novel coronavirus,1243,2020-05-28
penularan covid,1240,2020-05-28
hong kong,1225,2020-05-28
28 05,1207,2020-05-28
post covid19,1202,2020-05-28
positive cases,1199,2020-05-28
suffers highest,1197,2020-05-28
new deaths,1190,2020-05-28
sars cov,1175,2020-05-28
du coronavirus,1173,2020-05-28
free read,1158,2020-05-28
coronavirus free,1152,2020-05-28
fight covid19,1150,2020-05-28
coronavirus vaccine,1148,2020-05-28
crisis coronavirus,1137,2020-05-28
penanganan covid,1130,2020-05-28
corona virus,1126,2020-05-28
28 mayo,1116,2020-05-28
white house,1110,2020-05-28
via breitbartnews,1110,2020-05-28
05 2020,1105,2020-05-28
aktivitas normal,1105,2020-05-28
died covid,1101,2020-05-28
last week,1096,2020-05-28
may 27,1095,2020-05-28
black people,1093,2020-05-28
americans died,1091,2020-05-28
menjalankan aktivitas,1091,2020-05-28
cases coronavirus,1077,2020-05-28
fight covid,1075,2020-05-28
coronavirus update,1074,2020-05-28
executive order,1073,2020-05-28
covid19 covid_19,1073,2020-05-28
covid19 lockdown,1067,2020-05-28
make sure,1054,2020-05-28
first time,1053,2020-05-28
interesting article,1053,2020-05-28
active cases,1051,2020-05-28
york times,1045,2020-05-28
thearieair tjhinfar21,1045,2020-05-28
cases covid19,1040,2020-05-28
du covid,1039,2020-05-28
1trenggalek divhumas_polri,1038,2020-05-28
divhumas_polri thearieair,1038,2020-05-28
spread covid19,1037,2020-05-28
around world,1036,2020-05-28
tjhinfar21 aryprasetyo85,1035,2020-05-28
common sense,1031,2020-05-28
mencegah penularan,1029,2020-05-28
27 mayo,1028,2020-05-28
wearing mask,1026,2020-05-28
covid19 patients,1020,2020-05-28
fact check,1019,2020-05-28
menerapkan protokol,1018,2020-05-28
cases deaths,1014,2020-05-28
save lives,1010,2020-05-28
president trump,1007,2020-05-28
texas supreme,1002,2020-05-28
response covid,997,2020-05-28
000 covid,978,2020-05-28
muertes coronavirus,978,2020-05-28
everyone read,971,2020-05-28
total cases,968,2020-05-28
pass along,964,2020-05-28
coronavirus infection,960,2020-05-28
mayo 2020,958,2020-05-28
