gram,counts,date
covid 19,185707,2020-08-04
19 pandemic,7628,2020-08-04
coronavirus pandemic,7377,2020-08-04
19 cases,6587,2020-08-04
coronavirus covid19,5993,2020-08-04
covid19 coronavirus,5379,2020-08-04
coronavirus cases,4951,2020-08-04
new cases,3931,2020-08-04
positive covid,3327,2020-08-04
death toll,3199,2020-08-04
covid19 pandemic,3176,2020-08-04
donald trump,3119,2020-08-04
19 deaths,3024,2020-08-04
nuevos casos,2898,2020-08-04
due covid,2878,2020-08-04
19 vaccine,2846,2020-08-04
tested positive,2738,2020-08-04
new york,2715,2020-08-04
coronavirus vaccine,2657,2020-08-04
casos covid,2543,2020-08-04
via youtube,2450,2020-08-04
coronavirus deaths,2398,2020-08-04
new covid,2387,2020-08-04
white house,2309,2020-08-04
public health,2283,2020-08-04
casos coronavirus,2090,2020-08-04
positive coronavirus,2077,2020-08-04
covid19 cases,2055,2020-08-04
test positive,2032,2020-08-04
19 patients,2010,2020-08-04
19 death,2007,2020-08-04
19 testing,2003,2020-08-04
wear mask,1932,2020-08-04
social distancing,1925,2020-08-04
coronavirus relief,1919,2020-08-04
due covid19,1909,2020-08-04
new coronavirus,1873,2020-08-04
dr fauci,1857,2020-08-04
coronavirus covid,1851,2020-08-04
united states,1820,2020-08-04
coronavirus death,1751,2020-08-04
health commissioner,1723,2020-08-04
19 via,1714,2020-08-04
24 horas,1713,2020-08-04
president trump,1694,2020-08-04
da covid,1687,2020-08-04
19 test,1629,2020-08-04
august 2020,1597,2020-08-04
second wave,1588,2020-08-04
gt gt,1558,2020-08-04
handling coronavirus,1534,2020-08-04
due coronavirus,1501,2020-08-04
000 americans,1490,2020-08-04
amid covid,1477,2020-08-04
19 crisis,1475,2020-08-04
tests positive,1473,2020-08-04
nursing homes,1444,2020-08-04
sars cov,1408,2020-08-04
nyc health,1391,2020-08-04
19 outbreak,1389,2020-08-04
gon na,1350,2020-08-04
últimas 24,1344,2020-08-04
sign petition,1326,2020-08-04
cases covid,1319,2020-08-04
casos positivos,1313,2020-08-04
pandemia coronavirus,1311,2020-08-04
coronavirus outbreak,1301,2020-08-04
spread covid,1284,2020-08-04
via gatewaypundit,1257,2020-08-04
19 global,1251,2020-08-04
live updates,1245,2020-08-04
trump coronavirus,1243,2020-08-04
new post,1242,2020-08-04
active cases,1236,2020-08-04
coronavirus response,1236,2020-08-04
around world,1234,2020-08-04
impact covid,1228,2020-08-04
fake news,1222,2020-08-04
casos confirmados,1209,2020-08-04
19 response,1204,2020-08-04
confirmed cases,1201,2020-08-04
many people,1192,2020-08-04
trump says,1183,2020-08-04
global crisis,1181,2020-08-04
mental health,1168,2020-08-04
foreign affairs,1168,2020-08-04
19 di,1167,2020-08-04
04 08,1160,2020-08-04
150 000,1154,2020-08-04
lebanese migrants,1147,2020-08-04
provide lebanese,1146,2020-08-04
petition via,1141,2020-08-04
aid covid,1141,2020-08-04
migrants aid,1132,2020-08-04
