gram,counts,date
covid 19 pandemic,8506,2020-05-22
covid 19 cases,5627,2020-05-22
penyebaran covid 19,3681,2020-05-22
covid 19 patients,3377,2020-05-22
covid 19 crisis,3180,2020-05-22
due covid 19,3108,2020-05-22
covid 19 dengan,2952,2020-05-22
casos covid 19,2923,2020-05-22
pandemi covid 19,2765,2020-05-22
covid 19 dirumahajalebihbaik,2676,2020-05-22
covid 19 vaccine,2562,2020-05-22
coronavirus covid 19,2468,2020-05-22
covid 19 deaths,2318,2020-05-22
polri imbau masyarakat,2296,2020-05-22
new covid 19,2181,2020-05-22
1trenggalek thearieair tjhinfar21,1945,2020-05-22
thearieair tjhinfar21 wagimandeep212,1945,2020-05-22
tjhinfar21 wagimandeep212 narkosun,1945,2020-05-22
wagimandeep212 narkosun kampoeng_99,1945,2020-05-22
1802_kimmi aryprasetyo85 dewidrupadi_45,1945,2020-05-22
aryprasetyo85 dewidrupadi_45 _gussur,1945,2020-05-22
dewidrupadi_45 _gussur maranatha_sibrn,1945,2020-05-22
_gussur maranatha_sibrn mulyanadipura,1945,2020-05-22
maranatha_sibrn mulyanadipura anak_singkong1_,1945,2020-05-22
narkosun kampoeng_99 hamka_sutra,1944,2020-05-22
kampoeng_99 hamka_sutra 1802_kimmi,1944,2020-05-22
hamka_sutra 1802_kimmi aryprasetyo85,1944,2020-05-22
covid 19 via,1927,2020-05-22
positive covid 19,1836,2020-05-22
covid 19 testing,1827,2020-05-22
bbc news coronavirus,1771,2020-05-22
amid covid 19,1722,2020-05-22
da covid 19,1715,2020-05-22
covid 19 di,1687,2020-05-22
increased risk death,1683,2020-05-22
cegah penyebaran covid,1673,2020-05-22
rantai penyebaran covid,1589,2020-05-22
covid 19 outbreak,1525,2020-05-22
cegah covid 19,1525,2020-05-22
mata rantai penyebaran,1510,2020-05-22
silaturahmi lebaran tetap,1509,2020-05-22
lebaran tetap asik,1503,2020-05-22
putus mata rantai,1481,2020-05-22
tetap asik dirumahajalebihbaik,1475,2020-05-22
di rumah saja,1463,2020-05-22
berada di rumah,1406,2020-05-22
cegah pandemi covid,1399,2020-05-22
linked increased risk,1399,2020-05-22
imbau masyarakat tidak,1398,2020-05-22
masyarakat tidak lakukan,1398,2020-05-22
19 dengan berada,1396,2020-05-22
dengan berada di,1391,2020-05-22
takbir keliling untuk,1388,2020-05-22
tidak lakukan takbir,1386,2020-05-22
lakukan takbir keliling,1386,2020-05-22
keliling untuk cegah,1386,2020-05-22
untuk cegah pandemi,1385,2020-05-22
pandemia covid 19,1367,2020-05-22
covid 19 response,1365,2020-05-22
cases covid 19,1359,2020-05-22
ayo putus mata,1356,2020-05-22
rumah saja dirumahajalebihbaik,1348,2020-05-22
fight covid 19,1341,2020-05-22
covid 19 lockdown,1340,2020-05-22
impact covid 19,1325,2020-05-22
mudik tanpa piknik,1219,2020-05-22
tanpa bertemu fisik,1217,2020-05-22
tanpa mudik tanpa,1215,2020-05-22
tanpa piknik tanpa,1215,2020-05-22
piknik tanpa bertemu,1215,2020-05-22
