gram,counts,date
covid 19,132328,2020-09-30
19 pandemic,5452,2020-09-30
19 cases,5121,2020-09-30
coronavirus covid19,4055,2020-09-30
coronavirus pandemic,3649,2020-09-30
coronavirus cases,3406,2020-09-30
covid19 coronavirus,3257,2020-09-30
new cases,3073,2020-09-30
19 vaccine,2953,2020-09-30
positive covid,2414,2020-09-30
covid19 pandemic,2384,2020-09-30
due covid,2367,2020-09-30
new covid,2136,2020-09-30
nuevos casos,1999,2020-09-30
casos covid,1738,2020-09-30
joe biden,1734,2020-09-30
new york,1729,2020-09-30
coronavirus vaccine,1716,2020-09-30
coronavirus act,1677,2020-09-30
donald trump,1620,2020-09-30
19 test,1595,2020-09-30
public health,1592,2020-09-30
tested positive,1515,2020-09-30
boris johnson,1462,2020-09-30
19 testing,1460,2020-09-30
covid19 cases,1404,2020-09-30
200 000,1400,2020-09-30
new coronavirus,1398,2020-09-30
19 deaths,1358,2020-09-30
casos coronavirus,1332,2020-09-30
19 outbreak,1315,2020-09-30
coronavirus covid,1311,2020-09-30
protokol kesehatan,1267,2020-09-30
social distancing,1244,2020-09-30
30 09,1222,2020-09-30
death toll,1215,2020-09-30
due covid19,1188,2020-09-30
24 horas,1182,2020-09-30
19 di,1177,2020-09-30
28 000,1161,2020-09-30
last night,1121,2020-09-30
second wave,1118,2020-09-30
active cases,1109,2020-09-30
19 patients,1104,2020-09-30
cases covid,1101,2020-09-30
via youtube,1087,2020-09-30
19 tests,1072,2020-09-30
gt gt,1069,2020-09-30
positive coronavirus,1068,2020-09-30
coronavirus outbreak,1058,2020-09-30
19 via,1054,2020-09-30
30 2020,1053,2020-09-30
bill gates,1047,2020-09-30
airborne covid19,1012,2020-09-30
coronavirus deaths,1008,2020-09-30
penyebaran covid,1006,2020-09-30
000 americans,997,2020-09-30
pandemia covid19,997,2020-09-30
white house,997,2020-09-30
due coronavirus,995,2020-09-30
19 crisis,989,2020-09-30
30 septiembre,969,2020-09-30
elon musk,947,2020-09-30
mental health,943,2020-09-30
stay safe,940,2020-09-30
últimas 24,930,2020-09-30
pandemia coronavirus,922,2020-09-30
09 2020,919,2020-09-30
united states,906,2020-09-30
impact covid,904,2020-09-30
many people,893,2020-09-30
sars cov,891,2020-09-30
test positive,887,2020-09-30
september 30,876,2020-09-30
health care,861,2020-09-30
casos positivos,858,2020-09-30
24 hours,840,2020-09-30
wear mask,837,2020-09-30
president trump,829,2020-09-30
september 2020,827,2020-09-30
died covid,818,2020-09-30
presidential debate,818,2020-09-30
study finds,814,2020-09-30
long term,814,2020-09-30
people died,810,2020-09-30
casos confirmados,810,2020-09-30
confirmed cases,807,2020-09-30
positif covid,805,2020-09-30
100 000,800,2020-09-30
pandemia covid,796,2020-09-30
spread covid,786,2020-09-30
coronavirus relief,766,2020-09-30
steelers titans,766,2020-09-30
new deaths,756,2020-09-30
coronavirus lockdown,756,2020-09-30
19 response,755,2020-09-30
died covid19,752,2020-09-30
tests positive,736,2020-09-30
task force,734,2020-09-30
pandemi covid,728,2020-09-30
year old,720,2020-09-30
10 000,715,2020-09-30
amid covid,710,2020-09-30
19 numbers,709,2020-09-30
da covid,707,2020-09-30
coronavirus restrictions,701,2020-09-30
join us,682,2020-09-30
fight covid,676,2020-09-30
trump biden,676,2020-09-30
covid19 vaccine,675,2020-09-30
19 update,661,2020-09-30
19 restrictions,661,2020-09-30
vacuna covid,656,2020-09-30
spread covid19,655,2020-09-30
casos nuevos,643,2020-09-30
gon na,642,2020-09-30
prophesied coronavirus,642,2020-09-30
coronavirus december,642,2020-09-30
december 1st,641,2020-09-30
one prophesied,639,2020-09-30
young people,638,2020-09-30
spread coronavirus,638,2020-09-30
news coronavirus,637,2020-09-30
coronavirus crisis,634,2020-09-30
americans dead,629,2020-09-30
musk says,625,2020-09-30
college student,624,2020-09-30
19 complications,622,2020-09-30
new covid19,621,2020-09-30
000 people,619,2020-09-30
positive cases,616,2020-09-30
small businesses,616,2020-09-30
1st 2015,616,2020-09-30
nuevos contagios,609,2020-09-30
protections airborne,606,2020-09-30
the one,606,2020-09-30
last week,605,2020-09-30
19 relief,605,2020-09-30
19 death,600,2020-09-30
corona coronavirus,591,2020-09-30
largest driver,591,2020-09-30
contact tracing,590,2020-09-30
corona covid19,590,2020-09-30
2015 ravaging,589,2020-09-30
ravaging locusts,589,2020-09-30
30 september,587,2020-09-30
000 jobs,586,2020-09-30
new normal,579,2020-09-30
jesus lord,578,2020-09-30
recovery rate,572,2020-09-30
da pandemia,569,2020-09-30
locusts plaguelive,569,2020-09-30
plaguelive jesus,569,2020-09-30
sep 30,568,2020-09-30
covid19 deaths,565,2020-09-30
wearing mask,553,2020-09-30
covid covid19,550,2020-09-30
casos covid19,548,2020-09-30
american people,546,2020-09-30
first time,546,2020-09-30
super healthy,544,2020-09-30
novel coronavirus,543,2020-09-30
covid19 amp,542,2020-09-30
het coronavirus,542,2020-09-30
small business,540,2020-09-30
herd immunity,540,2020-09-30
million people,537,2020-09-30
take coronavirus,532,2020-09-30
positivo covid,526,2020-09-30
casos activos,525,2020-09-30
covid19 covid_19,522,2020-09-30
cases coronavirus,520,2020-09-30
health officials,518,2020-09-30
gates knucklehead,518,2020-09-30
wear masks,517,2020-09-30
americans died,516,2020-09-30
new death,516,2020-09-30
covid19 covid,516,2020-09-30
relief bill,516,2020-09-30
coronavirus corona,514,2020-09-30
cases reported,513,2020-09-30
single largest,510,2020-09-30
coronavirus update,506,2020-09-30
older adults,505,2020-09-30
covid19 sarscov2,504,2020-09-30
post covid,504,2020-09-30
prime minister,502,2020-09-30
around world,501,2020-09-30
titans steelers,501,2020-09-30
make sure,500,2020-09-30
york times,494,2020-09-30
last 24,493,2020-09-30
game postponed,492,2020-09-30
severe covid,490,2020-09-30
test results,488,2020-09-30
coronavirus via,487,2020-09-30
sept 30,487,2020-09-30
coronavirus misinformation,483,2020-09-30
coronavirus response,482,2020-09-30
du covid,472,2020-09-30
hundreds thousands,472,2020-09-30
septiembre 2020,470,2020-09-30
19 virus,466,2020-09-30
help us,466,2020-09-30
died coronavirus,464,2020-09-30
total cases,461,2020-09-30
looks like,460,2020-09-30
19 coronavirus,460,2020-09-30
would like,458,2020-09-30
face mask,458,2020-09-30
contagios covid,457,2020-09-30
rapid covid,457,2020-09-30
19 case,455,2020-09-30
coronavirus test,455,2020-09-30
000 dead,454,2020-09-30
take care,454,2020-09-30
finds single,452,2020-09-30
coronavirus stimulus,451,2020-09-30
dies covid,445,2020-09-30
