date,business,canada,cases,close,closing,corona,coronavirus,covid,covid19,deaths,distancing,economy,epidemic,fake,hoax,masks,reopen,reopening,rise,rising,rules,schools,trump,virus
2020-03-30,6205,1901,25084,2512,,12895,327329,139430,153681,13142,5386,3462,1579,3402,2349,6568,,,1693,,1595,,31397,24109
2020-06-10,8103,2379,39991,2549,,9068,228234,212951,170405,16710,3846,7718,,2153,1721,6895,3536,4636,3958,2271,1911,2877,15193,17432
