date,business,canada,cases,close,closing,corona,coronavirus,covid,covid19,deaths,distancing,economy,epidemic,fake,hoax,masks,reopen,reopening,rise,rising,rules,schools,trump,virus
2020-08-29,2383,1605,25722,1420,,5820,110310,128514,130104,15288,2671,3530,,1692,1908,4625,986,1011,2130,,1967,4342,17886,11773
2020-09-14,4100,2872,29925,2084,,6398,139800,169316,123273,15918,2496,3621,,1471,1958,6301,,,2590,1151,4174,4710,36255,15999
