term,amount,date
coronavirus,179698,2020-06-28
covid,166035,2020-06-28
19,153927,2020-06-28
covid19,127629,2020-06-28
cases,51644,2020-06-28
people,38057,2020-06-28
new,32027,2020-06-28
amp,29836,2020-06-28
trump,27211,2020-06-28
us,24599,2020-06-28
pandemic,22743,2020-06-28
deaths,18770,2020-06-28
virus,18762,2020-06-28
via,18535,2020-06-28
like,18348,2020-06-28
news,17115,2020-06-28
casos,17084,2020-06-28
realdonaldtrump,17030,2020-06-28
get,16587,2020-06-28
one,16493,2020-06-28
000,16348,2020-06-28
10,15317,2020-06-28
mask,15146,2020-06-28
health,13517,2020-06-28
world,12550,2020-06-28
time,11944,2020-06-28
masks,11759,2020-06-28
2020,11428,2020-06-28
would,11384,2020-06-28
day,11280,2020-06-28
know,11141,2020-06-28
million,11103,2020-06-28
going,10961,2020-06-28
many,10454,2020-06-28
go,10397,2020-06-28
please,10169,2020-06-28
still,10079,2020-06-28
death,10076,2020-06-28
need,10044,2020-06-28
positive,9932,2020-06-28
lockdown,9787,2020-06-28
see,9783,2020-06-28
state,9593,2020-06-28
total,9559,2020-06-28
could,9512,2020-06-28
wear,9416,2020-06-28
spread,9410,2020-06-28
states,8988,2020-06-28
china,8921,2020-06-28
florida,8903,2020-06-28
even,8899,2020-06-28
home,8709,2020-06-28
28,8690,2020-06-28
help,8630,2020-06-28
si,8624,2020-06-28
good,8543,2020-06-28
due,8493,2020-06-28
today,8393,2020-06-28
think,8376,2020-06-28
india,8353,2020-06-28
take,8313,2020-06-28
back,8260,2020-06-28
da,8051,2020-06-28
says,8045,2020-06-28
may,8024,2020-06-28
testing,7992,2020-06-28
country,7969,2020-06-28
test,7936,2020-06-28
government,7925,2020-06-28
way,7849,2020-06-28
corona,7827,2020-06-28
re,7741,2020-06-28
global,7717,2020-06-28
americans,7461,2020-06-28
right,7420,2020-06-28
said,7370,2020-06-28
public,7334,2020-06-28
die,7319,2020-06-28
texas,7272,2020-06-28
the,7215,2020-06-28
also,7149,2020-06-28
make,7131,2020-06-28
na,7108,2020-06-28
well,6991,2020-06-28
care,6951,2020-06-28
america,6909,2020-06-28
di,6879,2020-06-28
first,6864,2020-06-28
stop,6812,2020-06-28
pandemia,6773,2020-06-28
live,6773,2020-06-28
number,6736,2020-06-28
data,6727,2020-06-28
social,6661,2020-06-28
crisis,6640,2020-06-28
say,6579,2020-06-28
want,6573,2020-06-28
june,6487,2020-06-28
work,6486,2020-06-28
tests,6267,2020-06-28
let,6262,2020-06-28
much,6262,2020-06-28
patients,6261,2020-06-28
daily,6196,2020-06-28
really,6136,2020-06-28
days,6063,2020-06-28
wearing,6002,2020-06-28
24,5939,2020-06-28
stay,5882,2020-06-28
keep,5857,2020-06-28
face,5820,2020-06-28
usa,5808,2020-06-28
got,5772,2020-06-28
president,5754,2020-06-28
last,5579,2020-06-28
infections,5537,2020-06-28
record,5519,2020-06-28
lives,5488,2020-06-28
vaccine,5436,2020-06-28
em,5412,2020-06-28
surge,5395,2020-06-28
mundo,5393,2020-06-28
500,5376,2020-06-28
hospital,5362,2020-06-28
every,5349,2020-06-28
read,5317,2020-06-28
since,5294,2020-06-28
nuevos,5288,2020-06-28
rate,5280,2020-06-28
uk,5267,2020-06-28
confirmed,5221,2020-06-28
et,5086,2020-06-28
times,5067,2020-06-28
covid_19,5056,2020-06-28
months,5031,2020-06-28
numbers,5031,2020-06-28
safe,5024,2020-06-28
support,5023,2020-06-28
never,5015,2020-06-28
year,4971,2020-06-28
life,4944,2020-06-28
real,4930,2020-06-28
everyone,4920,2020-06-28
great,4888,2020-06-28
20,4883,2020-06-28
per,4866,2020-06-28
control,4844,2020-06-28
getting,4841,2020-06-28
another,4836,2020-06-28
died,4792,2020-06-28
two,4776,2020-06-28
look,4746,2020-06-28
tested,4699,2020-06-28
week,4696,2020-06-28
response,4615,2020-06-28
pence,4608,2020-06-28
must,4597,2020-06-28
come,4562,2020-06-28
better,4549,2020-06-28
personas,4520,2020-06-28
american,4516,2020-06-28
reported,4506,2020-06-28
il,4480,2020-06-28
mil,4439,2020-06-28
risk,4438,2020-06-28
com,4431,2020-06-28
spike,4405,2020-06-28
case,4399,2020-06-28
man,4364,2020-06-28
des,4352,2020-06-28
post,4339,2020-06-28
around,4330,2020-06-28
media,4276,2020-06-28
family,4263,2020-06-28
100,4262,2020-06-28
county,4246,2020-06-28
to,4228,2020-06-28
white,4223,2020-06-28
contagios,4213,2020-06-28
salud,4205,2020-06-28
27,4169,2020-06-28
nothing,4136,2020-06-28
bars,4132,2020-06-28
latest,4115,2020-06-28
next,4098,2020-06-28
ca,4087,2020-06-28
não,4084,2020-06-28
updates,4028,2020-06-28
ve,4014,2020-06-28
economy,3995,2020-06-28
outbreak,3986,2020-06-28
use,3972,2020-06-28
brasil,3970,2020-06-28
infected,3941,2020-06-28
long,3939,2020-06-28
30,3932,2020-06-28
open,3903,2020-06-28
dead,3897,2020-06-28
update,3884,2020-06-28
de,3878,2020-06-28
top,3873,2020-06-28
muertes,3838,2020-06-28
video,3838,2020-06-28
distancing,3836,2020-06-28
fight,3833,2020-06-28
put,3819,2020-06-28
taking,3814,2020-06-28
thing,3806,2020-06-28
high,3803,2020-06-28
flu,3802,2020-06-28
in,3786,2020-06-28
yet,3784,2020-06-28
away,3775,2020-06-28
du,3765,2020-06-28
free,3736,2020-06-28
gop,3704,2020-06-28
vp,3690,2020-06-28
without,3675,2020-06-28
made,3672,2020-06-28
worldwide,3625,2020-06-28
thanks,3613,2020-06-28
amid,3606,2020-06-28
millones,3597,2020-06-28
report,3595,2020-06-28
