term,amount,date
covid,217091,2020-07-17
coronavirus,208217,2020-07-17
19,198150,2020-07-17
covid19,159373,2020-07-17
cases,49330,2020-07-17
people,39465,2020-07-17
amp,39355,2020-07-17
new,37426,2020-07-17
trump,32742,2020-07-17
pandemic,29753,2020-07-17
us,27466,2020-07-17
via,24575,2020-07-17
deaths,22301,2020-07-17
virus,22123,2020-07-17
one,21907,2020-07-17
health,20875,2020-07-17
news,20234,2020-07-17
get,20187,2020-07-17
like,19254,2020-07-17
mask,18569,2020-07-17
casos,17943,2020-07-17
000,17848,2020-07-17
positive,16208,2020-07-17
time,15517,2020-07-17
2020,15432,2020-07-17
world,15136,2020-07-17
realdonaldtrump,14774,2020-07-17
day,14758,2020-07-17
death,14757,2020-07-17
would,14667,2020-07-17
masks,14515,2020-07-17
know,14425,2020-07-17
vaccine,13753,2020-07-17
need,13464,2020-07-17
test,13412,2020-07-17
data,13407,2020-07-17
back,13119,2020-07-17
india,13087,2020-07-17
state,12765,2020-07-17
help,12488,2020-07-17
says,12450,2020-07-17
17,11646,2020-07-17
go,11563,2020-07-17
many,11293,2020-07-17
florida,11268,2020-07-17
please,11162,2020-07-17
going,11144,2020-07-17
still,10845,2020-07-17
could,10765,2020-07-17
today,10758,2020-07-17
see,10665,2020-07-17
states,10644,2020-07-17
public,10438,2020-07-17
testing,10414,2020-07-17
work,10193,2020-07-17
due,10141,2020-07-17
re,10036,2020-07-17
good,9973,2020-07-17
even,9959,2020-07-17
da,9949,2020-07-17
july,9915,2020-07-17
total,9884,2020-07-17
million,9857,2020-07-17
the,9849,2020-07-17
10,9814,2020-07-17
government,9814,2020-07-17
cdc,9802,2020-07-17
schools,9753,2020-07-17
si,9675,2020-07-17
numbers,9642,2020-07-17
take,9612,2020-07-17
country,9604,2020-07-17
think,9477,2020-07-17
crisis,9378,2020-07-17
spread,9364,2020-07-17
care,9245,2020-07-17
school,9115,2020-07-17
wear,9074,2020-07-17
right,9049,2020-07-17
make,9029,2020-07-17
say,9006,2020-07-17
home,8958,2020-07-17
live,8740,2020-07-17
lockdown,8577,2020-07-17
want,8568,2020-07-17
di,8548,2020-07-17
also,8465,2020-07-17
may,8437,2020-07-17
hospital,8389,2020-07-17
china,8332,2020-07-17
well,8315,2020-07-17
tests,8260,2020-07-17
pandemia,8238,2020-07-17
die,8236,2020-07-17
said,8184,2020-07-17
na,8153,2020-07-17
first,8141,2020-07-17
report,8101,2020-07-17
read,8054,2020-07-17
corona,7992,2020-07-17
stop,7986,2020-07-17
way,7972,2020-07-17
uk,7939,2020-07-17
response,7930,2020-07-17
america,7906,2020-07-17
tested,7821,2020-07-17
year,7744,2020-07-17
record,7706,2020-07-17
social,7571,2020-07-17
per,7488,2020-07-17
patients,7481,2020-07-17
americans,7404,2020-07-17
let,7388,2020-07-17
days,7225,2020-07-17
et,7216,2020-07-17
daily,7142,2020-07-17
face,7121,2020-07-17
really,7093,2020-07-17
number,7070,2020-07-17
keep,7016,2020-07-17
children,7003,2020-07-17
20,7001,2020-07-17
must,6969,2020-07-17
much,6921,2020-07-17
week,6706,2020-07-17
safe,6591,2020-07-17
great,6564,2020-07-17
since,6517,2020-07-17
support,6480,2020-07-17
real,6462,2020-07-17
latest,6423,2020-07-17
24,6410,2020-07-17
dr,6380,2020-07-17
100,6330,2020-07-17
every,6315,2020-07-17
another,6293,2020-07-17
times,6245,2020-07-17
next,6237,2020-07-17
reported,6216,2020-07-17
died,6201,2020-07-17
last,6181,2020-07-17
wearing,6158,2020-07-17
county,6156,2020-07-17
control,6145,2020-07-17
president,6131,2020-07-17
update,6111,2020-07-17
stay,6099,2020-07-17
covid__19,6099,2020-07-17
risk,6045,2020-07-17
life,6038,2020-07-17
rate,6017,2020-07-17
everyone,6006,2020-07-17
des,6003,2020-07-17
plan,5998,2020-07-17
months,5983,2020-07-17
lives,5966,2020-07-17
em,5919,2020-07-17
money,5886,2020-07-17
look,5879,2020-07-17
post,5837,2020-07-17
nuevos,5818,2020-07-17
never,5797,2020-07-17
global,5796,2020-07-17
kids,5765,2020-07-17
case,5755,2020-07-17
salud,5743,2020-07-17
got,5742,2020-07-17
results,5742,2020-07-17
open,5706,2020-07-17
science,5669,2020-07-17
usa,5633,2020-07-17
du,5592,2020-07-17
il,5589,2020-07-17
governor,5563,2020-07-17
come,5351,2020-07-17
recovery,5332,2020-07-17
texas,5308,2020-07-17
business,5269,2020-07-17
house,5255,2020-07-17
getting,5220,2020-07-17
family,5214,2020-07-17
better,5214,2020-07-17
18,5175,2020-07-17
ca,5172,2020-07-17
two,5135,2020-07-17
economy,5106,2020-07-17
to,5104,2020-07-17
research,5090,2020-07-17
contagios,5080,2020-07-17
white,5045,2020-07-17
in,5035,2020-07-17
com,4971,2020-07-17
impact,4960,2020-07-17
gop,4935,2020-07-17
made,4935,2020-07-17
long,4927,2020-07-17
man,4911,2020-07-17
media,4826,2020-07-17
free,4807,2020-07-17
high,4768,2020-07-17
fight,4748,2020-07-17
est,4740,2020-07-17
around,4706,2020-07-17
without,4661,2020-07-17
use,4655,2020-07-17
não,4640,2020-07-17
surge,4631,2020-07-17
reports,4631,2020-07-17
thanks,4629,2020-07-17
medical,4626,2020-07-17
information,4620,2020-07-17
gt,4613,2020-07-17
countries,4600,2020-07-17
amid,4596,2020-07-17
outbreak,4562,2020-07-17
person,4551,2020-07-17
working,4533,2020-07-17
ve,4497,2020-07-17
done,4496,2020-07-17
flu,4491,2020-07-17
confirmed,4483,2020-07-17
covid_19,4475,2020-07-17
watch,4445,2020-07-17
officials,4440,2020-07-17
hope,4421,2020-07-17
put,4405,2020-07-17
video,4402,2020-07-17
end,4399,2020-07-17
12,4396,2020-07-17
believe,4390,2020-07-17
trying,4389,2020-07-17
ever,4389,2020-07-17
students,4383,2020-07-17
show,4379,2020-07-17
give,4376,2020-07-17
yet,4368,2020-07-17
15,4361,2020-07-17
reopening,4358,2020-07-17
