term,amount,date
coronavirus,344722,2020-05-06
covid19,238813,2020-05-06
covid,238683,2020-05-06
19,225892,2020-05-06
nan,72617,2020-05-06
amp,52988,2020-05-06
people,49650,2020-05-06
new,46099,2020-05-06
via,45055,2020-05-06
pandemic,41762,2020-05-06
trump,40470,2020-05-06
us,38382,2020-05-06
cases,33954,2020-05-06
news,30005,2020-05-06
lockdown,27930,2020-05-06
deaths,27694,2020-05-06
virus,27046,2020-05-06
like,25767,2020-05-06
may,25267,2020-05-06
get,24214,2020-05-06
health,24196,2020-05-06
one,23839,2020-05-06
crisis,22755,2020-05-06
time,21272,2020-05-06
death,20835,2020-05-06
help,19817,2020-05-06
world,19630,2020-05-06
000,19561,2020-05-06
china,19093,2020-05-06
2020,18922,2020-05-06
know,18628,2020-05-06
need,18401,2020-05-06
home,18372,2020-05-06
would,18153,2020-05-06
di,17058,2020-05-06
work,17040,2020-05-06
could,16833,2020-05-06
government,16815,2020-05-06
et,16716,2020-05-06
realdonaldtrump,16286,2020-05-06
state,16121,2020-05-06
day,16018,2020-05-06
uk,15878,2020-05-06
says,15599,2020-05-06
see,15558,2020-05-06
si,15512,2020-05-06
today,15315,2020-05-06
des,15229,2020-05-06
patients,15046,2020-05-06
casos,15026,2020-05-06
da,14923,2020-05-06
il,14382,2020-05-06
go,14282,2020-05-06
many,14179,2020-05-06
please,14154,2020-05-06
back,14086,2020-05-06
du,13733,2020-05-06
going,13680,2020-05-06
corona,13666,2020-05-06
die,13489,2020-05-06
due,13466,2020-05-06
test,13427,2020-05-06
testing,13416,2020-05-06
care,13276,2020-05-06
good,13215,2020-05-06
still,13089,2020-05-06
response,12957,2020-05-06
per,12879,2020-05-06
even,12764,2020-05-06
first,12762,2020-05-06
workers,12710,2020-05-06
take,12625,2020-05-06
country,12619,2020-05-06
support,12300,2020-05-06
the,12099,2020-05-06
make,12014,2020-05-06
re,11636,2020-05-06
na,11569,2020-05-06
read,11427,2020-05-06
positive,11339,2020-05-06
total,11335,2020-05-06
est,11266,2020-05-06
think,11220,2020-05-06
live,11217,2020-05-06
social,11216,2020-05-06
right,11071,2020-05-06
pandemia,11051,2020-05-06
10,11040,2020-05-06
pour,10991,2020-05-06
say,10907,2020-05-06
want,10901,2020-05-06
stay,10745,2020-05-06
let,10596,2020-05-06
covid_19,10579,2020-05-06
also,10475,2020-05-06
well,10467,2020-05-06
spread,10429,2020-05-06
business,10408,2020-05-06
said,10331,2020-05-06
dr,10282,2020-05-06
vaccine,10054,2020-05-06
economy,10052,2020-05-06
force,9982,2020-05-06
em,9944,2020-05-06
way,9927,2020-05-06
much,9590,2020-05-06
great,9526,2020-05-06
president,9470,2020-05-06
youtube,9438,2020-05-06
really,9435,2020-05-06
india,9425,2020-05-06
times,9394,2020-05-06
data,9223,2020-05-06
thank,9160,2020-05-06
states,9117,2020-05-06
public,9017,2020-05-06
tests,8988,2020-05-06
life,8970,2020-05-06
video,8849,2020-05-06
latest,8804,2020-05-06
com,8801,2020-05-06
hospital,8771,2020-05-06
keep,8760,2020-05-06
look,8665,2020-05-06
must,8653,2020-05-06
stop,8559,2020-05-06
days,8550,2020-05-06
year,8504,2020-05-06
fight,8468,2020-05-06
daily,8444,2020-05-06
come,8182,2020-05-06
working,8177,2020-05-06
au,8153,2020-05-06
post,8139,2020-05-06
não,8125,2020-05-06
medical,8119,2020-05-06
true,8079,2020-05-06
america,8068,2020-05-06
last,8032,2020-05-06
app,8029,2020-05-06
task,8017,2020-05-06
to,8011,2020-05-06
real,7995,2020-05-06
every,7969,2020-05-06
money,7928,2020-05-06
global,7913,2020-05-06
americans,7860,2020-05-06
watch,7844,2020-05-06
media,7836,2020-05-06
number,7796,2020-05-06
outbreak,7796,2020-05-06
lives,7707,2020-05-06
open,7683,2020-05-06
