term,amount,date
coronavirus,217863,2020-07-03
covid,206981,2020-07-03
19,192116,2020-07-03
covid19,142410,2020-07-03
cases,50585,2020-07-03
people,44002,2020-07-03
new,39926,2020-07-03
trump,37523,2020-07-03
amp,37162,2020-07-03
pandemic,28387,2020-07-03
us,28128,2020-07-03
realdonaldtrump,24394,2020-07-03
via,23223,2020-07-03
virus,22692,2020-07-03
news,21646,2020-07-03
like,20974,2020-07-03
get,20674,2020-07-03
one,20138,2020-07-03
health,18651,2020-07-03
casos,18339,2020-07-03
deaths,17668,2020-07-03
000,17122,2020-07-03
mask,16891,2020-07-03
day,16040,2020-07-03
positive,15772,2020-07-03
time,15583,2020-07-03
july,15187,2020-07-03
would,15170,2020-07-03
2020,14923,2020-07-03
masks,14771,2020-07-03
need,13896,2020-07-03
know,13783,2020-07-03
world,13449,2020-07-03
going,12965,2020-07-03
death,12865,2020-07-03
many,12788,2020-07-03
see,12755,2020-07-03
go,12684,2020-07-03
please,12572,2020-07-03
still,12138,2020-07-03
patients,11621,2020-07-03
test,11593,2020-07-03
help,11555,2020-07-03
na,11538,2020-07-03
good,11437,2020-07-03
testing,11381,2020-07-03
back,11297,2020-07-03
cnn,11164,2020-07-03
spread,11025,2020-07-03
right,10998,2020-07-03
even,10972,2020-07-03
country,10848,2020-07-03
state,10637,2020-07-03
today,10620,2020-07-03
says,10521,2020-07-03
could,10509,2020-07-03
due,10475,2020-07-03
vaccine,10395,2020-07-03
president,10395,2020-07-03
wear,10337,2020-07-03
first,10274,2020-07-03
home,10241,2020-07-03
make,10165,2020-07-03
re,10136,2020-07-03
take,10098,2020-07-03
lockdown,10067,2020-07-03
may,10053,2020-07-03
10,10000,2020-07-03
study,9925,2020-07-03
well,9886,2020-07-03
da,9797,2020-07-03
crisis,9790,2020-07-03
china,9747,2020-07-03
total,9689,2020-07-03
covidー19,9521,2020-07-03
government,9488,2020-07-03
read,9471,2020-07-03
think,9438,2020-07-03
si,9405,2020-07-03
work,9310,2020-07-03
public,9244,2020-07-03
said,9242,2020-07-03
the,9221,2020-07-03
states,9193,2020-07-03
di,8968,2020-07-03
care,8959,2020-07-03
rate,8760,2020-07-03
say,8689,2020-07-03
pandemia,8684,2020-07-03
also,8655,2020-07-03
die,8579,2020-07-03
social,8565,2020-07-03
live,8520,2020-07-03
stop,8424,2020-07-03
hydroxychloroquine,8410,2020-07-03
corona,8369,2020-07-03
want,8198,2020-07-03
america,8160,2020-07-03
better,8011,2020-07-03
really,7931,2020-07-03
hospital,7924,2020-07-03
let,7903,2020-07-03
uk,7832,2020-07-03
way,7807,2020-07-03
stay,7795,2020-07-03
americans,7749,2020-07-03
tests,7721,2020-07-03
great,7719,2020-07-03
keep,7651,2020-07-03
india,7650,2020-07-03
safe,7614,2020-07-03
daily,7532,2020-07-03
much,7436,2020-07-03
lives,7270,2020-07-03
face,7245,2020-07-03
died,7199,2020-07-03
number,7172,2020-07-03
texas,7133,2020-07-03
24,7076,2020-07-03
data,6940,2020-07-03
tested,6911,2020-07-03
year,6794,2020-07-03
must,6792,2020-07-03
em,6733,2020-07-03
days,6707,2020-07-03
never,6651,2020-07-03
florida,6616,2020-07-03
risk,6600,2020-07-03
response,6583,2020-07-03
dr,6517,2020-07-03
last,6510,2020-07-03
per,6461,2020-07-03
usa,6446,2020-07-03
record,6403,2020-07-03
salud,6336,2020-07-03
got,6311,2020-07-03
since,6308,2020-07-03
everyone,6264,2020-07-03
another,6254,2020-07-03
months,6216,2020-07-03
look,6137,2020-07-03
20,6120,2020-07-03
economy,6046,2020-07-03
et,6017,2020-07-03
open,5964,2020-07-03
support,5947,2020-07-03
post,5924,2020-07-03
numbers,5912,2020-07-03
business,5912,2020-07-03
wearing,5893,2020-07-03
report,5875,2020-07-03
man,5852,2020-07-03
times,5841,2020-07-03
life,5829,2020-07-03
every,5810,2020-07-03
week,5801,2020-07-03
global,5795,2020-07-03
latest,5775,2020-07-03
nuevos,5765,2020-07-03
use,5735,2020-07-03
reported,5727,2020-07-03
job,5648,2020-07-03
to,5646,2020-07-03
outbreak,5643,2020-07-03
15,5561,2020-07-03
getting,5553,2020-07-03
come,5537,2020-07-03
countries,5531,2020-07-03
free,5473,2020-07-03
weekend,5461,2020-07-03
media,5445,2020-07-03
il,5435,2020-07-03
case,5392,2020-07-03
around,5339,2020-07-03
quarantine,5333,2020-07-03
family,5312,2020-07-03
50,5309,2020-07-03
update,5307,2020-07-03
contagios,5301,2020-07-03
real,5295,2020-07-03
com,5222,2020-07-03
11,5176,2020-07-03
yet,5146,2020-07-03
million,5130,2020-07-03
control,5128,2020-07-03
hope,5125,2020-07-03
two,5093,2020-07-03
travel,5079,2020-07-03
thank,5078,2020-07-03
next,5042,2020-07-03
fauci,5036,2020-07-03
ca,5026,2020-07-03
county,5018,2020-07-03
confirmed,4938,2020-07-03
done,4864,2020-07-03
made,4843,2020-07-03
gt,4841,2020-07-03
de,4814,2020-07-03
in,4806,2020-07-03
drug,4795,2020-07-03
sa,4771,2020-07-03
ve,4706,2020-07-03
rise,4653,2020-07-03
thing,4642,2020-07-03
american,4638,2020-07-03
away,4621,2020-07-03
100,4621,2020-07-03
amid,4594,2020-07-03
long,4548,2020-07-03
thanks,4533,2020-07-03
du,4530,2020-07-03
não,4510,2020-07-03
medical,4480,2020-07-03
sick,4463,2020-07-03
person,4459,2020-07-03
mil,4444,2020-07-03
infections,4443,2020-07-03
without,4417,2020-07-03
des,4416,2020-07-03
impact,4410,2020-07-03
distancing,4391,2020-07-03
high,4387,2020-07-03
personas,4366,2020-07-03
sure,4362,2020-07-03
believe,4354,2020-07-03
bad,4351,2020-07-03
país,4334,2020-07-03
infected,4333,2020-07-03
eu,4319,2020-07-03
put,4315,2020-07-03
cdc,4312,2020-07-03
brasil,4293,2020-07-03
oh,4275,2020-07-03
plan,4272,2020-07-03
big,4229,2020-07-03
mais,4212,2020-07-03
weeks,4181,2020-07-03
article,4164,2020-07-03
30,4156,2020-07-03
watch,4149,2020-07-03
best,4139,2020-07-03
reports,4138,2020-07-03
money,4134,2020-07-03
fight,4119,2020-07-03
protect,4099,2020-07-03
anyone,4093,2020-07-03
video,4073,2020-07-03
part,4068,2020-07-03
science,4042,2020-07-03
already,4015,2020-07-03
spike,4007,2020-07-03
gop,4002,2020-07-03
house,3988,2020-07-03
and,3988,2020-07-03
working,3985,2020-07-03
staff,3984,2020-07-03
yes,3981,2020-07-03
online,3975,2020-07-03
end,3965,2020-07-03
dan,3961,2020-07-03
hoy,3960,2020-07-03
ser,3956,2020-07-03
god,3940,2020-07-03
nothing,3932,2020-07-03
increase,3931,2020-07-03
jobs,3926,2020-07-03
others,3914,2020-07-03
updates,3902,2020-07-03
arizona,3886,2020-07-03
fuck,3884,2020-07-03
show,3884,2020-07-03
governor,3878,2020-07-03
check,3868,2020-07-03
shit,3861,2020-07-03
service,3846,2020-07-03
follow,3837,2020-07-03
give,3835,2020-07-03
disease,3814,2020-07-03
recovery,3803,2020-07-03
surge,3798,2020-07-03
white,3780,2020-07-03
dos,3777,2020-07-03
treatment,3771,2020-07-03
workers,3764,2020-07-03
it,3758,2020-07-03
día,3749,2020-07-03
ever,3742,2020-07-03
love,3740,2020-07-03
dead,3721,2020-07-03
order,3721,2020-07-03
wrong,3721,2020-07-03
story,3714,2020-07-03
muertes,3707,2020-07-03
breaking,3700,2020-07-03
things,3692,2020-07-03
find,3686,2020-07-03
tell,3684,2020-07-03
non,3682,2020-07-03
students,3681,2020-07-03
covid_19,3672,2020-07-03
school,3669,2020-07-03
local,3661,2020-07-03
mundo,3649,2020-07-03
far,3645,2020-07-03
years,3638,2020-07-03
stupid,3615,2020-07-03
something,3611,2020-07-03
saying,3603,2020-07-03
important,3603,2020-07-03
