term,amount,date
covid,165603,2020-09-21
19,149250,2020-09-21
coronavirus,132959,2020-09-21
covid19,108414,2020-09-21
amp,28827,2020-09-21
cases,28624,2020-09-21
people,27404,2020-09-21
new,26024,2020-09-21
trump,23522,2020-09-21
pandemic,21729,2020-09-21
us,17934,2020-09-21
cdc,17451,2020-09-21
000,17257,2020-09-21
deaths,16775,2020-09-21
virus,15584,2020-09-21
via,15408,2020-09-21
2020,13806,2020-09-21
health,13381,2020-09-21
get,12947,2020-09-21
one,12794,2020-09-21
casos,12633,2020-09-21
news,12302,2020-09-21
like,12066,2020-09-21
says,11606,2020-09-21
time,10641,2020-09-21
200,10238,2020-09-21
21,9872,2020-09-21
realdonaldtrump,9785,2020-09-21
could,9511,2020-09-21
would,9443,2020-09-21
day,9416,2020-09-21
uk,9337,2020-09-21
know,9227,2020-09-21
vaccine,9096,2020-09-21
spread,8955,2020-09-21
world,8550,2020-09-21
di,8519,2020-09-21
government,8417,2020-09-21
need,8402,2020-09-21
many,8342,2020-09-21
lockdown,8268,2020-09-21
still,8263,2020-09-21
help,8213,2020-09-21
positive,8182,2020-09-21
today,8001,2020-09-21
test,7856,2020-09-21
death,7793,2020-09-21
even,7746,2020-09-21
americans,7580,2020-09-21
go,7460,2020-09-21
dan,7425,2020-09-21
covid_19,7306,2020-09-21
si,7304,2020-09-21
see,7147,2020-09-21
corona,7138,2020-09-21
airborne,6939,2020-09-21
please,6888,2020-09-21
going,6742,2020-09-21
back,6697,2020-09-21
da,6665,2020-09-21
die,6576,2020-09-21
said,6541,2020-09-21
china,6495,2020-09-21
died,6465,2020-09-21
public,6457,2020-09-21
total,6453,2020-09-21
pandemia,6421,2020-09-21
na,6385,2020-09-21
due,6358,2020-09-21
good,6296,2020-09-21
take,6296,2020-09-21
10,6277,2020-09-21
testing,6276,2020-09-21
guidance,6216,2020-09-21
read,6203,2020-09-21
make,6138,2020-09-21
care,6123,2020-09-21
masks,6122,2020-09-21
20,6081,2020-09-21
mask,6013,2020-09-21
et,6009,2020-09-21
work,5866,2020-09-21
year,5806,2020-09-21
the,5783,2020-09-21
crisis,5771,2020-09-21
think,5721,2020-09-21
re,5720,2020-09-21
say,5698,2020-09-21
tests,5684,2020-09-21
live,5637,2020-09-21
update,5579,2020-09-21
first,5557,2020-09-21
also,5528,2020-09-21
well,5522,2020-09-21
school,5512,2020-09-21
air,5472,2020-09-21
may,5342,2020-09-21
right,5227,2020-09-21
india,5198,2020-09-21
million,5174,2020-09-21
week,5166,2020-09-21
state,5164,2020-09-21
flu,5137,2020-09-21
way,5116,2020-09-21
dr,5115,2020-09-21
per,5104,2020-09-21
months,5065,2020-09-21
transmission,5047,2020-09-21
country,5028,2020-09-21
last,5007,2020-09-21
data,5000,2020-09-21
another,4904,2020-09-21
days,4878,2020-09-21
des,4843,2020-09-21
24,4836,2020-09-21
want,4802,2020-09-21
social,4763,2020-09-21
let,4759,2020-09-21
response,4733,2020-09-21
september,4688,2020-09-21
dead,4666,2020-09-21
much,4662,2020-09-21
must,4654,2020-09-21
face,4602,2020-09-21
home,4602,2020-09-21
every,4569,2020-09-21
since,4518,2020-09-21
report,4504,2020-09-21
stop,4489,2020-09-21
really,4479,2020-09-21
life,4465,2020-09-21
biden,4461,2020-09-21
ini,4456,2020-09-21
daily,4437,2020-09-21
vote,4416,2020-09-21
keep,4416,2020-09-21
du,4366,2020-09-21
nuevos,4360,2020-09-21
restrictions,4353,2020-09-21
salud,4322,2020-09-21
latest,4313,2020-09-21
president,4312,2020-09-21
global,4308,2020-09-21
number,4285,2020-09-21
business,4271,2020-09-21
support,4251,2020-09-21
risk,4237,2020-09-21
rate,4234,2020-09-21
madrid,4229,2020-09-21
second,4211,2020-09-21
schools,4187,2020-09-21
yang,4185,2020-09-21
posted,4173,2020-09-21
case,4138,2020-09-21
safe,4135,2020-09-21
lives,4132,2020-09-21
est,4120,2020-09-21
look,4106,2020-09-21
pilkada,4062,2020-09-21
taatprokessaatpilkada,4040,2020-09-21
two,4026,2020-09-21
long,3949,2020-09-21
everyone,3948,2020-09-21
il,3939,2020-09-21
states,3874,2020-09-21
eu,3824,2020-09-21
impact,3797,2020-09-21
50,3705,2020-09-21
com,3694,2020-09-21
reported,3681,2020-09-21
dengue,3670,2020-09-21
gop,3663,2020-09-21
em,3649,2020-09-21
gt,3639,2020-09-21
great,3616,2020-09-21
tested,3599,2020-09-21
never,3586,2020-09-21
made,3575,2020-09-21
economy,3571,2020-09-21
monday,3569,2020-09-21
plan,3566,2020-09-21
contagios,3529,2020-09-21
post,3528,2020-09-21
patients,3524,2020-09-21
confirmed,3521,2020-09-21
america,3486,2020-09-21
hospital,3468,2020-09-21
medical,3449,2020-09-21
got,3409,2020-09-21
pandemi,3405,2020-09-21
control,3375,2020-09-21
american,3365,2020-09-21
better,3361,2020-09-21
person,3359,2020-09-21
stay,3357,2020-09-21
pour,3347,2020-09-21
times,3344,2020-09-21
ca,3304,2020-09-21
next,3303,2020-09-21
family,3292,2020-09-21
to,3286,2020-09-21
in,3283,2020-09-21
city,3280,2020-09-21
man,3275,2020-09-21
science,3275,2020-09-21
level,3268,2020-09-21
numbers,3251,2020-09-21
come,3245,2020-09-21
usa,3241,2020-09-21
around,3234,2020-09-21
real,3227,2020-09-21
getting,3220,2020-09-21
não,3218,2020-09-21
mil,3211,2020-09-21
disease,3208,2020-09-21
end,3166,2020-09-21
without,3166,2020-09-21
open,3154,2020-09-21
hope,3154,2020-09-21
county,3152,2020-09-21
article,3146,2020-09-21
students,3137,2020-09-21
12,3120,2020-09-21
guidelines,3110,2020-09-21
wear,3102,2020-09-21
saying,3099,2020-09-21
information,3096,2020-09-21
15,3094,2020-09-21
online,3087,2020-09-21
ve,3058,2020-09-21
mais,3034,2020-09-21
important,3021,2020-09-21
hoy,2996,2020-09-21
09,2994,2020-09-21
oh,2990,2020-09-21
high,2977,2020-09-21
100,2973,2020-09-21
children,2955,2020-09-21
updates,2952,2020-09-21
30,2936,2020-09-21
point,2921,2020-09-21
away,2920,2020-09-21
recovery,2912,2020-09-21
wrong,2905,2020-09-21
outbreak,2905,2020-09-21
personas,2898,2020-09-21
years,2895,2020-09-21
done,2893,2020-09-21
infections,2889,2020-09-21
use,2888,2020-09-21
medidas,2888,2020-09-21
11,2874,2020-09-21
money,2872,2020-09-21
wave,2872,2020-09-21
free,2862,2020-09-21
election,2834,2020-09-21
top,2828,2020-09-21
working,2804,2020-09-21
reports,2799,2020-09-21
believe,2791,2020-09-21
rise,2780,2020-09-21
change,2779,2020-09-21
yet,2770,2020-09-21
already,2764,2020-09-21
continue,2756,2020-09-21
local,2749,2020-09-21
mundo,2746,2020-09-21
thing,2744,2020-09-21
thanks,2740,2020-09-21
join,2729,2020-09-21
love,2723,2020-09-21
ser,2717,2020-09-21
job,2716,2020-09-21
and,2715,2020-09-21
media,2710,2020-09-21
lost,2709,2020-09-21
travel,2704,2020-09-21
amid,2703,2020-09-21
pas,2676,2020-09-21
part,2672,2020-09-21
watch,2668,2020-09-21
protect,2667,2020-09-21
find,2661,2020-09-21
anyone,2660,2020-09-21
call,2654,2020-09-21
fight,2653,2020-09-21
nothing,2652,2020-09-21
relief,2648,2020-09-21
give,2644,2020-09-21
put,2639,2020-09-21
check,2588,2020-09-21
video,2587,2020-09-21
día,2586,2020-09-21
population,2584,2020-09-21
community,2583,2020-09-21
far,2577,2020-09-21
dos,2569,2020-09-21
best,2542,2020-09-21
muertes,2536,2020-09-21
plus,2527,2020-09-21
symptoms,2521,2020-09-21
au,2520,2020-09-21
22,2518,2020-09-21
untuk,2517,2020-09-21
sa,2516,2020-09-21
joebiden,2500,2020-09-21
needs,2500,2020-09-21
ever,2496,2020-09-21
dans,2492,2020-09-21
sure,2489,2020-09-21
show,2468,2020-09-21
spreads,2466,2020-09-21
