term,amount,date
coronavirus,186410,2020-06-13
covid,160232,2020-06-13
19,149118,2020-06-13
covid19,134635,2020-06-13
cases,37042,2020-06-13
new,28465,2020-06-13
people,28055,2020-06-13
amp,27168,2020-06-13
pandemic,20900,2020-06-13
via,17987,2020-06-13
trump,17047,2020-06-13
casos,16634,2020-06-13
get,16258,2020-06-13
us,16205,2020-06-13
news,15425,2020-06-13
virus,15223,2020-06-13
health,14662,2020-06-13
deaths,13948,2020-06-13
2020,13805,2020-06-13
like,13688,2020-06-13
one,13520,2020-06-13
positive,12242,2020-06-13
si,11864,2020-06-13
000,11087,2020-06-13
time,11087,2020-06-13
realdonaldtrump,10943,2020-06-13
lockdown,10430,2020-06-13
india,10376,2020-06-13
di,10163,2020-06-13
world,10095,2020-06-13
da,9958,2020-06-13
china,9394,2020-06-13
total,9357,2020-06-13
13,9152,2020-06-13
day,9132,2020-06-13
well,9029,2020-06-13
still,8983,2020-06-13
need,8899,2020-06-13
please,8772,2020-06-13
may,8711,2020-06-13
go,8676,2020-06-13
corona,8580,2020-06-13
know,8543,2020-06-13
crisis,8418,2020-06-13
would,8348,2020-06-13
death,8312,2020-06-13
hospital,8271,2020-06-13
help,8156,2020-06-13
pandemia,8058,2020-06-13
could,8036,2020-06-13
due,8015,2020-06-13
back,8007,2020-06-13
today,7853,2020-06-13
going,7794,2020-06-13
state,7744,2020-06-13
see,7733,2020-06-13
many,7540,2020-06-13
test,7511,2020-06-13
june,7216,2020-06-13
government,7197,2020-06-13
good,7184,2020-06-13
mask,7165,2020-06-13
social,7146,2020-06-13
home,7058,2020-06-13
masks,6991,2020-06-13
read,6956,2020-06-13
12,6936,2020-06-13
make,6891,2020-06-13
na,6886,2020-06-13
even,6852,2020-06-13
patients,6787,2020-06-13
take,6729,2020-06-13
first,6724,2020-06-13
spread,6696,2020-06-13
re,6682,2020-06-13
country,6656,2020-06-13
says,6491,2020-06-13
soon,6211,2020-06-13
care,6210,2020-06-13
em,6113,2020-06-13
work,6113,2020-06-13
et,6087,2020-06-13
number,6069,2020-06-13
also,6048,2020-06-13
tested,6019,2020-06-13
right,5983,2020-06-13
24,5972,2020-06-13
país,5935,2020-06-13
per,5916,2020-06-13
il,5904,2020-06-13
think,5901,2020-06-13
want,5889,2020-06-13
salud,5887,2020-06-13
10,5877,2020-06-13
stay,5877,2020-06-13
vaccine,5861,2020-06-13
tests,5849,2020-06-13
beijing,5778,2020-06-13
second,5777,2020-06-13
uk,5723,2020-06-13
live,5721,2020-06-13
die,5671,2020-06-13
safe,5649,2020-06-13
days,5624,2020-06-13
market,5620,2020-06-13
states,5620,2020-06-13
let,5589,2020-06-13
data,5517,2020-06-13
risk,5505,2020-06-13
testing,5470,2020-06-13
nuevos,5468,2020-06-13
last,5422,2020-06-13
said,5406,2020-06-13
wave,5392,2020-06-13
the,5359,2020-06-13
way,5350,2020-06-13
com,5323,2020-06-13
say,5317,2020-06-13
public,5199,2020-06-13
times,5134,2020-06-13
florida,5125,2020-06-13
lives,5104,2020-06-13
11,5070,2020-06-13
must,5061,2020-06-13
daily,4983,2020-06-13
de,4962,2020-06-13
des,4878,2020-06-13
everyone,4867,2020-06-13
much,4858,2020-06-13
since,4818,2020-06-13
du,4811,2020-06-13
covid_19,4718,2020-06-13
20,4628,2020-06-13
free,4624,2020-06-13
keep,4601,2020-06-13
face,4598,2020-06-13
support,4584,2020-06-13
brasil,4584,2020-06-13
really,4578,2020-06-13
latest,4556,2020-06-13
gt,4521,2020-06-13
não,4495,2020-06-13
response,4484,2020-06-13
great,4479,2020-06-13
million,4479,2020-06-13
life,4429,2020-06-13
stop,4422,2020-06-13
mundo,4414,2020-06-13
post,4411,2020-06-13
confirmed,4375,2020-06-13
ser,4358,2020-06-13
gobierno,4305,2020-06-13
कर,4273,2020-06-13
hope,4267,2020-06-13
months,4263,2020-06-13
week,4255,2020-06-13
global,4238,2020-06-13
come,4214,2020-06-13
mais,4202,2020-06-13
delhi,4200,2020-06-13
report,4195,2020-06-13
year,4164,2020-06-13
another,4144,2020-06-13
got,4098,2020-06-13
two,4093,2020-06-13
contagios,4075,2020-06-13
outbreak,4074,2020-06-13
economy,4070,2020-06-13
update,4059,2020-06-13
real,4055,2020-06-13
look,4048,2020-06-13
business,4028,2020-06-13
est,4019,2020-06-13
personas,4004,2020-06-13
recovery,3958,2020-06-13
