term,amount,date
covid,171556,2020-10-12
19,152225,2020-10-12
covid19,138860,2020-10-12
coronavirus,131308,2020-10-12
trump,46285,2020-10-12
amp,33330,2020-10-12
people,28401,2020-10-12
cases,26003,2020-10-12
new,25598,2020-10-12
realdonaldtrump,24079,2020-10-12
pandemic,21292,2020-10-12
virus,19897,2020-10-12
via,18190,2020-10-12
us,17128,2020-10-12
get,15352,2020-10-12
like,14404,2020-10-12
deaths,14101,2020-10-12
one,13745,2020-10-12
health,13145,2020-10-12
000,12684,2020-10-12
2020,12593,2020-10-12
lockdown,12386,2020-10-12
test,12145,2020-10-12
news,12003,2020-10-12
10,11932,2020-10-12
12,11731,2020-10-12
di,11731,2020-10-12
days,11708,2020-10-12
vaccine,11292,2020-10-12
positive,11023,2020-10-12
johnson,10990,2020-10-12
time,10518,2020-10-12
says,10428,2020-10-12
casos,10327,2020-10-12
would,10149,2020-10-12
mask,9926,2020-10-12
il,9820,2020-10-12
due,9533,2020-10-12
president,9400,2020-10-12
know,9228,2020-10-12
world,9122,2020-10-12
et,9024,2020-10-12
die,8634,2020-10-12
need,8613,2020-10-12
china,8494,2020-10-12
still,8466,2020-10-12
many,8204,2020-10-12
today,7790,2020-10-12
masks,7743,2020-10-12
even,7696,2020-10-12
help,7651,2020-10-12
government,7619,2020-10-12
si,7606,2020-10-12
vote,7599,2020-10-12
take,7543,2020-10-12
des,7489,2020-10-12
tested,7464,2020-10-12
day,7444,2020-10-12
corona,7426,2020-10-12
go,7396,2020-10-12
see,7362,2020-10-12
spread,7256,2020-10-12
could,7240,2020-10-12
first,7193,2020-10-12
back,7168,2020-10-12
death,7150,2020-10-12
going,7068,2020-10-12
americans,7059,2020-10-12
care,6933,2020-10-12
work,6932,2020-10-12
study,6929,2020-10-12
stop,6899,2020-10-12
est,6893,2020-10-12
28,6859,2020-10-12
said,6792,2020-10-12
per,6660,2020-10-12
please,6604,2020-10-12
last,6581,2020-10-12
also,6472,2020-10-12
the,6373,2020-10-12
uk,6347,2020-10-12
pandemia,6312,2020-10-12
re,6281,2020-10-12
since,6275,2020-10-12
good,6164,2020-10-12
tests,6117,2020-10-12
want,6114,2020-10-12
think,6102,2020-10-12
may,6079,2020-10-12
right,5984,2020-10-12
testing,5965,2020-10-12
country,5957,2020-10-12
make,5944,2020-10-12
say,5924,2020-10-12
da,5901,2020-10-12
well,5898,2020-10-12
du,5875,2020-10-12
year,5838,2020-10-12
oms,5803,2020-10-12
read,5793,2020-10-12
restrictions,5773,2020-10-12
negative,5750,2020-10-12
let,5714,2020-10-12
total,5577,2020-10-12
dr,5555,2020-10-12
na,5472,2020-10-12
man,5428,2020-10-12
state,5427,2020-10-12
live,5422,2020-10-12
gop,5381,2020-10-12
million,5364,2020-10-12
public,5351,2020-10-12
week,5347,2020-10-12
way,5298,2020-10-12
pas,5270,2020-10-12
house,5250,2020-10-12
donald,5246,2020-10-12
died,5199,2020-10-12
biden,5191,2020-10-12
lockdowns,5076,2020-10-12
oct,5034,2020-10-12
white,5005,2020-10-12
pour,4996,2020-10-12
non,4991,2020-10-12
patients,4975,2020-10-12
much,4969,2020-10-12
hospital,4944,2020-10-12
20,4872,2020-10-12
never,4819,2020-10-12
really,4815,2020-10-12
data,4797,2020-10-12
home,4771,2020-10-12
response,4766,2020-10-12
must,4763,2020-10-12
months,4730,2020-10-12
dan,4729,2020-10-12
case,4689,2020-10-12
keep,4674,2020-10-12
support,4654,2020-10-12
life,4641,2020-10-12
social,4631,2020-10-12
risk,4577,2020-10-12
october,4537,2020-10-12
got,4521,2020-10-12
every,4466,2020-10-12
lives,4463,2020-10-12
another,4454,2020-10-12
cdc,4435,2020-10-12
getting,4401,2020-10-12
infected,4395,2020-10-12
flu,4377,2020-10-12
latest,4352,2020-10-12
great,4347,2020-10-12
states,4280,2020-10-12
immunity,4280,2020-10-12
je,4263,2020-10-12
florida,4254,2020-10-12
science,4223,2020-10-12
24,4216,2020-10-12
everyone,4206,2020-10-12
face,4205,2020-10-12
11,4192,2020-10-12
america,4168,2020-10-12
come,4112,2020-10-12
reported,4105,2020-10-12
long,4071,2020-10-12
number,3964,2020-10-12
une,3936,2020-10-12
plan,3935,2020-10-12
crisis,3921,2020-10-12
salud,3912,2020-10-12
nuevos,3907,2020-10-12
high,3896,2020-10-12
fauci,3875,2020-10-12
control,3874,2020-10-12
better,3870,2020-10-12
global,3863,2020-10-12
business,3851,2020-10-12
campaign,3848,2020-10-12
wear,3842,2020-10-12
stay,3831,2020-10-12
american,3826,2020-10-12
au,3824,2020-10-12
two,3821,2020-10-12
sur,3802,2020-10-12
rate,3778,2020-10-12
system,3772,2020-10-12
dead,3735,2020-10-12
school,3734,2020-10-12
rally,3734,2020-10-12
boris,3718,2020-10-12
safe,3713,2020-10-12
illness,3706,2020-10-12
