term,amount,date
covid,185099,2020-09-22
19,167343,2020-09-22
coronavirus,149588,2020-09-22
covid19,125675,2020-09-22
trump,38836,2020-09-22
people,36102,2020-09-22
000,32016,2020-09-22
amp,31407,2020-09-22
new,29342,2020-09-22
cases,29186,2020-09-22
deaths,26545,2020-09-22
us,25669,2020-09-22
pandemic,24972,2020-09-22
200,23916,2020-09-22
2020,21103,2020-09-22
virus,17976,2020-09-22
realdonaldtrump,16842,2020-09-22
via,16720,2020-09-22
one,15613,2020-09-22
health,15083,2020-09-22
get,14989,2020-09-22
death,14364,2020-09-22
like,14192,2020-09-22
news,13403,2020-09-22
casos,12449,2020-09-22
time,11890,2020-09-22
would,11804,2020-09-22
world,11652,2020-09-22
know,11618,2020-09-22
china,11426,2020-09-22
says,11334,2020-09-22
americans,11182,2020-09-22
vaccine,11080,2020-09-22
many,10590,2020-09-22
died,10445,2020-09-22
positive,10125,2020-09-22
today,10038,2020-09-22
need,10023,2020-09-22
help,10001,2020-09-22
could,9740,2020-09-22
day,9710,2020-09-22
government,9629,2020-09-22
22,9423,2020-09-22
still,9352,2020-09-22
di,9123,2020-09-22
covid_19,9022,2020-09-22
please,8924,2020-09-22
make,8886,2020-09-22
said,8599,2020-09-22
test,8578,2020-09-22
due,8563,2020-09-22
spread,8528,2020-09-22
cdc,8518,2020-09-22
good,8518,2020-09-22
uk,8490,2020-09-22
go,8446,2020-09-22
die,8270,2020-09-22
10,8237,2020-09-22
work,8202,2020-09-22
take,8043,2020-09-22
september,7983,2020-09-22
see,7893,2020-09-22
nobody,7814,2020-09-22
going,7753,2020-09-22
boris,7686,2020-09-22
even,7555,2020-09-22
dead,7529,2020-09-22
president,7504,2020-09-22
back,7449,2020-09-22
year,7402,2020-09-22
21,7366,2020-09-22
restrictions,7315,2020-09-22
months,7277,2020-09-22
corona,7222,2020-09-22
the,7185,2020-09-22
country,7158,2020-09-22
si,7129,2020-09-22
total,7128,2020-09-22
home,7124,2020-09-22
think,7091,2020-09-22
care,7059,2020-09-22
mask,7046,2020-09-22
may,7018,2020-09-22
na,6961,2020-09-22
johnson,6918,2020-09-22
lockdown,6884,2020-09-22
state,6859,2020-09-22
vote,6812,2020-09-22
first,6722,2020-09-22
re,6715,2020-09-22
response,6691,2020-09-22
testing,6658,2020-09-22
pandemia,6640,2020-09-22
maklumatkapolritaatprokes,6634,2020-09-22
live,6632,2020-09-22
da,6630,2020-09-22
toll,6551,2020-09-22
public,6485,2020-09-22
well,6377,2020-09-22
last,6333,2020-09-22
per,6240,2020-09-22
dan,6230,2020-09-22
protokol,6188,2020-09-22
20,6164,2020-09-22
crisis,6162,2020-09-22
also,6129,2020-09-22
right,6127,2020-09-22
masks,6122,2020-09-22
lives,6028,2020-09-22
kesehatan,6027,2020-09-22
say,6010,2020-09-22
tests,6009,2020-09-22
number,5974,2020-09-22
et,5971,2020-09-22
must,5814,2020-09-22
pilkada,5806,2020-09-22
flu,5759,2020-09-22
stop,5711,2020-09-22
read,5709,2020-09-22
support,5673,2020-09-22
let,5659,2020-09-22
24,5643,2020-09-22
way,5622,2020-09-22
want,5609,2020-09-22
states,5596,2020-09-22
really,5575,2020-09-22
social,5492,2020-09-22
virtually,5345,2020-09-22
america,5253,2020-09-22
tested,5252,2020-09-22
since,5246,2020-09-22
safe,5225,2020-09-22
much,5157,2020-09-22
keep,5126,2020-09-22
million,5123,2020-09-22
data,5114,2020-09-22
dr,5110,2020-09-22
every,5104,2020-09-22
risk,5093,2020-09-22
another,5031,2020-09-22
school,4967,2020-09-22
latest,4950,2020-09-22
affects,4924,2020-09-22
update,4907,2020-09-22
life,4839,2020-09-22
des,4836,2020-09-22
play,4835,2020-09-22
india,4815,2020-09-22
face,4793,2020-09-22
days,4788,2020-09-22
american,4783,2020-09-22
without,4739,2020-09-22
business,4736,2020-09-22
dalam,4709,2020-09-22
daily,4698,2020-09-22
case,4672,2020-09-22
global,4605,2020-09-22
plan,4595,2020-09-22
never,4582,2020-09-22
made,4581,2020-09-22
look,4564,2020-09-22
everyone,4537,2020-09-22
post,4533,2020-09-22
week,4523,2020-09-22
18,4497,2020-09-22
rate,4482,2020-09-22
two,4422,2020-09-22
years,4419,2020-09-22
schools,4345,2020-09-22
nuevos,4342,2020-09-22
players,4341,2020-09-22
il,4324,2020-09-22
15,4318,2020-09-22
du,4298,2020-09-22
great,4268,2020-09-22
gop,4267,2020-09-22
dari,4252,2020-09-22
next,4251,2020-09-22
em,4245,2020-09-22
salud,4236,2020-09-22
impact,4204,2020-09-22
lost,4195,2020-09-22
money,4182,2020-09-22
free,4159,2020-09-22
patients,4128,2020-09-22
biden,4099,2020-09-22
numbers,4073,2020-09-22
come,4067,2020-09-22
family,4017,2020-09-22
report,4014,2020-09-22
12,4007,2020-09-22
reported,4007,2020-09-22
got,3996,2020-09-22
man,3987,2020-09-22
est,3970,2020-09-22
second,3936,2020-09-22
maklumat,3921,2020-09-22
long,3913,2020-09-22
terkait,3897,2020-09-22
yet,3896,2020-09-22
kapolri,3870,2020-09-22
usa,3828,2020-09-22
economy,3822,2020-09-22
election,3789,2020-09-22
children,3768,2020-09-22
done,3748,2020-09-22
end,3729,2020-09-22
measures,3729,2020-09-22
hospital,3711,2020-09-22
real,3709,2020-09-22
gt,3708,2020-09-22
fair,3684,2020-09-22
disease,3673,2020-09-22
com,3660,2020-09-22
100,3660,2020-09-22
better,3654,2020-09-22
times,3647,2020-09-22
in,3640,2020-09-22
agar,3636,2020-09-22
mundo,3635,2020-09-22
confirmed,3623,2020-09-22
contagios,3595,2020-09-22
pelaksanaan,3579,2020-09-22
action,3571,2020-09-22
yang,3565,2020-09-22
rules,3560,2020-09-22
to,3558,2020-09-22
ca,3552,2020-09-22
anyone,3514,2020-09-22
getting,3513,2020-09-22
far,3508,2020-09-22
killed,3501,2020-09-22
person,3498,2020-09-22
30,3495,2020-09-22
around,3489,2020-09-22
ve,3476,2020-09-22
pm,3473,2020-09-22
old,3460,2020-09-22
chinese,3458,2020-09-22
hope,3456,2020-09-22
donald,3450,2020-09-22
nothing,3450,2020-09-22
part,3436,2020-09-22
mil,3429,2020-09-22
job,3425,2020-09-22
change,3422,2020-09-22
high,3404,2020-09-22
use,3403,2020-09-22
media,3402,2020-09-22
air,3399,2020-09-22
serentak,3389,2020-09-22
watch,3382,2020-09-22
não,3380,2020-09-22
borisjohnson,3374,2020-09-22
wear,3362,2020-09-22
students,3354,2020-09-22
pour,3339,2020-09-22
