date,business,canada,cases,close,closing,corona,coronavirus,covid,covid19,deaths,distancing,economy,epidemic,fake,hoax,masks,reopen,reopening,rise,rising,rules,schools,trump,virus
2020-06-12,6751,2370,43898,2361,,9578,219868,208480,183902,16380,4378,7795,,2202,2825,8410,3216,3930,3832,2228,1834,2435,27309,18450
2020-05-14,9763,2880,34116,2591,,12046,324292,251465,221434,23630,4717,8904,,2943,,7232,5167,5166,2475,,2087,4244,35556,30185
