term,amount,date
coronavirus,313731,2020-05-16
covid,216289,2020-05-16
19,203197,2020-05-16
covid19,189034,2020-05-16
people,43734,2020-05-16
amp,42646,2020-05-16
new,38720,2020-05-16
trump,38495,2020-05-16
cases,38293,2020-05-16
nan,37547,2020-05-16
via,33944,2020-05-16
pandemic,32890,2020-05-16
us,29930,2020-05-16
deaths,28759,2020-05-16
virus,26090,2020-05-16
lockdown,24992,2020-05-16
news,24527,2020-05-16
like,22809,2020-05-16
one,21550,2020-05-16
realdonaldtrump,21220,2020-05-16
get,20348,2020-05-16
china,20104,2020-05-16
may,19910,2020-05-16
health,18982,2020-05-16
time,17969,2020-05-16
casos,17787,2020-05-16
world,17623,2020-05-16
000,17443,2020-05-16
si,16541,2020-05-16
death,16444,2020-05-16
2020,16346,2020-05-16
would,15803,2020-05-16
da,15610,2020-05-16
home,15464,2020-05-16
di,15411,2020-05-16
know,14824,2020-05-16
crisis,14573,2020-05-16
help,14280,2020-05-16
need,14187,2020-05-16
vaccine,13897,2020-05-16
go,13751,2020-05-16
could,13433,2020-05-16
total,13397,2020-05-16
see,13215,2020-05-16
16,13127,2020-05-16
back,12943,2020-05-16
corona,12899,2020-05-16
government,12859,2020-05-16
many,12757,2020-05-16
state,12552,2020-05-16
says,12385,2020-05-16
et,12174,2020-05-16
please,12116,2020-05-16
good,12111,2020-05-16
testing,11994,2020-05-16
patients,11982,2020-05-16
day,11981,2020-05-16
test,11853,2020-05-16
due,11826,2020-05-16
il,11814,2020-05-16
work,11748,2020-05-16
even,11628,2020-05-16
today,11440,2020-05-16
still,11334,2020-05-16
india,11320,2020-05-16
the,11308,2020-05-16
read,11193,2020-05-16
going,10972,2020-05-16
country,10911,2020-05-16
die,10881,2020-05-16
response,10864,2020-05-16
think,10695,2020-05-16
des,10690,2020-05-16
na,10634,2020-05-16
make,10561,2020-05-16
positive,10508,2020-05-16
first,10472,2020-05-16
take,10420,2020-05-16
em,10383,2020-05-16
per,10371,2020-05-16
president,10319,2020-05-16
care,10205,2020-05-16
covid_19,10147,2020-05-16
pandemia,10057,2020-05-16
re,9732,2020-05-16
10,9708,2020-05-16
bill,9682,2020-05-16
want,9630,2020-05-16
live,9566,2020-05-16
15,9562,2020-05-16
com,9485,2020-05-16
du,9369,2020-05-16
não,9333,2020-05-16
way,9320,2020-05-16
obama,9300,2020-05-16
social,9299,2020-05-16
right,9242,2020-05-16
also,9219,2020-05-16
uk,9197,2020-05-16
well,9134,2020-05-16
est,9048,2020-05-16
let,9001,2020-05-16
said,8914,2020-05-16
latest,8731,2020-05-16
number,8465,2020-05-16
must,8463,2020-05-16
stay,8392,2020-05-16
times,8371,2020-05-16
much,8295,2020-05-16
spread,8252,2020-05-16
say,8209,2020-05-16
public,8056,2020-05-16
great,8000,2020-05-16
hospital,7864,2020-05-16
really,7815,2020-05-16
died,7812,2020-05-16
house,7792,2020-05-16
stop,7593,2020-05-16
mais,7494,2020-05-16
workers,7484,2020-05-16
year,7406,2020-05-16
last,7387,2020-05-16
daily,7380,2020-05-16
states,7317,2020-05-16
safe,7241,2020-05-16
americans,7233,2020-05-16
money,7222,2020-05-16
pour,7148,2020-05-16
100,7088,2020-05-16
data,7069,2020-05-16
every,7066,2020-05-16
usa,7066,2020-05-16
confirmed,7024,2020-05-16
life,7013,2020-05-16
days,7007,2020-05-16
support,6983,2020-05-16
america,6952,2020-05-16
come,6940,2020-05-16
youtube,6938,2020-05-16
keep,6927,2020-05-16
look,6921,2020-05-16
tests,6904,2020-05-16
24,6825,2020-05-16
video,6773,2020-05-16
dr,6721,2020-05-16
since,6704,2020-05-16
true,6675,2020-05-16
hope,6674,2020-05-16
ser,6643,2020-05-16
20,6616,2020-05-16
open,6577,2020-05-16
salud,6571,2020-05-16
never,6568,2020-05-16
post,6525,2020-05-16
two,6510,2020-05-16
children,6505,2020-05-16
vía,6481,2020-05-16
got,6468,2020-05-16
real,6466,2020-05-16
dan,6433,2020-05-16
business,6405,2020-05-16
free,6403,2020-05-16
plan,6382,2020-05-16
non,6372,2020-05-16
país,6369,2020-05-16
another,6364,2020-05-16
everyone,6348,2020-05-16
masks,6345,2020-05-16
economy,6326,2020-05-16
pas,6323,2020-05-16
article,6292,2020-05-16
gobierno,6278,2020-05-16
relief,6250,2020-05-16
mundo,6238,2020-05-16
to,6232,2020-05-16
york,6198,2020-05-16
update,6198,2020-05-16
risk,6182,2020-05-16
better,6170,2020-05-16
mask,6145,2020-05-16
fight,6130,2020-05-16
end,6116,2020-05-16
case,6070,2020-05-16
man,5989,2020-05-16
um,5908,2020-05-16
in,5904,2020-05-16
brasil,5876,2020-05-16
thanks,5873,2020-05-16
made,5864,2020-05-16
million,5847,2020-05-16
global,5836,2020-05-16
long,5791,2020-05-16
lives,5785,2020-05-16
reported,5762,2020-05-16
face,5732,2020-05-16
outbreak,5671,2020-05-16
gente,5662,2020-05-16
thank,5656,2020-05-16
medical,5654,2020-05-16
use,5623,2020-05-16
media,5596,2020-05-16
family,5591,2020-05-16
eu,5584,2020-05-16
week,5563,2020-05-16
homes,5514,2020-05-16
twitter,5510,2020-05-16
updates,5508,2020-05-16
disease,5499,2020-05-16
gt,5492,2020-05-16
nuevos,5460,2020-05-16
une,5453,2020-05-16
personas,5411,2020-05-16
without,5387,2020-05-16
next,5321,2020-05-16
tested,5316,2020-05-16
getting,5312,2020-05-16
au,5301,2020-05-16
love,5286,2020-05-16
amid,5265,2020-05-16
14,5264,2020-05-16
numbers,5230,2020-05-16
done,5227,2020-05-16
dos,5188,2020-05-16
va,5130,2020-05-16
30,5124,2020-05-16
quarantine,5095,2020-05-16
and,5092,2020-05-16
check,5081,2020-05-16
ca,5079,2020-05-16
around,5045,2020-05-16
months,5025,2020-05-16
school,4995,2020-05-16
dead,4958,2020-05-16
believe,4949,2020-05-16
working,4948,2020-05-16
ve,4932,2020-05-16
11,4900,2020-05-16
away,4899,2020-05-16
god,4884,2020-05-16
years,4877,2020-05-16
thing,4864,2020-05-16
best,4860,2020-05-16
watch,4854,2020-05-16
toll,4848,2020-05-16
countries,4845,2020-05-16
give,4843,2020-05-16
hoy,4835,2020-05-16
food,4786,2020-05-16
cuarentena,4764,2020-05-16
put,4743,2020-05-16
schools,4727,2020-05-16
कर,4719,2020-05-16
rate,4717,2020-05-16
de,4686,2020-05-16
top,4683,2020-05-16
mas,4651,2020-05-16
job,4646,2020-05-16
yet,4626,2020-05-16
big,4622,2020-05-16
weeks,4619,2020-05-16
high,4608,2020-05-16
dans,4600,2020-05-16
ever,4591,2020-05-16
app,4589,2020-05-16
national,4577,2020-05-16
nursing,4561,2020-05-16
muertes,4558,2020-05-16
old,4526,2020-05-16
travel,4506,2020-05-16
ahora,4489,2020-05-16
it,4485,2020-05-16
already,4484,2020-05-16
solo,4483,2020-05-16
covidー19,4462,2020-05-16
far,4453,2020-05-16
sur,4446,2020-05-16
distancing,4431,2020-05-16
mil,4431,2020-05-16
coronavírus,4431,2020-05-16
democrats,4420,2020-05-16
12,4420,2020-05-16
shows,4419,2020-05-16
control,4401,2020-05-16
che,4391,2020-05-16
plus,4387,2020-05-16
ne,4362,2020-05-16
qui,4360,2020-05-16
nothing,4356,2020-05-16
american,4356,2020-05-16
govt,4341,2020-05-16
flu,4328,2020-05-16
online,4313,2020-05-16
gates,4312,2020-05-16
part,4308,2020-05-16
así,4307,2020-05-16
find,4303,2020-05-16
things,4294,2020-05-16
report,4266,2020-05-16
infected,4235,2020-05-16
reports,4207,2020-05-16
county,4200,2020-05-16
study,4173,2020-05-16
city,4172,2020-05-16
casa,4143,2020-05-16
sure,4130,2020-05-16
show,4122,2020-05-16
something,4117,2020-05-16
día,4114,2020-05-16
future,4111,2020-05-16
yes,4094,2020-05-16
story,4085,2020-05-16
france,4083,2020-05-16
españa,4081,2020-05-16
anyone,4079,2020-05-16
cnn,4074,2020-05-16
reopening,4072,2020-05-16
bad,4072,2020-05-16
treatment,4072,2020-05-16
reopen,4037,2020-05-16
bundesliga,4034,2020-05-16
used,4033,2020-05-16
hit,4010,2020-05-16
uma,4000,2020-05-16
18,3994,2020-05-16
méxico,3989,2020-05-16
italy,3976,2020-05-16
05,3974,2020-05-16
stayhome,3973,2020-05-16
needs,3964,2020-05-16
enough,3951,2020-05-16
cdc,3947,2020-05-16
of,3940,2020-05-16
behind,3938,2020-05-16
canada,3935,2020-05-16
cure,3929,2020-05-16
symptoms,3898,2020-05-16
50,3893,2020-05-16
bien,3876,2020-05-16
pay,3873,2020-05-16
others,3857,2020-05-16
change,3855,2020-05-16
17,3851,2020-05-16
coming,3850,2020-05-16
trying,3843,2020-05-16
normal,3835,2020-05-16
community,3830,2020-05-16
population,3824,2020-05-16
start,3818,2020-05-16
restrictions,3811,2020-05-16
das,3803,2020-05-16
making,3795,2020-05-16
recovered,3791,2020-05-16
might,3789,2020-05-16
pm,3787,2020-05-16
rt,3782,2020-05-16
call,3772,2020-05-16
presidente,3769,2020-05-16
der,3757,2020-05-16
human,3757,2020-05-16
information,3751,2020-05-16
together,3738,2020-05-16
van,3737,2020-05-16
science,3730,2020-05-16
bbc,3710,2020-05-16
no,3694,2020-05-16
follow,3688,2020-05-16
situation,3687,2020-05-16
local,3682,2020-05-16
