date,business,canada,cases,close,closing,corona,coronavirus,covid,covid19,deaths,distancing,economy,epidemic,fake,hoax,masks,reopen,reopening,rise,rising,rules,schools,trump,virus
2020-05-15,9381,2873,35508,2875,,12030,331612,251029,218946,26870,4829,9209,,3267,,6390,5012,5283,2835,,2573,6388,39938,26389
2020-08-13,5284,1901,31894,1986,,7681,174573,198617,134642,19110,2107,4725,,1834,1516,8483,1755,1840,1772,,1874,7236,26109,17933
