term,amount,date
coronavirus,315514,2020-05-02
covid,193697,2020-05-02
19,181829,2020-05-02
covid19,158134,2020-05-02
nan,59034,2020-05-02
people,42818,2020-05-02
amp,40570,2020-05-02
new,35905,2020-05-02
cases,35555,2020-05-02
via,35209,2020-05-02
us,32784,2020-05-02
pandemic,30030,2020-05-02
deaths,28794,2020-05-02
trump,28544,2020-05-02
lockdown,24314,2020-05-02
virus,23921,2020-05-02
news,21570,2020-05-02
china,21098,2020-05-02
like,20879,2020-05-02
one,19895,2020-05-02
get,19791,2020-05-02
may,19704,2020-05-02
000,19496,2020-05-02
time,17731,2020-05-02
world,17234,2020-05-02
death,17219,2020-05-02
health,17012,2020-05-02
2020,16441,2020-05-02
di,16142,2020-05-02
know,16141,2020-05-02
covid__19,15842,2020-05-02
si,15837,2020-05-02
realdonaldtrump,15265,2020-05-02
would,15225,2020-05-02
help,14903,2020-05-02
home,14888,2020-05-02
crisis,14696,2020-05-02
casos,14538,2020-05-02
state,13898,2020-05-02
need,13597,2020-05-02
could,13551,2020-05-02
il,13353,2020-05-02
et,13222,2020-05-02
day,13062,2020-05-02
da,12955,2020-05-02
please,12803,2020-05-02
government,12618,2020-05-02
see,12617,2020-05-02
go,12604,2020-05-02
total,12368,2020-05-02
des,11949,2020-05-02
many,11706,2020-05-02
corona,11584,2020-05-02
per,11447,2020-05-02
test,11370,2020-05-02
says,11165,2020-05-02
good,11088,2020-05-02
testing,10964,2020-05-02
the,10951,2020-05-02
back,10922,2020-05-02
patients,10904,2020-05-02
still,10852,2020-05-02
due,10798,2020-05-02
today,10730,2020-05-02
die,10644,2020-05-02
take,10549,2020-05-02
even,10524,2020-05-02
du,10513,2020-05-02
going,10485,2020-05-02
work,10407,2020-05-02
na,10258,2020-05-02
positive,10215,2020-05-02
country,10149,2020-05-02
est,10032,2020-05-02
think,9869,2020-05-02
10,9638,2020-05-02
stay,9521,2020-05-02
uk,9510,2020-05-02
make,9354,2020-05-02
read,9310,2020-05-02
pandemia,9256,2020-05-02
right,9221,2020-05-02
first,9175,2020-05-02
india,9153,2020-05-02
tests,8895,2020-05-02
re,8839,2020-05-02
covid_19,8839,2020-05-02
pour,8745,2020-05-02
workers,8687,2020-05-02
well,8651,2020-05-02
also,8647,2020-05-02
social,8593,2020-05-02
let,8585,2020-05-02
live,8571,2020-05-02
want,8536,2020-05-02
spread,8400,2020-05-02
hospital,8352,2020-05-02
care,8344,2020-05-02
say,8299,2020-05-02
much,8165,2020-05-02
way,8148,2020-05-02
24,8133,2020-05-02
vaccine,8112,2020-05-02
response,8079,2020-05-02
em,7890,2020-05-02
really,7858,2020-05-02
look,7770,2020-05-02
economy,7746,2020-05-02
daily,7725,2020-05-02
said,7724,2020-05-02
number,7694,2020-05-02
must,7544,2020-05-02
last,7530,2020-05-02
states,7502,2020-05-02
cdc,7484,2020-05-02
come,7460,2020-05-02
stop,7444,2020-05-02
society,7438,2020-05-02
days,7431,2020-05-02
times,7375,2020-05-02
data,7348,2020-05-02
public,7319,2020-05-02
pas,7306,2020-05-02
life,7293,2020-05-02
support,7291,2020-05-02
great,7275,2020-05-02
fight,7172,2020-05-02
youtube,7172,2020-05-02
outbreak,7127,2020-05-02
video,7019,2020-05-02
confirmed,7011,2020-05-02
com,6979,2020-05-02
non,6973,2020-05-02
keep,6948,2020-05-02
to,6907,2020-05-02
dr,6888,2020-05-02
100,6877,2020-05-02
died,6807,2020-05-02
não,6734,2020-05-02
reported,6715,2020-05-02
use,6706,2020-05-02
two,6674,2020-05-02
numbers,6586,2020-05-02
flu,6584,2020-05-02
gente,6581,2020-05-02
latest,6566,2020-05-02
every,6503,2020-05-02
au,6456,2020-05-02
money,6450,2020-05-02
case,6377,2020-05-02
media,6363,2020-05-02
true,6334,2020-05-02
business,6279,2020-05-02
americans,6269,2020-05-02
gobierno,6249,2020-05-02
lives,6248,2020-05-02
20,6243,2020-05-02
president,6232,2020-05-02
free,6227,2020-05-02
america,6227,2020-05-02
report,6202,2020-05-02
post,6188,2020-05-02
app,6185,2020-05-02
year,6165,2020-05-02
face,6165,2020-05-02
update,6116,2020-05-02
got,6043,2020-05-02
usa,6034,2020-05-02
check,6018,2020-05-02
another,6008,2020-05-02
made,6006,2020-05-02
safe,5999,2020-05-02
open,5990,2020-05-02
million,5987,2020-05-02
real,5968,2020-05-02
mais,5942,2020-05-02
vía,5918,2020-05-02
gt,5836,2020-05-02
house,5821,2020-05-02
thanks,5810,2020-05-02
next,5792,2020-05-02
une,5785,2020-05-02
thank,5707,2020-05-02
man,5691,2020-05-02
medical,5688,2020-05-02
amid,5654,2020-05-02
since,5627,2020-05-02
twitter,5620,2020-05-02
everyone,5609,2020-05-02
global,5552,2020-05-02
dan,5538,2020-05-02
never,5534,2020-05-02
ser,5525,2020-05-02
mask,5522,2020-05-02
hope,5511,2020-05-02
in,5507,2020-05-02
week,5482,2020-05-02
salud,5471,2020-05-02
eu,5462,2020-05-02
30,5387,2020-05-02
end,5383,2020-05-02
family,5380,2020-05-02
tested,5357,2020-05-02
personas,5341,2020-05-02
years,5296,2020-05-02
treatment,5219,2020-05-02
getting,5193,2020-05-02
believe,5183,2020-05-02
watch,5174,2020-05-02
risk,5159,2020-05-02
york,5139,2020-05-02
disease,5115,2020-05-02
ne,5113,2020-05-02
mundo,5102,2020-05-02
dans,5067,2020-05-02
país,5048,2020-05-02
quarantine,5035,2020-05-02
stayhome,5019,2020-05-02
sur,5018,2020-05-02
plan,5018,2020-05-02
ca,5017,2020-05-02
masks,5005,2020-05-02
che,4992,2020-05-02
plus,4975,2020-05-02
better,4968,2020-05-02
weeks,4961,2020-05-02
dead,4939,2020-05-02
updates,4937,2020-05-02
rate,4926,2020-05-02
va,4924,2020-05-02
future,4904,2020-05-02
qui,4903,2020-05-02
long,4899,2020-05-02
article,4847,2020-05-02
chinese,4828,2020-05-02
working,4825,2020-05-02
yet,4804,2020-05-02
toll,4793,2020-05-02
cashless,4793,2020-05-02
and,4784,2020-05-02
remdesivir,4769,2020-05-02
wuhan,4756,2020-05-02
done,4727,2020-05-02
de,4725,2020-05-02
11,4716,2020-05-02
um,4689,2020-05-02
food,4676,2020-05-02
around,4645,2020-05-02
casa,4642,2020-05-02
countries,4634,2020-05-02
reports,4627,2020-05-02
love,4627,2020-05-02
france,4572,2020-05-02
give,4556,2020-05-02
hoy,4538,2020-05-02
far,4520,2020-05-02
without,4518,2020-05-02
towards,4508,2020-05-02
big,4490,2020-05-02
city,4485,2020-05-02
doctors,4478,2020-05-02
show,4468,2020-05-02
ce,4461,2020-05-02
12,4451,2020-05-02
already,4388,2020-05-02
best,4385,2020-05-02
thing,4379,2020-05-02
part,4376,2020-05-02
might,4355,2020-05-02
cuarentena,4352,2020-05-02
truth,4343,2020-05-02
nuevos,4342,2020-05-02
children,4339,2020-05-02
fauci,4332,2020-05-02
je,4318,2020-05-02
ve,4302,2020-05-02
god,4301,2020-05-02
