term,amount,date
covid,166386,2020-10-01
19,151839,2020-10-01
covid19,125381,2020-10-01
coronavirus,124210,2020-10-01
trump,43436,2020-10-01
amp,27283,2020-10-01
new,24651,2020-10-01
cases,24226,2020-10-01
people,23701,2020-10-01
pandemic,21111,2020-10-01
positive,19908,2020-10-01
virus,17792,2020-10-01
hope,17505,2020-10-01
via,15242,2020-10-01
one,14640,2020-10-01
get,14451,2020-10-01
us,14208,2020-10-01
realdonaldtrump,13647,2020-10-01
hicks,13182,2020-10-01
health,12788,2020-10-01
2020,12560,2020-10-01
test,12508,2020-10-01
deaths,12332,2020-10-01
000,12214,2020-10-01
tests,12187,2020-10-01
news,12066,2020-10-01
like,11782,2020-10-01
da,10858,2020-10-01
mask,10612,2020-10-01
casos,10191,2020-10-01
pandemia,10166,2020-10-01
time,9758,2020-10-01
would,9711,2020-10-01
di,9678,2020-10-01
vaccine,9419,2020-10-01
president,9121,2020-10-01
10,9081,2020-10-01
need,8898,2020-10-01
know,8412,2020-10-01
says,8338,2020-10-01
india,8269,2020-10-01
et,8269,2020-10-01
help,8132,2020-10-01
today,8083,2020-10-01
many,7550,2020-10-01
tested,7548,2020-10-01
study,7541,2020-10-01
day,7525,2020-10-01
still,7405,2020-10-01
first,7272,2020-10-01
quarantine,7229,2020-10-01
world,7193,2020-10-01
please,7119,2020-10-01
des,6964,2020-10-01
could,6921,2020-10-01
care,6906,2020-10-01
due,6890,2020-10-01
see,6677,2020-10-01
state,6676,2020-10-01
go,6656,2020-10-01
back,6655,2020-10-01
government,6604,2020-10-01
getting,6588,2020-10-01
the,6555,2020-10-01
house,6528,2020-10-01
il,6438,2020-10-01
testing,6434,2020-10-01
take,6429,2020-10-01
si,6288,2020-10-01
wear,6260,2020-10-01
well,6203,2020-10-01
good,6154,2020-10-01
going,6058,2020-10-01
even,6023,2020-10-01
work,5969,2020-10-01
death,5902,2020-10-01
public,5894,2020-10-01
may,5849,2020-10-01
said,5849,2020-10-01
aide,5823,2020-10-01
home,5732,2020-10-01
top,5729,2020-10-01
die,5715,2020-10-01
est,5681,2020-10-01
masks,5654,2020-10-01
say,5611,2020-10-01
dan,5570,2020-10-01
total,5541,2020-10-01
think,5512,2020-10-01
read,5497,2020-10-01
spread,5474,2020-10-01
year,5458,2020-10-01
make,5396,2020-10-01
jairbolsonaro,5382,2020-10-01
vote,5378,2020-10-01
lockdown,5371,2020-10-01
milhões,5330,2020-10-01
americans,5321,2020-10-01
20,5299,2020-10-01
also,5264,2020-10-01
per,5249,2020-10-01
testes,5164,2020-10-01
du,5159,2020-10-01
corona,5096,2020-10-01
safe,5091,2020-10-01
support,5050,2020-10-01
week,5033,2020-10-01
re,5022,2020-10-01
data,5010,2020-10-01
presidente,4999,2020-10-01
risk,4998,2020-10-01
october,4990,2020-10-01
keep,4989,2020-10-01
social,4986,2020-10-01
doctor,4962,2020-10-01
way,4956,2020-10-01
na,4939,2020-10-01
right,4926,2020-10-01
michelle,4894,2020-10-01
