term,amount,date
covid,238661,2020-10-06
19,209004,2020-10-06
coronavirus,161959,2020-10-06
covid19,144785,2020-10-06
trump,123996,2020-10-06
people,45219,2020-10-06
realdonaldtrump,43119,2020-10-06
amp,40839,2020-10-06
president,29525,2020-10-06
new,27016,2020-10-06
positive,26039,2020-10-06
get,25383,2020-10-06
cases,24751,2020-10-06
via,24660,2020-10-06
house,24500,2020-10-06
like,24427,2020-10-06
us,23985,2020-10-06
virus,23385,2020-10-06
white,23344,2020-10-06
pandemic,21380,2020-10-06
one,20898,2020-10-06
mask,18097,2020-10-06
says,17827,2020-10-06
000,17387,2020-10-06
would,17297,2020-10-06
health,17127,2020-10-06
news,15814,2020-10-06
flu,15802,2020-10-06
taatiprokeshindarikerumunan,15647,2020-10-06
deaths,15632,2020-10-06
americans,15099,2020-10-06
still,15005,2020-10-06
know,14419,2020-10-06
di,14271,2020-10-06
2020,13893,2020-10-06
vote,13781,2020-10-06
time,13758,2020-10-06
need,13448,2020-10-06
biden,13309,2020-10-06
care,12969,2020-10-06
election,12911,2020-10-06
even,12776,2020-10-06
donald,12769,2020-10-06
10,12588,2020-10-06
tests,12578,2020-10-06
could,12267,2020-10-06
test,11752,2020-10-06
take,11732,2020-10-06
many,11694,2020-10-06
vaccine,11610,2020-10-06
relief,11575,2020-10-06
going,11546,2020-10-06
world,11509,2020-10-06
go,11509,2020-10-06
said,11318,2020-10-06
let,11135,2020-10-06
think,10978,2020-10-06
want,10919,2020-10-06
back,10898,2020-10-06
help,10874,2020-10-06
tested,10803,2020-10-06
see,10729,2020-10-06
re,10659,2020-10-06
well,10559,2020-10-06
die,10422,2020-10-06
debate,10283,2020-10-06
say,10266,2020-10-06
infected,10159,2020-10-06
casos,9954,2020-10-06
day,9923,2020-10-06
stimulus,9914,2020-10-06
the,9908,2020-10-06
good,9902,2020-10-06
right,9873,2020-10-06
really,9620,2020-10-06
penyebaran,9565,2020-10-06
death,9558,2020-10-06
today,9344,2020-10-06
days,9163,2020-10-06
hospital,9033,2020-10-06
died,9006,2020-10-06
please,8972,2020-10-06
man,8909,2020-10-06
government,8907,2020-10-06
make,8857,2020-10-06
country,8843,2020-10-06
first,8816,2020-10-06
america,8808,2020-10-06
last,8710,2020-10-06
got,8676,2020-10-06
gop,8646,2020-10-06
work,8592,2020-10-06
year,8506,2020-10-06
may,8470,2020-10-06
way,8447,2020-10-06
spread,8422,2020-10-06
life,8376,2020-10-06
american,8294,2020-10-06
live,8250,2020-10-06
miller,8150,2020-10-06
also,7966,2020-10-06
due,7919,2020-10-06
masks,7907,2020-10-06
keep,7885,2020-10-06
stop,7806,2020-10-06
testing,7792,2020-10-06
much,7766,2020-10-06
great,7740,2020-10-06
another,7590,2020-10-06
wear,7403,2020-10-06
never,7388,2020-10-06
getting,7353,2020-10-06
il,7346,2020-10-06
jaga,7312,2020-10-06
et,7278,2020-10-06
stephen,7253,2020-10-06
jarak,7234,2020-10-06
everyone,7203,2020-10-06
public,7193,2020-10-06
cdc,7162,2020-10-06
since,6995,2020-10-06
