term,amount,date
coronavirus,329716,2020-04-01
covid19,152555,2020-04-01
covid,145358,2020-04-01
19,138151,2020-04-01
nan,87801,2020-04-01
people,41802,2020-04-01
amp,39295,2020-04-01
trump,35107,2020-04-01
via,34940,2020-04-01
us,31192,2020-04-01
pandemic,28574,2020-04-01
new,26080,2020-04-01
cases,24980,2020-04-01
china,24348,2020-04-01
virus,24210,2020-04-01
like,21481,2020-04-01
news,21344,2020-04-01
get,20909,2020-04-01
time,20715,2020-04-01
covidー19,20712,2020-04-01
one,20678,2020-04-01
help,20508,2020-04-01
crisis,20170,2020-04-01
000,19027,2020-04-01
need,17460,2020-04-01
home,17306,2020-04-01
world,16906,2020-04-01
health,16685,2020-04-01
na,16418,2020-04-01
si,16008,2020-04-01
please,15607,2020-04-01
deaths,15512,2020-04-01
di,15450,2020-04-01
would,14804,2020-04-01
april,14473,2020-04-01
know,14336,2020-04-01
stay,14317,2020-04-01
government,13488,2020-04-01
lockdown,13129,2020-04-01
2020,13053,2020-04-01
day,12840,2020-04-01
could,12667,2020-04-01
et,12562,2020-04-01
due,12514,2020-04-01
realdonaldtrump,12459,2020-04-01
good,12374,2020-04-01
corona,11849,2020-04-01
go,11675,2020-04-01
still,11507,2020-04-01
many,11401,2020-04-01
die,11249,2020-04-01
see,11205,2020-04-01
going,11173,2020-04-01
il,11049,2020-04-01
even,11018,2020-04-01
first,10980,2020-04-01
today,10971,2020-04-01
des,10951,2020-04-01
take,10931,2020-04-01
may,10757,2020-04-01
test,10500,2020-04-01
right,10472,2020-04-01
spread,10456,2020-04-01
work,10442,2020-04-01
death,10213,2020-04-01
make,10186,2020-04-01
outbreak,10083,2020-04-01
says,9985,2020-04-01
da,9814,2020-04-01
positive,9807,2020-04-01
hospital,9760,2020-04-01
est,9710,2020-04-01
well,9705,2020-04-01
fight,9658,2020-04-01
think,9654,2020-04-01
du,9640,2020-04-01
response,9577,2020-04-01
country,9576,2020-04-01
sa,9527,2020-04-01
social,9434,2020-04-01
casos,9234,2020-04-01
state,9225,2020-04-01
per,9161,2020-04-01
re,9111,2020-04-01
uk,9110,2020-04-01
let,9092,2020-04-01
the,9038,2020-04-01
patients,8965,2020-04-01
testing,8944,2020-04-01
also,8832,2020-04-01
president,8819,2020-04-01
say,8792,2020-04-01
pour,8759,2020-04-01
care,8722,2020-04-01
said,8699,2020-04-01
really,8634,2020-04-01
keep,8553,2020-04-01
stop,8546,2020-04-01
support,8519,2020-04-01
back,8459,2020-04-01
way,8268,2020-04-01
medical,8097,2020-04-01
much,8083,2020-04-01
great,8055,2020-04-01
live,7988,2020-04-01
total,7942,2020-04-01
want,7846,2020-04-01
workers,7831,2020-04-01
10,7420,2020-04-01
everyone,7372,2020-04-01
public,7336,2020-04-01
read,7315,2020-04-01
days,7234,2020-04-01
amid,7160,2020-04-01
india,7116,2020-04-01
gt,7114,2020-04-01
thank,7034,2020-04-01
safe,6973,2020-04-01
times,6925,2020-04-01
100,6875,2020-04-01
masks,6858,2020-04-01
video,6845,2020-04-01
come,6820,2020-04-01
got,6795,2020-04-01
every,6784,2020-04-01
media,6768,2020-04-01
youtube,6735,2020-04-01
life,6634,2020-04-01
quarantine,6604,2020-04-01
use,6599,2020-04-01
man,6591,2020-04-01
pandemia,6540,2020-04-01
year,6540,2020-04-01
business,6521,2020-04-01
non,6496,2020-04-01
god,6438,2020-04-01
ang,6430,2020-04-01
lives,6423,2020-04-01
face,6413,2020-04-01
must,6378,2020-04-01
daily,6372,2020-04-01
two,6317,2020-04-01
made,6306,2020-04-01
pas,6303,2020-04-01
true,6265,2020-04-01
vía,6229,2020-04-01
last,6207,2020-04-01
ng,6147,2020-04-01
family,6141,2020-04-01
real,6131,2020-04-01
hope,6106,2020-04-01
working,6043,2020-04-01
dan,6038,2020-04-01
update,6008,2020-04-01
to,5962,2020-04-01
free,5928,2020-04-01
au,5876,2020-04-01
never,5872,2020-04-01
covid_19,5853,2020-04-01
gobierno,5802,2020-04-01
usa,5799,2020-04-01
20,5789,2020-04-01
global,5777,2020-04-01
weeks,5748,2020-04-01
number,5742,2020-04-01
tests,5739,2020-04-01
une,5738,2020-04-01
chinese,5697,2020-04-01
thanks,5659,2020-04-01
latest,5639,2020-04-01
america,5631,2020-04-01
dr,5629,2020-04-01
look,5616,2020-04-01
since,5584,2020-04-01
call,5570,2020-04-01
30,5514,2020-04-01
better,5471,2020-04-01
americans,5441,2020-04-01
tested,5409,2020-04-01
house,5395,2020-04-01
around,5389,2020-04-01
twitter,5366,2020-04-01
thing,5357,2020-04-01
ve,5315,2020-04-01
money,5285,2020-04-01
job,5263,2020-04-01
ca,5245,2020-04-01
data,5199,2020-04-01
love,5192,2020-04-01
confirmed,5179,2020-04-01
getting,5159,2020-04-01
already,5151,2020-04-01
information,5146,2020-04-01
another,5131,2020-04-01
give,5125,2020-04-01
com,5109,2020-04-01
died,5097,2020-04-01
best,5072,2020-04-01
york,5067,2020-04-01
em,5063,2020-04-01
week,5059,2020-04-01
case,5059,2020-04-01
community,5043,2020-04-01
nhs,5010,2020-04-01
distancing,4979,2020-04-01
mundo,4973,2020-04-01
cnn,4958,2020-04-01
casa,4956,2020-04-01
staff,4939,2020-04-01
million,4937,2020-04-01
states,4906,2020-04-01
check,4901,2020-04-01
needs,4890,2020-04-01
sur,4870,2020-04-01
qui,4860,2020-04-01
order,4856,2020-04-01
ne,4850,2020-04-01
done,4816,2020-04-01
food,4809,2020-04-01
stayhome,4805,2020-04-01
fools,4798,2020-04-01
joke,4784,2020-04-01
salud,4779,2020-04-01
doctors,4777,2020-04-01
march,4769,2020-04-01
ser,4768,2020-04-01
risk,4709,2020-04-01
symptoms,4707,2020-04-01
flu,4694,2020-04-01
app,4672,2020-04-01
online,4645,2020-04-01
shit,4629,2020-04-01
next,4613,2020-04-01
old,4613,2020-04-01
stayathome,4598,2020-04-01
something,4592,2020-04-01
país,4589,2020-04-01
things,4573,2020-04-01
find,4571,2020-04-01
ppe,4567,2020-04-01
cuarentena,4542,2020-04-01
in,4541,2020-04-01
anyone,4541,2020-04-01
watch,4516,2020-04-01
report,4511,2020-04-01
trying,4499,2020-04-01
fuck,4493,2020-04-01
govt,4476,2020-04-01
gente,4465,2020-04-01
va,4448,2020-04-01
together,4428,2020-04-01
war,4424,2020-04-01
long,4422,2020-04-01
put,4421,2020-04-01
post,4419,2020-04-01
coming,4417,2020-04-01
away,4416,2020-04-01
pay,4411,2020-04-01
dans,4411,2020-04-01
show,4393,2020-04-01
italy,4385,2020-04-01
mais,4369,2020-04-01
countries,4365,2020-04-01
eu,4359,2020-04-01
important,4337,2020-04-01
infected,4335,2020-04-01
oh,4328,2020-04-01
without,4292,2020-04-01
part,4285,2020-04-01
sure,4283,2020-04-01
end,4282,2020-04-01
place,4282,2020-04-01
plus,4276,2020-04-01
24,4275,2020-04-01
bad,4272,2020-04-01
someone,4261,2020-04-01
personas,4259,2020-04-01
não,4242,2020-04-01
national,4227,2020-04-01
emergency,4187,2020-04-01
nothing,4185,2020-04-01
protect,4179,2020-04-01
15,4170,2020-04-01
save,4148,2020-04-01
situation,4148,2020-04-01
yet,4143,2020-04-01
numbers,4131,2020-04-01
american,4123,2020-04-01
tell,4115,2020-04-01
mga,4096,2020-04-01
and,4073,2020-04-01
enough,4062,2020-04-01
big,4048,2020-04-01
ce,4046,2020-04-01
hospitals,4045,2020-04-01
article,4022,2020-04-01
12,4003,2020-04-01
ever,3986,2020-04-01
taking,3966,2020-04-01
je,3959,2020-04-01
che,3953,2020-04-01
healthcare,3944,2020-04-01
making,3921,2020-04-01
sick,3906,2020-04-01
far,3904,2020-04-01
yes,3889,2020-04-01
par,3887,2020-04-01
years,3852,2020-04-01
using,3845,2020-04-01
hoy,3844,2020-04-01
disease,3838,2020-04-01
updates,3837,2020-04-01
month,3818,2020-04-01
españa,3813,2020-04-01
city,3811,2020-04-01
might,3809,2020-04-01
others,3805,2020-04-01
doctor,3796,2020-04-01
rt,3772,2020-04-01
ahora,3764,2020-04-01
believe,3755,2020-04-01
white,3745,2020-04-01
start,3739,2020-04-01
change,3732,2020-04-01
relief,3721,2020-04-01
50,3720,2020-04-01
toll,3713,2020-04-01
saying,3712,2020-04-01
coronavírus,3693,2020-04-01
bill,3692,2020-04-01
11,3687,2020-04-01
van,3684,2020-04-01
person,3676,2020-04-01
muertos,3664,2020-04-01
fucking,3661,2020-04-01
fake,3657,2020-04-01
impact,3653,2020-04-01
called,3644,2020-04-01
police,3639,2020-04-01
economy,3638,2020-04-01
this,3627,2020-04-01
share,3625,2020-04-01
solo,3625,2020-04-01
mas,3624,2020-04-01
always,3592,2020-04-01
breaking,3592,2020-04-01
anything,3588,2020-04-01
sign,3578,2020-04-01
full,3577,2020-04-01
13,3574,2020-04-01
reported,3557,2020-04-01
local,3528,2020-04-01
open,3519,2020-04-01
medidas,3516,2020-04-01
plan,3516,2020-04-01
self,3506,2020-04-01
wuhan,3501,2020-04-01
der,3501,2020-04-01
florida,3493,2020-04-01
france,3483,2020-04-01
dies,3465,2020-04-01
soon,3463,2020-04-01
vous,3461,2020-04-01
county,3457,2020-04-01
everything,3447,2020-04-01
of,3444,2020-04-01
wrong,3442,2020-04-01
it,3440,2020-04-01
mask,3413,2020-04-01
presidente,3408,2020-04-01
team,3396,2020-04-01
lot,3378,2020-04-01
de,3373,2020-04-01
months,3372,2020-04-01
dos,3366,2020-04-01
lost,3363,2020-04-01
dead,3351,2020-04-01
jan,3345,2020-04-01
hard,3335,2020-04-01
hands,3334,2020-04-01
follow,3321,2020-04-01
human,3315,2020-04-01
act,3313,2020-04-01
gov,3310,2020-04-01
así,3293,2020-04-01
feb,3292,2020-04-01
ecuador,3283,2020-04-01
join,3280,2020-04-01
instead,3277,2020-04-01
pa,3272,2020-04-01
bien,3268,2020-04-01
feel,3263,2020-04-01
businesses,3255,2020-04-01
aprilfoolsday,3253,2020-04-01
control,3243,2020-04-01
ini,3233,2020-04-01
vaccine,3225,2020-04-01
told,3211,2020-04-01
ago,3211,2020-04-01
hit,3206,2020-04-01
top,3197,2020-04-01
point,3182,2020-04-01
yang,3176,2020-04-01
कर,3174,2020-04-01
um,3162,2020-04-01
high,3160,2020-04-01
least,3129,2020-04-01
día,3125,2020-04-01
rate,3116,2020-04-01
sad,3109,2020-04-01
provide,3106,2020-04-01
force,3102,2020-04-01
ai,3099,2020-04-01
measures,3077,2020-04-01
continue,3072,2020-04-01
mayor,3067,2020-04-01
supplies,3066,2020-04-01
travel,3062,2020-04-01
across,3052,2020-04-01
confinement,3052,2020-04-01
story,3050,2020-04-01
looking,3048,2020-04-01
whole,3048,2020-04-01
und,3048,2020-04-01
14,3045,2020-04-01
thought,3041,2020-04-01
dying,3032,2020-04-01
ll,3029,2020-04-01
little,3021,2020-04-01
rel,3017,2020-04-01
href,3012,2020-04-01
nofollow,3012,2020-04-01
spreading,3007,2020-04-01
coronaviruspandemic,3003,2020-04-01
no,3003,2020-04-01
31,3001,2020-04-01
essential,2999,2020-04-01
potus,2997,2020-04-01
maybe,2989,2020-04-01
possible,2987,2020-04-01
gop,2976,2020-04-01
governor,2970,2020-04-01
hacer,2968,2020-04-01
questions,2963,2020-04-01
actually,2952,2020-04-01
info,2943,2020-04-01
reports,2930,2020-04-01
listen,2921,2020-04-01
system,2913,2020-04-01
action,2907,2020-04-01
cause,2905,2020-04-01
fighting,2899,2020-04-01
economic,2894,2020-04-01
link,2892,2020-04-01
friends,2892,2020-04-01
200,2891,2020-04-01
pm,2887,2020-04-01
wow,2877,2020-04-01
is,2870,2020-04-01
you,2861,2020-04-01
nous,2854,2020-04-01
used,2845,2020-04-01
we,2835,2020-04-01
puede,2831,2020-04-01
services,2830,2020-04-01
briefing,2824,2020-04-01
personal,2818,2020-04-01
gracias,2818,2020-04-01
early,2815,2020-04-01
small,2809,2020-04-01
tweet,2803,2020-04-01
remember,2787,2020-04-01
makes,2766,2020-04-01
problem,2766,2020-04-01
ventilators,2765,2020-04-01
kill,2760,2020-04-01
impeachment,2751,2020-04-01
el,2745,2020-04-01
truth,2744,2020-04-01
nation,2740,2020-04-01
das,2717,2020-04-01
fund,2715,2020-04-01
service,2712,2020-04-01
ka,2708,2020-04-01
related,2706,2020-04-01
officials,2705,2020-04-01
experts,2700,2020-04-01
qu,2696,2020-04-01
abril,2687,2020-04-01
18,2687,2020-04-01
staysafe,2671,2020-04-01
socialdistancing,2662,2020-04-01
on,2661,2020-04-01
worst,2659,2020-04-01
south,2655,2020-04-01
helping,2652,2020-04-01
question,2644,2020-04-01
yg,2641,2020-04-01
needed,2639,2020-04-01
italia,2637,2020-04-01
cdc,2637,2020-04-01
research,2634,2020-04-01
quedateencasa,2634,2020-04-01
hace,2633,2020-04-01
hoax,2626,2020-04-01
ver,2625,2020-04-01
lies,2623,2020-04-01
01,2607,2020-04-01
found,2607,2020-04-01
cure,2606,2020-04-01
learn,2604,2020-04-01
contact,2602,2020-04-01
else,2601,2020-04-01
school,2600,2020-04-01
yung,2599,2020-04-01
general,2597,2020-04-01
रह,2585,2020-04-01
25,2584,2020-04-01
bbc,2583,2020-04-01
fool,2581,2020-04-01
available,2579,2020-04-01
air,2574,2020-04-01
ask,2571,2020-04-01
children,2562,2020-04-01
federal,2555,2020-04-01
close,2551,2020-04-01
isolation,2550,2020-04-01
worse,2546,2020-04-01
donald,2545,2020-04-01
current,2544,2020-04-01
knew,2543,2020-04-01
families,2542,2020-04-01
wait,2540,2020-04-01
administration,2538,2020-04-01
caso,2537,2020-04-01
