term,amount,date
covid,168651,2020-08-26
19,154323,2020-08-26
coronavirus,137357,2020-08-26
covid19,110412,2020-08-26
cases,29870,2020-08-26
amp,27778,2020-08-26
new,25398,2020-08-26
people,25068,2020-08-26
trump,23125,2020-08-26
pandemic,21880,2020-08-26
us,16877,2020-08-26
via,15820,2020-08-26
testing,15287,2020-08-26
deaths,14883,2020-08-26
health,14598,2020-08-26
casos,14302,2020-08-26
get,13983,2020-08-26
virus,13789,2020-08-26
2020,12827,2020-08-26
news,12508,2020-08-26
000,12138,2020-08-26
cdc,12113,2020-08-26
like,11757,2020-08-26
one,11351,2020-08-26
test,10940,2020-08-26
need,10737,2020-08-26
time,10429,2020-08-26
help,10288,2020-08-26
di,9627,2020-08-26
26,9297,2020-08-26
vaccine,9075,2020-08-26
positive,8858,2020-08-26
says,8719,2020-08-26
students,8696,2020-08-26
please,8577,2020-08-26
postponejee_neetincovid,8535,2020-08-26
would,8173,2020-08-26
due,8008,2020-08-26
know,8005,2020-08-26
realdonaldtrump,7988,2020-08-26
si,7970,2020-08-26
world,7841,2020-08-26
day,7682,2020-08-26
today,7599,2020-08-26
many,7519,2020-08-26
state,7484,2020-08-26
10,7264,2020-08-26
may,7210,2020-08-26
could,7193,2020-08-26
still,7146,2020-08-26
government,7105,2020-08-26
back,7048,2020-08-26
go,7010,2020-08-26
school,6958,2020-08-26
il,6937,2020-08-26
see,6916,2020-08-26
pandemia,6907,2020-08-26
24,6894,2020-08-26
da,6886,2020-08-26
total,6882,2020-08-26
et,6850,2020-08-26
even,6844,2020-08-26
death,6800,2020-08-26
die,6676,2020-08-26
spread,6659,2020-08-26
india,6600,2020-08-26
corona,6589,2020-08-26
data,6577,2020-08-26
going,6549,2020-08-26
work,6540,2020-08-26
antistudentmodigovt,6521,2020-08-26
first,6466,2020-08-26
postponeneetjee_today,6465,2020-08-26
good,6449,2020-08-26
china,6423,2020-08-26
home,6398,2020-08-26
tested,6247,2020-08-26
take,6168,2020-08-26
tests,6066,2020-08-26
dan,6042,2020-08-26
say,6037,2020-08-26
schools,5983,2020-08-26
care,5971,2020-08-26
crisis,5967,2020-08-26
lockdown,5928,2020-08-26
make,5916,2020-08-26
the,5826,2020-08-26
said,5758,2020-08-26
country,5746,2020-08-26
per,5732,2020-08-26
also,5684,2020-08-26
des,5608,2020-08-26
response,5572,2020-08-26
want,5563,2020-08-26
well,5512,2020-08-26
na,5512,2020-08-26
public,5476,2020-08-26
year,5463,2020-08-26
re,5455,2020-08-26
since,5412,2020-08-26
masks,5357,2020-08-26
salud,5352,2020-08-26
change,5328,2020-08-26
let,5326,2020-08-26
mask,5310,2020-08-26
live,5301,2020-08-26
social,5300,2020-08-26
patients,5298,2020-08-26
think,5229,2020-08-26
read,5220,2020-08-26
du,5180,2020-08-26
right,5159,2020-08-26
guidelines,5114,2020-08-26
americans,5100,2020-08-26
nuevos,5078,2020-08-26
states,5030,2020-08-26
narendramodi,5005,2020-08-26
way,4990,2020-08-26
risk,4967,2020-08-26
last,4956,2020-08-26
number,4816,2020-08-26
keep,4809,2020-08-26
days,4805,2020-08-26
update,4793,2020-08-26
est,4780,2020-08-26
august,4748,2020-08-26
support,4667,2020-08-26
stop,4603,2020-08-26
lives,4547,2020-08-26
life,4519,2020-08-26
much,4481,2020-08-26
20,4474,2020-08-26
children,4430,2020-08-26
safe,4425,2020-08-26
covid_19,4411,2020-08-26
president,4407,2020-08-26
face,4383,2020-08-26
uk,4379,2020-08-26
dr,4317,2020-08-26
hospital,4301,2020-08-26
top,4290,2020-08-26
pakaimaskerlebihaman,4274,2020-08-26
global,4254,2020-08-26
two,4238,2020-08-26
case,4232,2020-08-26
