term,amount,date
covid,227139,2020-07-14
coronavirus,214148,2020-07-14
19,207804,2020-07-14
covid19,176123,2020-07-14
cases,45276,2020-07-14
people,41947,2020-07-14
amp,41223,2020-07-14
new,38367,2020-07-14
trump,36032,2020-07-14
pandemic,33180,2020-07-14
us,31044,2020-07-14
via,25910,2020-07-14
get,24450,2020-07-14
virus,24408,2020-07-14
deaths,23075,2020-07-14
health,22785,2020-07-14
one,22458,2020-07-14
like,22151,2020-07-14
news,21661,2020-07-14
vaccine,18328,2020-07-14
mask,18308,2020-07-14
realdonaldtrump,17816,2020-07-14
casos,17295,2020-07-14
time,17147,2020-07-14
masks,17089,2020-07-14
would,16621,2020-07-14
positive,16137,2020-07-14
world,15885,2020-07-14
2020,15610,2020-07-14
need,15361,2020-07-14
know,14799,2020-07-14
testing,14775,2020-07-14
000,14701,2020-07-14
first,14701,2020-07-14
florida,14292,2020-07-14
state,13947,2020-07-14
could,13814,2020-07-14
test,13766,2020-07-14
go,13377,2020-07-14
help,13356,2020-07-14
back,13348,2020-07-14
says,13347,2020-07-14
going,13125,2020-07-14
many,13099,2020-07-14
14,12992,2020-07-14
data,12735,2020-07-14
death,12653,2020-07-14
please,12350,2020-07-14
day,12349,2020-07-14
still,12221,2020-07-14
good,11957,2020-07-14
see,11895,2020-07-14
tested,11820,2020-07-14
even,11790,2020-07-14
july,11734,2020-07-14
response,11722,2020-07-14
today,11502,2020-07-14
school,11262,2020-07-14
lockdown,11134,2020-07-14
re,11007,2020-07-14
spread,10967,2020-07-14
china,10867,2020-07-14
si,10855,2020-07-14
schools,10741,2020-07-14
work,10720,2020-07-14
think,10669,2020-07-14
face,10662,2020-07-14
take,10567,2020-07-14
wear,10532,2020-07-14
pandemia,10483,2020-07-14
due,10406,2020-07-14
may,10346,2020-07-14
much,10318,2020-07-14
total,10273,2020-07-14
crisis,10139,2020-07-14
home,10100,2020-07-14
make,9942,2020-07-14
public,9914,2020-07-14
government,9807,2020-07-14
da,9758,2020-07-14
right,9711,2020-07-14
want,9707,2020-07-14
cdc,9671,2020-07-14
country,9640,2020-07-14
na,9596,2020-07-14
care,9550,2020-07-14
said,9445,2020-07-14
patients,9328,2020-07-14
10,9262,2020-07-14
states,9230,2020-07-14
the,9193,2020-07-14
numbers,9188,2020-07-14
well,9182,2020-07-14
also,9076,2020-07-14
say,8993,2020-07-14
stop,8800,2020-07-14
let,8688,2020-07-14
way,8666,2020-07-14
di,8579,2020-07-14
read,8517,2020-07-14
die,8418,2020-07-14
live,8399,2020-07-14
america,8374,2020-07-14
children,8342,2020-07-14
covid_19,8216,2020-07-14
year,8190,2020-07-14
hospital,8114,2020-07-14
dr,8106,2020-07-14
tests,7992,2020-07-14
really,7974,2020-07-14
keep,7967,2020-07-14
hospitals,7910,2020-07-14
days,7830,2020-07-14
india,7774,2020-07-14
control,7670,2020-07-14
et,7641,2020-07-14
report,7598,2020-07-14
corona,7572,2020-07-14
lives,7487,2020-07-14
since,7463,2020-07-14
americans,7402,2020-07-14
months,7391,2020-07-14
last,7345,2020-07-14
social,7313,2020-07-14
must,7281,2020-07-14
risk,7224,2020-07-14
every,7214,2020-07-14
rate,7172,2020-07-14
president,7139,2020-07-14
great,7107,2020-07-14
24,7069,2020-07-14
number,7048,2020-07-14
house,6986,2020-07-14
kids,6933,2020-07-14
everyone,6883,2020-07-14
reported,6880,2020-07-14
per,6850,2020-07-14
uk,6849,2020-07-14
safe,6809,2020-07-14
look,6751,2020-07-14
wearing,6726,2020-07-14
life,6697,2020-07-14
got,6621,2020-07-14
13,6542,2020-07-14
economy,6535,2020-07-14
support,6496,2020-07-14
salud,6485,2020-07-14
texas,6482,2020-07-14
county,6482,2020-07-14
million,6473,2020-07-14
fauci,6465,2020-07-14
il,6324,2020-07-14
20,6203,2020-07-14
business,6193,2020-07-14
long,6192,2020-07-14
better,6159,2020-07-14
students,6136,2020-07-14
two,6114,2020-07-14
immune,6110,2020-07-14
died,6100,2020-07-14
shows,6099,2020-07-14
daily,6072,2020-07-14
15,6068,2020-07-14
reports,6067,2020-07-14
case,6051,2020-07-14
another,6027,2020-07-14
open,6017,2020-07-14
stay,6006,2020-07-14
results,5996,2020-07-14
update,5991,2020-07-14
em,5968,2020-07-14
real,5956,2020-07-14
plan,5943,2020-07-14
getting,5938,2020-07-14
worse,5901,2020-07-14
to,5900,2020-07-14
100,5870,2020-07-14
administration,5859,2020-07-14
never,5830,2020-07-14
ca,5812,2020-07-14
medical,5795,2020-07-14
times,5747,2020-07-14
usa,5722,2020-07-14
global,5720,2020-07-14
latest,5703,2020-07-14
come,5693,2020-07-14
study,5691,2020-07-14
family,5599,2020-07-14
around,5573,2020-07-14
amid,5572,2020-07-14
next,5553,2020-07-14
du,5533,2020-07-14
week,5506,2020-07-14
in,5473,2020-07-14
made,5472,2020-07-14
workers,5471,2020-07-14
countries,5459,2020-07-14
man,5440,2020-07-14
trial,5432,2020-07-14
vacuna,5360,2020-07-14
nuevos,5326,2020-07-14
des,5306,2020-07-14
california,5259,2020-07-14
science,5200,2020-07-14
flu,5142,2020-07-14
show,5132,2020-07-14
contagios,5107,2020-07-14
impact,5056,2020-07-14
free,5016,2020-07-14
gt,5006,2020-07-14
gop,4994,2020-07-14
media,4985,2020-07-14
use,4963,2020-07-14
30,4961,2020-07-14
large,4957,2020-07-14
thing,4953,2020-07-14
post,4946,2020-07-14
est,4926,2020-07-14
yet,4876,2020-07-14
without,4824,2020-07-14
online,4822,2020-07-14
person,4795,2020-07-14
white,4783,2020-07-14
ve,4777,2020-07-14
put,4775,2020-07-14
money,4774,2020-07-14
information,4772,2020-07-14
com,4763,2020-07-14
infected,4758,2020-07-14
hope,4714,2020-07-14
end,4704,2020-07-14
mil,4699,2020-07-14
believe,4698,2020-07-14
weeks,4684,2020-07-14
job,4671,2020-07-14
anyone,4659,2020-07-14
outbreak,4656,2020-07-14
done,4640,2020-07-14
personas,4639,2020-07-14
nothing,4638,2020-07-14
national,4621,2020-07-14
high,4613,2020-07-14
país,4612,2020-07-14
12,4610,2020-07-14
disease,4607,2020-07-14
find,4584,2020-07-14
protect,4557,2020-07-14
updates,4553,2020-07-14
start,4547,2020-07-14
confirmed,4515,2020-07-14
thank,4509,2020-07-14
surge,4508,2020-07-14
working,4507,2020-07-14
11,4494,2020-07-14
thanks,4474,2020-07-14
something,4442,2020-07-14
reporting,4433,2020-07-14
give,4432,2020-07-14
sure,4424,2020-07-14
bad,4422,2020-07-14
check,4414,2020-07-14
dan,4407,2020-07-14
mundo,4397,2020-07-14
truth,4381,2020-07-14
away,4367,2020-07-14
second,4354,2020-07-14
years,4327,2020-07-14
community,4322,2020-07-14
needs,4321,2020-07-14
party,4316,2020-07-14
york,4312,2020-07-14
american,4306,2020-07-14
recovery,4295,2020-07-14
wrong,4288,2020-07-14
ahead,4273,2020-07-14
best,4270,2020-07-14
already,4252,2020-07-14
quarantine,4240,2020-07-14
governor,4230,2020-07-14
top,4211,2020-07-14
watch,4179,2020-07-14
article,4177,2020-07-14
fight,4173,2020-07-14
record,4156,2020-07-14
someone,4140,2020-07-14
staff,4138,2020-07-14
and,4135,2020-07-14
tell,4121,2020-07-14
ever,4115,2020-07-14
things,4100,2020-07-14
positivo,4094,2020-07-14
far,4088,2020-07-14
youtube,4064,2020-07-14
city,4060,2020-07-14
big,4059,2020-07-14
local,4048,2020-07-14
old,4048,2020-07-14
non,4035,2020-07-14
sick,4025,2020-07-14
teachers,4019,2020-07-14
hoy,4018,2020-07-14
coming,3986,2020-07-14
oh,3984,2020-07-14
change,3974,2020-07-14
important,3972,2020-07-14
full,3971,2020-07-14
muertes,3969,2020-07-14
part,3966,2020-07-14
não,3962,2020-07-14
méxico,3958,2020-07-14
experts,3952,2020-07-14
trying,3945,2020-07-14
promising,3940,2020-07-14
businesses,3939,2020-07-14
reopening,3929,2020-07-14
enough,3928,2020-07-14
gov,3928,2020-07-14
video,3922,2020-07-14
lost,3915,2020-07-14
mais,3903,2020-07-14
cover,3890,2020-07-14
moderna,3890,2020-07-14
pour,3886,2020-07-14
ser,3878,2020-07-14
we,3845,2020-07-14
across,3845,2020-07-14
others,3826,2020-07-14
shit,3811,2020-07-14
less,3810,2020-07-14
biden,3800,2020-07-14
call,3796,2020-07-14
story,3760,2020-07-14
wave,3753,2020-07-14
gobierno,3750,2020-07-14
sa,3748,2020-07-14
dead,3741,2020-07-14
