date,business,canada,cases,close,closing,corona,coronavirus,covid,covid19,deaths,distancing,economy,epidemic,fake,hoax,masks,reopen,reopening,rise,rising,rules,schools,trump,virus
2020-08-18,4859,2024,31789,2176,,7944,150734,180948,142686,19454,2508,5026,,1773,1636,5785,1204,1309,2176,,1930,5638,26502,17375
2020-06-18,7176,2724,43269,2580,,8096,217131,215140,175929,16959,3738,6205,,2024,1807,12383,2656,3403,3401,2312,2296,2666,27317,19753
