term,amount,date
coronavirus,252610,2020-05-19
covid,201255,2020-05-19
19,198124,2020-05-19
covid19,138959,2020-05-19
nan,59124,2020-05-19
trump,35666,2020-05-19
new,33235,2020-05-19
people,29435,2020-05-19
cases,28196,2020-05-19
via,25235,2020-05-19
amp,24556,2020-05-19
pandemic,24326,2020-05-19
covid_19,22813,2020-05-19
news,21744,2020-05-19
us,21359,2020-05-19
lockdown2020,17035,2020-05-19
may,16770,2020-05-19
hydroxychloroquine,16649,2020-05-19
like,16638,2020-05-19
china,16551,2020-05-19
one,15982,2020-05-19
health,15784,2020-05-19
angiemotshekga,15557,2020-05-19
kadirgecesi,15435,2020-05-19
happybirthdayntr,15400,2020-05-19
ليله_27,15395,2020-05-19
ليلة_القدر,15382,2020-05-19
deaths,15324,2020-05-19
realdonaldtrump,14909,2020-05-19
casos,14345,2020-05-19
get,14192,2020-05-19
says,14078,2020-05-19
virus,13687,2020-05-19
lockdown,13685,2020-05-19
time,13277,2020-05-19
world,13219,2020-05-19
000,13059,2020-05-19
2020,12984,2020-05-19
crisis,12961,2020-05-19
da,12026,2020-05-19
di,11753,2020-05-19
vaccine,11450,2020-05-19
the,11430,2020-05-19
si,11294,2020-05-19
help,11092,2020-05-19
data,11012,2020-05-19
need,10898,2020-05-19
would,10805,2020-05-19
state,10530,2020-05-19
know,10422,2020-05-19
today,10349,2020-05-19
could,10336,2020-05-19
taking,10114,2020-05-19
na,10085,2020-05-19
home,10052,2020-05-19
positive,10042,2020-05-19
good,9746,2020-05-19
government,9519,2020-05-19
day,9513,2020-05-19
see,9235,2020-05-19
work,9130,2020-05-19
re,9114,2020-05-19
many,8985,2020-05-19
back,8949,2020-05-19
go,8916,2020-05-19
due,8852,2020-05-19
testing,8849,2020-05-19
take,8786,2020-05-19
first,8723,2020-05-19
il,8594,2020-05-19
em,8536,2020-05-19
care,8498,2020-05-19
death,8478,2020-05-19
india,8424,2020-05-19
corona,8291,2020-05-19
president,8152,2020-05-19
total,8135,2020-05-19
test,8114,2020-05-19
live,8070,2020-05-19
uk,8067,2020-05-19
response,8057,2020-05-19
et,8052,2020-05-19
going,8046,2020-05-19
des,7938,2020-05-19
to,7779,2020-05-19
global,7676,2020-05-19
still,7629,2020-05-19
per,7627,2020-05-19
say,7590,2020-05-19
pandemia,7589,2020-05-19
patients,7582,2020-05-19
dan,7568,2020-05-19
please,7553,2020-05-19
de,7498,2020-05-19
make,7484,2020-05-19
du,7483,2020-05-19
com,7437,2020-05-19
think,7357,2020-05-19
even,7291,2020-05-19
true,7232,2020-05-19
latest,7191,2020-05-19
florida,7056,2020-05-19
said,7024,2020-05-19
não,6944,2020-05-19
drug,6938,2020-05-19
let,6895,2020-05-19
want,6832,2020-05-19
well,6824,2020-05-19
update,6802,2020-05-19
really,6670,2020-05-19
100,6592,2020-05-19
right,6556,2020-05-19
obamagate,6525,2020-05-19
support,6378,2020-05-19
10,6350,2020-05-19
great,6324,2020-05-19
morbidlyobese,6291,2020-05-19
tuesdaythoughts,6285,2020-05-19
post,6180,2020-05-19
country,6178,2020-05-19
way,6166,2020-05-19
business,6146,2020-05-19
dr,6143,2020-05-19
in,6113,2020-05-19
much,6096,2020-05-19
contest,5988,2020-05-19
amid,5977,2020-05-19
tmobiletuesdays,5927,2020-05-19
18,5901,2020-05-19
die,5901,2020-05-19
workers,5864,2020-05-19
also,5845,2020-05-19
social,5844,2020-05-19
est,5826,2020-05-19
mask,5786,2020-05-19
lindungi,5743,2020-05-19
twitter,5733,2020-05-19
read,5727,2020-05-19
man,5719,2020-05-19
face,5687,2020-05-19
gunakan,5667,2020-05-19
public,5645,2020-05-19
brasil,5629,2020-05-19
20,5624,2020-05-19
states,5613,2020-05-19
dirimu,5605,2020-05-19
daily,5590,2020-05-19
mais,5562,2020-05-19
year,5547,2020-05-19
spread,5445,2020-05-19
two,5420,2020-05-19
look,5372,2020-05-19
pour,5361,2020-05-19
got,5202,2020-05-19
tests,5179,2020-05-19
last,5146,2020-05-19
stay,5137,2020-05-19
stop,5103,2020-05-19
must,5098,2020-05-19
outbreak,5070,2020-05-19
24,5015,2020-05-19
of,5000,2020-05-19
eu,4991,2020-05-19
hospital,4982,2020-05-19
app,4956,2020-05-19
million,4951,2020-05-19
impact,4946,2020-05-19
rel,4935,2020-05-19
reopening,4908,2020-05-19
open,4907,2020-05-19
gobierno,4899,2020-05-19
days,4897,2020-05-19
another,4892,2020-05-19
keep,4867,2020-05-19
times,4863,2020-05-19
youtube,4843,2020-05-19
17,4842,2020-05-19
confirmed,4830,2020-05-19
href,4828,2020-05-19
nofollow,4823,2020-05-19
come,4799,2020-05-19
since,4796,2020-05-19
pandemi,4793,2020-05-19
fight,4786,2020-05-19
medical,4766,2020-05-19
and,4763,2020-05-19
number,4760,2020-05-19
week,4743,2020-05-19
usa,4740,2020-05-19
real,4687,2020-05-19
um,4687,2020-05-19
economy,4668,2020-05-19
life,4658,2020-05-19
use,4618,2020-05-19
thanks,4614,2020-05-19
país,4613,2020-05-19
america,4601,2020-05-19
free,4590,2020-05-19
video,4589,2020-05-19
study,4578,2020-05-19
never,4572,2020-05-19
nuevos,4483,2020-05-19
masks,4468,2020-05-19
every,4465,2020-05-19
thank,4464,2020-05-19
media,4463,2020-05-19
vía,4458,2020-05-19
tested,4416,2020-05-19
safe,4403,2020-05-19
au,4383,2020-05-19
made,4364,2020-05-19
report,4355,2020-05-19
co,4334,2020-05-19
ser,4304,2020-05-19
mundo,4274,2020-05-19
la,4263,2020-05-19
ca,4263,2020-05-19
risk,4260,2020-05-19
sa,4260,2020-05-19
mil,4230,2020-05-19
updates,4182,2020-05-19
numbers,4177,2020-05-19
case,4166,2020-05-19
homes,4158,2020-05-19
died,4156,2020-05-19
long,4152,2020-05-19
reports,4150,2020-05-19
money,4148,2020-05-19
big,4137,2020-05-19
county,4129,2020-05-19
pas,4127,2020-05-19
working,4123,2020-05-19
hope,4122,2020-05-19
une,4122,2020-05-19
salud,4092,2020-05-19
check,4082,2020-05-19
coronavírus,4060,2020-05-19
plan,4055,2020-05-19
end,4051,2020-05-19
online,3993,2020-05-19
americans,3962,2020-05-19
gente,3957,2020-05-19
va,3921,2020-05-19
non,3879,2020-05-19
children,3874,2020-05-19
article,3862,2020-05-19
ve,3860,2020-05-19
polri,3827,2020-05-19
reopen,3826,2020-05-19
hoy,3817,2020-05-19
dos,3809,2020-05-19
getting,3798,2020-05-19
th,3790,2020-05-19
food,3789,2020-05-19
watch,3741,2020-05-19
bbc,3741,2020-05-19
everyone,3740,2020-05-19
york,3725,2020-05-19
sur,3722,2020-05-19
experts,3702,2020-05-19
moderna,3701,2020-05-19
thing,3696,2020-05-19
en,3672,2020-05-19
presidente,3666,2020-05-19
30,3657,2020-05-19
el,3647,2020-05-19
top,3645,2020-05-19
next,3644,2020-05-19
love,3644,2020-05-19
around,3638,2020-05-19
call,3612,2020-05-19
give,3611,2020-05-19
yes,3605,2020-05-19
best,3590,2020-05-19
countries,3589,2020-05-19
web,3571,2020-05-19
better,3566,2020-05-19
years,3542,2020-05-19
cuarentena,3523,2020-05-19
family,3510,2020-05-19
dans,3506,2020-05-19
día,3493,2020-05-19
mas,3491,2020-05-19
future,3488,2020-05-19
schools,3481,2020-05-19
part,3474,2020-05-19
early,3469,2020-05-19
relief,3461,2020-05-19
school,3450,2020-05-19
businesses,3445,2020-05-19
national,3438,2020-05-19
oms,3435,2020-05-19
shows,3435,2020-05-19
bill,3428,2020-05-19
old,3425,2020-05-19
important,3423,2020-05-19
job,3402,2020-05-19
donald,3394,2020-05-19
restrictions,3390,2020-05-19
gt,3380,2020-05-19
masker,3353,2020-05-19
toll,3346,2020-05-19
thought,3346,2020-05-19
using,3340,2020-05-19
ne,3337,2020-05-19
show,3331,2020-05-19
story,3326,2020-05-19
without,3322,2020-05-19
join,3311,2020-05-19
yuk,3303,2020-05-19
muertes,3302,2020-05-19
high,3302,2020-05-19
city,3301,2020-05-19
no,3293,2020-05-19
vacuna,3287,2020-05-19
personas,3280,2020-05-19
quarantine,3267,2020-05-19
believe,3267,2020-05-19
staff,3261,2020-05-19
done,3258,2020-05-19
house,3253,2020-05-19
rate,3221,2020-05-19
france,3217,2020-05-19
12,3214,2020-05-19
start,3201,2020-05-19
sobat,3195,2020-05-19
research,3190,2020-05-19
