date,business,canada,cases,close,closing,corona,coronavirus,covid,covid19,deaths,distancing,economy,epidemic,fake,hoax,masks,reopen,reopening,rise,rising,rules,schools,trump,virus
2020-08-19,5060,1601,29889,1700,,7158,150580,181402,123356,16623,2236,4690,,1609,1282,5743,1146,1549,1964,,1721,5202,17142,15284
2020-05-23,5581,2526,34566,2385,,9976,271273,194693,157412,22417,4011,6091,,2465,2639,6268,3368,3095,1957,,9365,2311,32928,23009
