term,amount,date
covid,203613,2020-06-30
coronavirus,197864,2020-06-30
19,188241,2020-06-30
covid19,155813,2020-06-30
cases,45973,2020-06-30
amp,38333,2020-06-30
people,37494,2020-06-30
new,36892,2020-06-30
pandemic,33202,2020-06-30
us,29599,2020-06-30
virus,23085,2020-06-30
trump,22697,2020-06-30
via,22525,2020-06-30
like,19119,2020-06-30
get,18925,2020-06-30
one,18624,2020-06-30
health,18076,2020-06-30
news,18004,2020-06-30
000,17250,2020-06-30
casos,17034,2020-06-30
2020,16452,2020-06-30
deaths,15852,2020-06-30
world,14841,2020-06-30
time,14503,2020-06-30
china,14232,2020-06-30
mask,14222,2020-06-30
day,14137,2020-06-30
positive,14133,2020-06-30
need,13641,2020-06-30
realdonaldtrump,13496,2020-06-30
could,13359,2020-06-30
would,13181,2020-06-30
lockdown,12906,2020-06-30
na,12686,2020-06-30
know,12520,2020-06-30
masks,12515,2020-06-30
30,12323,2020-06-30
many,12175,2020-06-30
going,11960,2020-06-30
di,11919,2020-06-30
today,11787,2020-06-30
back,11638,2020-06-30
still,11554,2020-06-30
help,11548,2020-06-30
go,11513,2020-06-30
due,11343,2020-06-30
see,11341,2020-06-30
test,10967,2020-06-30
state,10907,2020-06-30
crisis,10828,2020-06-30
please,10705,2020-06-30
si,10659,2020-06-30
says,10590,2020-06-30
even,10330,2020-06-30
pandemia,10275,2020-06-30
may,10190,2020-06-30
spread,9989,2020-06-30
first,9965,2020-06-30
re,9905,2020-06-30
vaccine,9838,2020-06-30
good,9595,2020-06-30
death,9555,2020-06-30
10,9548,2020-06-30
100,9547,2020-06-30
country,9485,2020-06-30
testing,9445,2020-06-30
home,9341,2020-06-30
take,9330,2020-06-30
fauci,9316,2020-06-30
states,9297,2020-06-30
government,9148,2020-06-30
corona,9112,2020-06-30
work,9095,2020-06-30
the,9087,2020-06-30
da,8969,2020-06-30
care,8946,2020-06-30
right,8894,2020-06-30
wear,8860,2020-06-30
total,8764,2020-06-30
said,8727,2020-06-30
think,8668,2020-06-30
india,8645,2020-06-30
also,8511,2020-06-30
make,8499,2020-06-30
public,8456,2020-06-30
