date,business,canada,cases,close,closing,corona,coronavirus,covid,covid19,deaths,distancing,economy,epidemic,fake,hoax,masks,reopen,reopening,rise,rising,rules,schools,trump,virus
2020-07-28,5576,2407,32784,2578,,9190,194956,221031,176502,17751,2657,4663,,3452,2687,8325,1730,1837,2396,1586,1803,5852,40359,20041
2020-07-01,6961,3409,51979,4168,,8841,224588,218067,152482,19060,3870,7188,,2586,6663,14931,2713,4574,4232,2056,1950,3551,31616,22704
