term,amount,date
coronavirus,321240,2020-04-09
covid,186855,2020-04-09
19,177003,2020-04-09
covid19,156135,2020-04-09
nan,82369,2020-04-09
people,41383,2020-04-09
amp,41146,2020-04-09
via,37883,2020-04-09
pandemic,32224,2020-04-09
new,31436,2020-04-09
trump,30414,2020-04-09
us,29711,2020-04-09
cases,24954,2020-04-09
news,24757,2020-04-09
virus,23901,2020-04-09
get,20949,2020-04-09
like,20908,2020-04-09
crisis,20509,2020-04-09
one,19922,2020-04-09
china,19303,2020-04-09
health,18938,2020-04-09
help,18809,2020-04-09
time,18375,2020-04-09
deaths,18032,2020-04-09
world,17276,2020-04-09
lockdown,17067,2020-04-09
need,16695,2020-04-09
home,16377,2020-04-09
dan,16243,2020-04-09
000,15398,2020-04-09
di,14910,2020-04-09
ikutiaturancegahcorona,14769,2020-04-09
si,14581,2020-04-09
would,14384,2020-04-09
please,14232,2020-04-09
covidー19,14118,2020-04-09
et,13930,2020-04-09
know,13546,2020-04-09
untuk,13490,2020-04-09
realdonaldtrump,13445,2020-04-09
death,12855,2020-04-09
good,12812,2020-04-09
could,12804,2020-04-09
government,12561,2020-04-09
il,12472,2020-04-09
see,12444,2020-04-09
des,12385,2020-04-09
dengan,12120,2020-04-09
2020,11956,2020-04-09
many,11784,2020-04-09
work,11736,2020-04-09
says,11719,2020-04-09
rantai,11468,2020-04-09
du,11453,2020-04-09
mari,11392,2020-04-09
testing,11327,2020-04-09
go,11284,2020-04-09
casos,11264,2020-04-09
due,11197,2020-04-09
stay,11193,2020-04-09
corona,11185,2020-04-09
support,11079,2020-04-09
day,10964,2020-04-09
today,10952,2020-04-09
10,10945,2020-04-09
mengikuti,10696,2020-04-09
still,10634,2020-04-09
patients,10632,2020-04-09
going,10505,2020-04-09
even,10483,2020-04-09
da,10471,2020-04-09
first,10428,2020-04-09
per,10391,2020-04-09
may,10369,2020-04-09
care,10359,2020-04-09
est,10302,2020-04-09
die,10124,2020-04-09
take,10086,2020-04-09
spread,10057,2020-04-09
pour,10043,2020-04-09
