term,amount,date
covid,196333,2020-08-12
19,180000,2020-08-12
coronavirus,171012,2020-08-12
covid19,139835,2020-08-12
new,32856,2020-08-12
cases,31390,2020-08-12
amp,31249,2020-08-12
people,27503,2020-08-12
pandemic,27283,2020-08-12
vaccine,21942,2020-08-12
trump,20710,2020-08-12
us,20263,2020-08-12
via,20043,2020-08-12
deaths,18644,2020-08-12
vacuna,17098,2020-08-12
virus,16824,2020-08-12
casos,15697,2020-08-12
health,15603,2020-08-12
news,15399,2020-08-12
get,15314,2020-08-12
one,14885,2020-08-12
like,14300,2020-08-12
2020,14076,2020-08-12
12,13455,2020-08-12
000,12790,2020-08-12
time,12235,2020-08-12
world,11806,2020-08-12
day,10778,2020-08-12
da,10621,2020-08-12
death,10599,2020-08-12
realdonaldtrump,10334,2020-08-12
positive,10301,2020-08-12
si,10281,2020-08-12
need,10178,2020-08-12
would,10077,2020-08-12
help,9983,2020-08-12
di,9976,2020-08-12
today,9741,2020-08-12
test,9696,2020-08-12
school,9627,2020-08-12
know,9601,2020-08-12
due,9570,2020-08-12
first,9432,2020-08-12
russia,9400,2020-08-12
back,9110,2020-08-12
uk,8820,2020-08-12
says,8738,2020-08-12
government,8735,2020-08-12
could,8611,2020-08-12
many,8599,2020-08-12
still,8528,2020-08-12
see,8482,2020-08-12
testing,8455,2020-08-12
pandemia,8427,2020-08-12
go,8302,2020-08-12
na,8300,2020-08-12
please,8246,2020-08-12
die,8209,2020-08-12
work,8060,2020-08-12
state,8058,2020-08-12
total,8011,2020-08-12
masks,7997,2020-08-12
corona,7996,2020-08-12
take,7977,2020-08-12
may,7876,2020-08-12
mask,7786,2020-08-12
even,7743,2020-08-12
crisis,7671,2020-08-12
going,7659,2020-08-12
china,7531,2020-08-12
lockdown,7443,2020-08-12
good,7372,2020-08-12
country,7288,2020-08-12
make,7265,2020-08-12
the,7139,2020-08-12
per,7128,2020-08-12
10,7123,2020-08-12
home,6992,2020-08-12
et,6987,2020-08-12
20,6845,2020-08-12
read,6839,2020-08-12
well,6713,2020-08-12
live,6640,2020-08-12
re,6606,2020-08-12
schools,6590,2020-08-12
spread,6554,2020-08-12
data,6545,2020-08-12
care,6501,2020-08-12
said,6464,2020-08-12
also,6457,2020-08-12
argentina,6454,2020-08-12
think,6429,2020-08-12
children,6426,2020-08-12
safe,6414,2020-08-12
public,6339,2020-08-12
salud,6326,2020-08-12
il,6313,2020-08-12
11,6284,2020-08-12
right,6217,2020-08-12
india,6189,2020-08-12
year,6150,2020-08-12
economy,6141,2020-08-12
com,6112,2020-08-12
dr,6110,2020-08-12
since,6093,2020-08-12
students,6036,2020-08-12
tests,5984,2020-08-12
não,5976,2020-08-12
em,5965,2020-08-12
response,5962,2020-08-12
social,5919,2020-08-12
hospital,5895,2020-08-12
way,5859,2020-08-12
want,5841,2020-08-12
million,5786,2020-08-12
positivo,5748,2020-08-12
last,5720,2020-08-12
say,5711,2020-08-12
24,5689,2020-08-12
stop,5601,2020-08-12
support,5600,2020-08-12
number,5565,2020-08-12
florida,5559,2020-08-12
du,5510,2020-08-12
let,5504,2020-08-12
days,5495,2020-08-12
100,5494,2020-08-12
daily,5461,2020-08-12
august,5405,2020-08-12
business,5319,2020-08-12
nuevos,5244,2020-08-12
americans,5229,2020-08-12
update,5199,2020-08-12
face,5170,2020-08-12
risk,5163,2020-08-12
recession,5126,2020-08-12
really,5116,2020-08-12
much,5109,2020-08-12
des,5098,2020-08-12
stay,5087,2020-08-12
times,5042,2020-08-12
tested,4974,2020-08-12
putin,4971,2020-08-12
great,4969,2020-08-12
months,4938,2020-08-12
keep,4897,2020-08-12
states,4893,2020-08-12
post,4836,2020-08-12
patients,4823,2020-08-12
plan,4785,2020-08-12
president,4777,2020-08-12
est,4742,2020-08-12
county,4731,2020-08-12
reported,4724,2020-08-12
community,4686,2020-08-12
every,4654,2020-08-12
kids,4641,2020-08-12
died,4641,2020-08-12
latest,4626,2020-08-12
must,4614,2020-08-12
hoy,4608,2020-08-12
use,4606,2020-08-12
impact,4598,2020-08-12
rate,4552,2020-08-12
life,4530,2020-08-12
two,4509,2020-08-12
global,4468,2020-08-12
país,4445,2020-08-12
long,4404,2020-08-12
dan,4356,2020-08-12
case,4338,2020-08-12
america,4334,2020-08-12
ser,4317,2020-08-12
look,4302,2020-08-12
contagios,4269,2020-08-12
another,4210,2020-08-12
got,4206,2020-08-12
in,4200,2020-08-12
never,4193,2020-08-12
usa,4186,2020-08-12
report,4178,2020-08-12
week,4165,2020-08-12
gt,4164,2020-08-12
mil,4161,2020-08-12
come,4122,2020-08-12
better,4114,2020-08-12
safety,4110,2020-08-12
made,4104,2020-08-12
high,4101,2020-08-12
mundo,4072,2020-08-12
media,4052,2020-08-12
check,4028,2020-08-12
méxico,4020,2020-08-12
to,4018,2020-08-12
confirmed,4017,2020-08-12
mais,4011,2020-08-12
real,3984,2020-08-12
lives,3973,2020-08-12
next,3967,2020-08-12
numbers,3967,2020-08-12
día,3959,2020-08-12
weeks,3956,2020-08-12
free,3936,2020-08-12
rusia,3915,2020-08-12
everyone,3899,2020-08-12
years,3891,2020-08-12
job,3891,2020-08-12
man,3889,2020-08-12
big,3880,2020-08-12
watch,3867,2020-08-12
non,3850,2020-08-12
wear,3848,2020-08-12
aug,3833,2020-08-12
personas,3809,2020-08-12
outbreak,3808,2020-08-12
pour,3789,2020-08-12
workers,3776,2020-08-12
open,3758,2020-08-12
reports,3749,2020-08-12
ca,3714,2020-08-12
getting,3701,2020-08-12
video,3678,2020-08-12
amid,3677,2020-08-12
money,3673,2020-08-12
around,3657,2020-08-12
best,3631,2020-08-12
economic,3625,2020-08-12
30,3611,2020-08-12
toll,3604,2020-08-12
hope,3599,2020-08-12
sa,3570,2020-08-12
find,3558,2020-08-12
countries,3557,2020-08-12
dead,3552,2020-08-12
ve,3522,2020-08-12
agosto,3509,2020-08-12
relief,3491,2020-08-12
medical,3480,2020-08-12
done,3476,2020-08-12
dos,3475,2020-08-12
covid_19,3468,2020-08-12
recovery,3467,2020-08-12
contact,3449,2020-08-12
record,3448,2020-08-12
thanks,3442,2020-08-12
without,3437,2020-08-12
start,3436,2020-08-12
gobierno,3428,2020-08-12
13,3408,2020-08-12
flu,3407,2020-08-12
working,3372,2020-08-12
15,3364,2020-08-12
updates,3364,2020-08-12
part,3351,2020-08-12
team,3343,2020-08-12
va,3341,2020-08-12
gente,3338,2020-08-12
study,3330,2020-08-12
family,3330,2020-08-12
fauci,3322,2020-08-12
der,3320,2020-08-12
person,3305,2020-08-12
protect,3300,2020-08-12
fight,3295,2020-08-12
city,3292,2020-08-12
staff,3273,2020-08-12
zealand,3247,2020-08-12
article,3246,2020-08-12
put,3242,2020-08-12
yet,3233,2020-08-12
mas,3229,2020-08-12
pas,3227,2020-08-12
already,3226,2020-08-12
biden,3200,2020-08-12
wearing,3194,2020-08-12
ahora,3193,2020-08-12
local,3184,2020-08-12
thank,3182,2020-08-12
muertes,3179,2020-08-12
um,3165,2020-08-12
young,3154,2020-08-12
van,3147,2020-08-12
online,3145,2020-08-12
and,3121,2020-08-12
away,3118,2020-08-12
football,3116,2020-08-12
american,3107,2020-08-12
end,3106,2020-08-12
control,3084,2020-08-12
14,3082,2020-08-12
national,3081,2020-08-12
recovered,3075,2020-08-12
au,3067,2020-08-12
thing,3061,2020-08-12
eu,3054,2020-08-12
wednesday,3054,2020-08-12
quarantine,3051,2020-08-12
gop,3030,2020-08-12
youtube,3029,2020-08-12
research,3028,2020-08-12
air,3026,2020-08-12
information,3024,2020-08-12
give,3022,2020-08-12
positivos,3021,2020-08-12
important,3014,2020-08-12
harris,3011,2020-08-12
rusa,2997,2020-08-12
sure,2985,2020-08-12
presidente,2973,2020-08-12
de,2973,2020-08-12
top,2965,2020-08-12
ever,2960,2020-08-12
travel,2955,2020-08-12
love,2948,2020-08-12
disease,2939,2020-08-12
través,2937,2020-08-12
nothing,2932,2020-08-12
brasil,2920,2020-08-12
deal,2919,2020-08-12
