gram,counts,date
covid 19,134128,2020-04-01
coronavirus pandemic,9566,2020-04-01
coronavirus covid19,9232,2020-04-01
covid19 coronavirus,6970,2020-04-01
stay home,5271,2020-04-01
19 pandemic,5262,2020-04-01
coronavirus outbreak,4891,2020-04-01
coronavirus crisis,4767,2020-04-01
coronavirus cases,4603,2020-04-01
via youtube,4434,2020-04-01
april fools,4380,2020-04-01
new york,4368,2020-04-01
covidー19 coronavirus,4242,2020-04-01
social distancing,4158,2020-04-01
due coronavirus,4156,2020-04-01
amid coronavirus,3877,2020-04-01
coronavirus covid,3316,2020-04-01
fight coronavirus,3129,2020-04-01
death toll,3072,2020-04-01
rel nofollow,3012,2020-04-01
href rel,3012,2020-04-01
coronavirus via,2997,2020-04-01
coronavirus covidー19,2960,2020-04-01
true href,2950,2020-04-01
100 000,2863,2020-04-01
coronavirus lockdown,2821,2020-04-01
white house,2767,2020-04-01
19 cases,2729,2020-04-01
coronavirus response,2661,2020-04-01
19 crisis,2615,2020-04-01
nofollow twitter,2578,2020-04-01
tested positive,2516,2020-04-01
gt gt,2459,2020-04-01
new cases,2451,2020-04-01
covidー19 covid19,2403,2020-04-01
stay safe,2360,2020-04-01
coronavirus deaths,2350,2020-04-01
gon na,2289,2020-04-01
covid19 pandemic,2285,2020-04-01
due covid,2247,2020-04-01
positive coronavirus,2224,2020-04-01
donald trump,2174,2020-04-01
crisis coronavirus,2081,2020-04-01
19 outbreak,2056,2020-04-01
corona virus,2028,2020-04-01
spread coronavirus,2015,2020-04-01
sign petition,2001,2020-04-01
news coronavirus,1991,2020-04-01
confirmed cases,1909,2020-04-01
fake news,1908,2020-04-01
health care,1892,2020-04-01
public health,1882,2020-04-01
bbc news,1873,2020-04-01
du coronavirus,1860,2020-04-01
april fool,1829,2020-04-01
task force,1805,2020-04-01
new coronavirus,1750,2020-04-01
twitter web,1740,2020-04-01
trump coronavirus,1739,2020-04-01
year old,1680,2020-04-01
fight covid,1675,2020-04-01
coronavirus patients,1643,2020-04-01
united states,1634,2020-04-01
casos coronavirus,1591,2020-04-01
coronavirus death,1588,2020-04-01
president trump,1575,2020-04-01
petition via,1573,2020-04-01
19 patients,1540,2020-04-01
pandemia coronavirus,1536,2020-04-01
due covid19,1529,2020-04-01
web app,1513,2020-04-01
many people,1499,2020-04-01
positive covid,1491,2020-04-01
novel coronavirus,1469,2020-04-01
covid19 covidー19,1448,2020-04-01
us coronavirus,1427,2020-04-01
fox news,1413,2020-04-01
april 2020,1383,2020-04-01
at home,1376,2020-04-01
200 000,1359,2020-04-01
19 via,1358,2020-04-01
halimiskandarnu anwsanusi,1331,2020-04-01
cases coronavirus,1321,2020-04-01
taufikmadjid71 fachrilabalado,1307,2020-04-01
via ukchange,1300,2020-04-01
covid19 crisis,1286,2020-04-01
casos confirmados,1283,2020-04-01
home order,1276,2020-04-01
covid19 cases,1263,2020-04-01
amid covid,1260,2020-04-01
fight covid19,1258,2020-04-01
medical supplies,1248,2020-04-01
help us,1241,2020-04-01
imansyukri taufikmadjid71,1238,2020-04-01
coronavirus vía,1236,2020-04-01
adam schlesinger,1214,2020-04-01
240 000,1207,2020-04-01
stay at,1207,2020-04-01
anwsanusi malik_haramain,1202,2020-04-01
coronavirus testing,1199,2020-04-01
malik_haramain imansyukri,1198,2020-04-01
01 04,1188,2020-04-01
around world,1178,2020-04-01
first time,1177,2020-04-01
bill gates,1176,2020-04-01
two weeks,1151,2020-04-01
coronavirus update,1145,2020-04-01
good news,1144,2020-04-01
19 coronavirus,1142,2020-04-01
dies coronavirus,1140,2020-04-01
looks like,1106,2020-04-01
save lives,1097,2020-04-01
people dying,1090,2020-04-01
spread covid19,1080,2020-04-01
every day,1065,2020-04-01
social media,1065,2020-04-01
test positive,1048,2020-04-01
spread covid,1036,2020-04-01
healthcare workers,1032,2020-04-01
last week,1030,2020-04-01
19 virus,1021,2020-04-01
face masks,1021,2020-04-01
god bless,1020,2020-04-01
keep safe,1018,2020-04-01
relawandesalawancovid19 halimiskandarnu,1012,2020-04-01
fountains wayne,1007,2020-04-01
04 2020,1001,2020-04-01
mental health,998,2020-04-01
coronavirus task,996,2020-04-01
000 deaths,986,2020-04-01
safe coronavirus,980,2020-04-01
people died,976,2020-04-01
19 di,973,2020-04-01
positive cases,972,2020-04-01
response coronavirus,971,2020-04-01
live updates,968,2020-04-01
make sure,962,2020-04-01
coronavirus test,953,2020-04-01
wabah covid,952,2020-04-01
coronavirus live,949,2020-04-01
ee uu,949,2020-04-01
nuevos casos,947,2020-04-01
doctors nurses,943,2020-04-01
trump administration,939,2020-04-01
19 lockdown,936,2020-04-01
fools joke,932,2020-04-01
south korea,932,2020-04-01
please help,923,2020-04-01
il coronavirus,912,2020-04-01
mike lindell,904,2020-04-01
tests positive,903,2020-04-01
weeks ago,899,2020-04-01
casos covid,899,2020-04-01
wash hands,892,2020-04-01
19 response,890,2020-04-01
โคว ด19,879,2020-04-01
people die,878,2020-04-01
get coronavirus,878,2020-04-01
take care,877,2020-04-01
coronavirus spread,875,2020-04-01
24 hours,869,2020-04-01
covid covid19,866,2020-04-01
cases covid,864,2020-04-01
david mike,862,2020-04-01
bizbizeyeteriz covid,862,2020-04-01
covid_19 prior,862,2020-04-01
prior jorge,862,2020-04-01
suho bizbizeyeteriz,862,2020-04-01
cdtv covid_19,862,2020-04-01
19 deaths,855,2020-04-01
babu manu,854,2020-04-01
foraprior david,853,2020-04-01
covid cdtv,853,2020-04-01
lindell made,853,2020-04-01
trump suho,853,2020-04-01
manu foraprior,853,2020-04-01
jorge babu,853,2020-04-01
sars cov,852,2020-04-01
care workers,846,2020-04-01
protective equipment,846,2020-04-01
