gram,counts,date
covid 19 pandemic,5384,2020-10-08
covid 19 cases,5207,2020-10-08
positive covid 19,3584,2020-10-08
gold star families,2619,2020-10-08
trump covid 19,2446,2020-10-08
covid 19 vaccine,2321,2020-10-08
new covid 19,2303,2020-10-08
new england journal,1898,2020-10-08
coronavirus task force,1882,2020-10-08
england journal medicine,1853,2020-10-08
covid 19 test,1840,2020-10-08
due covid 19,1783,2020-10-08
covid 19 via,1678,2020-10-08
casos covid 19,1606,2020-10-08
spread covid 19,1592,2020-10-08
covid 19 patients,1459,2020-10-08
covid 19 diagnosis,1408,2020-10-08
covid 19 response,1266,2020-10-08
covid 19 outbreak,1161,2020-10-08
covid 19 testing,1139,2020-10-08
covid 19 deaths,1064,2020-10-08
coronavirus covid 19,1035,2020-10-08
cases covid 19,1004,2020-10-08
president donald trump,969,2020-10-08
covid 19 restrictions,968,2020-10-08
tested positive covid,962,2020-10-08
covid 19 di,950,2020-10-08
response covid 19,939,2020-10-08
covid 19 relief,921,2020-10-08
últimas 24 horas,906,2020-10-08
white house security,896,2020-10-08
vice presidential debate,894,2020-10-08
covid 19 tests,886,2020-10-08
covid 19 appropriate,876,2020-10-08
tested positive coronavirus,872,2020-10-08
19 appropriate behaviour,844,2020-10-08
covid 19 crisis,840,2020-10-08
prevent spread covid,835,2020-10-08
star families could,834,2020-10-08
connected white house,825,2020-10-08
tests positive covid,825,2020-10-08
given covid 19,817,2020-10-08
families could given,806,2020-10-08
34 people connected,805,2020-10-08
people connected white,805,2020-10-08
white house coronavirus,804,2020-10-08
pandemia covid 19,793,2020-10-08
jan andolan covid,788,2020-10-08
could given covid,780,2020-10-08
andolan covid 19,779,2020-10-08
new coronavirus cases,769,2020-10-08
covid 19 treatment,768,2020-10-08
covid 19 infection,765,2020-10-08
appropriate behaviour pledge,751,2020-10-08
negative covid 19,742,2020-10-08
covid 19 also,741,2020-10-08
derived fetal tissue,735,2020-10-08
previously known infected,733,2020-10-08
known infected coronavirus,732,2020-10-08
white house previously,722,2020-10-08
house previously known,722,2020-10-08
taken jan andolan,722,2020-10-08
amid covid 19,718,2020-10-08
head coronavirus task,717,2020-10-08
infected coronavirus internal,716,2020-10-08
pandemi covid 19,712,2020-10-08
says gold star,702,2020-10-08
impact covid 19,700,2020-10-08
precautions prevent spread,698,2020-10-08
necessary precautions prevent,692,2020-10-08
died covid 19,688,2020-10-08
taking necessary precautions,688,2020-10-08
behaviour pledge committed,667,2020-10-08
pledge committed responsibility,666,2020-10-08
committed responsibility taking,665,2020-10-08
responsibility taking necessary,665,2020-10-08
trump says gold,663,2020-10-08
positivo covid 19,652,2020-10-08
covid 19 update,645,2020-10-08
also take pledge,645,2020-10-08
covid 19 case,640,2020-10-08
19 also take,640,2020-10-08
covid 19 virus,620,2020-10-08
internal fema memo,620,2020-10-08
infected covid 19,614,2020-10-08
house security official,612,2020-10-08
take pledge via,610,2020-10-08
positif covid 19,608,2020-10-08
pledge via mygovindia,608,2020-10-08
contagios covid 19,587,2020-10-08
penyebaran covid 19,583,2020-10-08
covid 19 positive,582,2020-10-08
us leadership voted,571,2020-10-08
coronavirus internal fema,562,2020-10-08
test positive covid,559,2020-10-08
new york times,557,2020-10-08
08 10 2020,553,2020-10-08
fight covid 19,550,2020-10-08
210 000 americans,540,2020-10-08
tests positive coronavirus,537,2020-10-08
investors worried stalled,528,2020-10-08
worried stalled fiscal,528,2020-10-08
stalled fiscal stimulus,528,2020-10-08
fiscal stimulus talks,528,2020-10-08
upcoming election new,528,2020-10-08
covid 19 protocols,527,2020-10-08
voted covid 19,526,2020-10-08
september stock prices,526,2020-10-08
stock prices dropped,526,2020-10-08
prices dropped investors,526,2020-10-08
dropped investors worried,526,2020-10-08
stimulus talks upcoming,526,2020-10-08
talks upcoming election,526,2020-10-08
election new european,526,2020-10-08
new european coronavirus,526,2020-10-08
european coronavirus cases,526,2020-10-08
ill covid 19,522,2020-10-08
covid 19 death,522,2020-10-08
covid 19 failure,514,2020-10-08
calls us leadership,510,2020-10-08
india covid 19,510,2020-10-08
leadership voted covid,503,2020-10-08
da covid 19,502,2020-10-08
get covid 19,493,2020-10-08
covid 19 infections,493,2020-10-08
covid 19 blessing,484,2020-10-08
next presidential debate,474,2020-10-08
tested cells derived,468,2020-10-08
trump administration response,465,2020-10-08
white house covid,464,2020-10-08
covid 19 lockdown,463,2020-10-08
flu pneumonia combined,463,2020-10-08
du covid 19,451,2020-10-08
vacuna covid 19,446,2020-10-08
gravely ill covid,444,2020-10-08
president mike pence,440,2020-10-08
cells derived fetal,439,2020-10-08
fear covid 19,436,2020-10-08
covid 19 coronavirus,435,2020-10-08
covid 19 symptoms,431,2020-10-08
vice president mike,431,2020-10-08
people flu pneumonia,427,2020-10-08
hospitalized covid 19,422,2020-10-08
house covid 19,421,2020-10-08
symptom covid 19,413,2020-10-08
trump says wo,413,2020-10-08
chinese communist party,412,2020-10-08
covid 19 trump,412,2020-10-08
positivos covid 19,410,2020-10-08
house coronavirus outbreak,410,2020-10-08
free covid 19,408,2020-10-08
tested positive covid19,406,2020-10-08
covid 19 safety,404,2020-10-08
administration response covid,403,2020-10-08
fema memo abc,401,2020-10-08
memo abc news,401,2020-10-08
three times many,399,2020-10-08
coronavirus covid19 sarscov2,397,2020-10-08
new cases covid,394,2020-10-08
patuhi protokol kesehatan,394,2020-10-08
people covid 19,392,2020-10-08
covid 19 vaccines,392,2020-10-08
nuevos casos coronavirus,392,2020-10-08
covid 19 amp,391,2020-10-08
last 24 hours,390,2020-10-08
new covid19 cases,389,2020-10-08
19 blessing god,388,2020-10-08
times many people,388,2020-10-08
cure covid 19,387,2020-10-08
tweet urging americans,384,2020-10-08
trump tweet urging,381,2020-10-08
abc news via,380,2020-10-08
pandemic preparedness chief,380,2020-10-08
covid 19 reckless,379,2020-10-08
calls trump tweet,379,2020-10-08
nuevos casos covid,378,2020-10-08
wave covid 19,378,2020-10-08
preparedness chief calls,377,2020-10-08
chief calls trump,377,2020-10-08
medical journal calls,376,2020-10-08
covid19 sarscov2 forecast,376,2020-10-08
vp mike_pence marcshort45,376,2020-10-08
population coronavirus covid19,375,2020-10-08
mike_pence marcshort45 marty_obst,375,2020-10-08
scottwalker vp mike_pence,373,2020-10-08
catching covid 19,372,2020-10-08
new death population,372,2020-10-08
death population coronavirus,372,2020-10-08
take covid 19,372,2020-10-08
urging americans fear,372,2020-10-08
says covid 19,371,2020-10-08
ex pandemic preparedness,370,2020-10-08
second presidential debate,369,2020-10-08
americans fear covid,368,2020-10-08
killed three times,366,2020-10-08
covid 19 unrestricted,365,2020-10-08
19 reckless deadly,364,2020-10-08
19 unrestricted bioweapon,360,2020-10-08
many people flu,359,2020-10-08
000 americans died,357,2020-10-08
large scale organized,351,2020-10-08
scale organized scientific,351,2020-10-08
treating covid 19,350,2020-10-08
organized scientific fraud,350,2020-10-08
handling covid 19,349,2020-10-08
sars cov unrestricted,349,2020-10-08
news via abc,346,2020-10-08
cov unrestricted bioweapon,345,2020-10-08
post covid 19,341,2020-10-08
prevención covid 19,340,2020-10-08
covid 19 impact,339,2020-10-08
got covid 19,339,2020-10-08
donald trump coronavirus,338,2020-10-08
last tested negative,335,2020-10-08
covid 19 antibody,334,2020-10-08
covid 19 drug,332,2020-10-08
deaths covid 19,331,2020-10-08
india mitega india,330,2020-10-08
patients covid 19,328,2020-10-08
gt gt gt,327,2020-10-08
trump biden debate,327,2020-10-08
may exposed thousands,326,2020-10-08
