gram,counts,date
covid 19 cases,4959,2020-10-10
covid 19 pandemic,3550,2020-10-10
cases covid 19,3181,2020-10-10
new cases covid,2712,2020-10-10
000 new cases,2558,2020-10-10
50 000 new,2441,2020-10-10
first time since,2404,2020-10-10
covid 19 diagnosis,2344,2020-10-10
since mid august,2328,2020-10-10
covid 19 per,2291,2020-10-10
time since mid,2284,2020-10-10
day first time,2258,2020-10-10
reporting 50 000,2256,2020-10-10
per day first,2243,2020-10-10
19 per day,2242,2020-10-10
us reporting 50,2238,2020-10-10
covid 19 test,2179,2020-10-10
positive covid 19,1954,2020-10-10
new covid 19,1725,2020-10-10
since covid 19,1531,2020-10-10
casos covid 19,1425,2020-10-10
trump covid 19,1324,2020-10-10
new coronavirus cases,1257,2020-10-10
penyebaran covid 19,1232,2020-10-10
covid 19 vaccine,1148,2020-10-10
due covid 19,1123,2020-10-10
covid 19 deaths,1089,2020-10-10
covid 19 via,1079,2020-10-10
covid 19 patients,1057,2020-10-10
spread covid 19,898,2020-10-10
event since covid,846,2020-10-10
mental health day,832,2020-10-10
christie released hospital,827,2020-10-10
chris christie released,818,2020-10-10
masks public transportation,799,2020-10-10
world mental health,787,2020-10-10
negative covid 19,783,2020-10-10
covid 19 treatment,779,2020-10-10
últimas 24 horas,773,2020-10-10
covid 19 di,765,2020-10-10
public event since,758,2020-10-10
requiring masks public,756,2020-10-10
positivo covid 19,756,2020-10-10
white house blocked,755,2020-10-10
president donald trump,754,2020-10-10
first public event,754,2020-10-10
white house event,749,2020-10-10
test covid 19,742,2020-10-10
mencegah penyebaran covid,735,2020-10-10
coronavirus covid 19,728,2020-10-10
white house coronavirus,728,2020-10-10
untuk mencegah penyebaran,726,2020-10-10
covid 19 outbreak,722,2020-10-10
chinese communist party,721,2020-10-10
tested positive coronavirus,702,2020-10-10
10 10 2020,700,2020-10-10
blocked requiring masks,696,2020-10-10
reports covid 19,689,2020-10-10
house blocked requiring,687,2020-10-10
pandemia covid 19,676,2020-10-10
kim jong un,667,2020-10-10
take covid 19,662,2020-10-10
covid 19 positive,626,2020-10-10
covid 19 restrictions,621,2020-10-10
covid 19 tests,621,2020-10-10
super spreader event,607,2020-10-10
uu cipta kerja,582,2020-10-10
hospital covid 19,575,2020-10-10
longer risk transmitting,574,2020-10-10
get covid 19,573,2020-10-10
tested positive covid,569,2020-10-10
covid 19 virus,565,2020-10-10
covid 19 testing,553,2020-10-10
first public appearance,549,2020-10-10
covid 19 response,548,2020-10-10
first in person,543,2020-10-10
treatment covid 19,541,2020-10-10
covid 19 crisis,540,2020-10-10
public appearance since,539,2020-10-10
gov chris christie,538,2020-10-10
covid 19 untukindonesiayangdamai,537,2020-10-10
died covid 19,533,2020-10-10
rapid test covid,523,2020-10-10
dilakukan untuk mencegah,522,2020-10-10
procedure pemeriksaaan rapid,521,2020-10-10
pemeriksaaan rapid test,521,2020-10-10
coronavirus task force,521,2020-10-10
trump holds first,516,2020-10-10
covid 19 infection,510,2020-10-10
unras uu cipta,502,2020-10-10
dalam melakukan pengamanan,501,2020-10-10
melakukan pengamanan unras,501,2020-10-10
pengamanan unras uu,501,2020-10-10
covid 19 dilakukan,501,2020-10-10
kesehatan tetap dijadikan,499,2020-10-10
tetap dijadikan prioritas,499,2020-10-10
prioritas polri dalam,499,2020-10-10
polri dalam melakukan,499,2020-10-10
19 dilakukan untuk,499,2020-10-10
dijadikan prioritas polri,498,2020-10-10
new york times,498,2020-10-10
cipta kerja procedure,496,2020-10-10
kerja procedure pemeriksaaan,496,2020-10-10
coronavirus covid_19 pandemic,494,2020-10-10
azerbaijan attacked artsakhrepublic,492,2020-10-10
sunday september 27th,492,2020-10-10
seconds ago sunday,487,2020-10-10
ago sunday september,487,2020-10-10
september 27th coronavirus,487,2020-10-10
27th coronavirus covid_19,487,2020-10-10
getting covid 19,486,2020-10-10
holds first public,484,2020-10-10
event white house,480,2020-10-10
amid covid 19,480,2020-10-10
on camera interview,476,2020-10-10
first on camera,474,2020-10-10
camera interview since,470,2020-10-10
covid 19 manufactured,468,2020-10-10
19 manufactured chinese,465,2020-10-10
shows evidence two,463,2020-10-10
evidence two reports,463,2020-10-10
two reports covid,463,2020-10-10
manufactured chinese communist,463,2020-10-10
covid 19 appropriate,459,2020-10-10
da covid 19,458,2020-10-10
covid 19 free,449,2020-10-10
positif covid 19,446,2020-10-10
protokol kesehatan tetap,444,2020-10-10
covid 19 relief,444,2020-10-10
19 appropriate behaviour,439,2020-10-10
attacked artsakhrepublic 13,439,2020-10-10
artsakhrepublic 13 days,439,2020-10-10
wear mask protect,438,2020-10-10
trump white house,436,2020-10-10
كورونا covid 19,435,2020-10-10
must wear mask,430,2020-10-10
pandemi covid 19,422,2020-10-10
فايروس كورونا covid,421,2020-10-10
covid 19 دون,421,2020-10-10
مقومات الرعاية الطبية,421,2020-10-10
الرعاية الطبية من,421,2020-10-10
الطبية من قبل,421,2020-10-10
من قبل مصلحة,421,2020-10-10
قبل مصلحة السجون,421,2020-10-10
مصلحة السجون الإسرائيلية,421,2020-10-10
السجون الإسرائيلية الحرية_لضياء_الأغا,419,2020-10-10
الإسرائيلية الحرية_لضياء_الأغا تيار_الاصلاح_حركة_فتح,419,2020-10-10
coronavirus still serious,418,2020-10-10
still serious must,418,2020-10-10
serious must wear,418,2020-10-10
mask protect heard,418,2020-10-10
protect heard amazon,418,2020-10-10
heard amazon unable,418,2020-10-10
amazon unable buy,418,2020-10-10
unable buy high,418,2020-10-10
buy high quality,418,2020-10-10
high quality masks,418,2020-10-10
quality masks recently,418,2020-10-10
masks recently good,418,2020-10-10
recently good news,418,2020-10-10
good news copy,418,2020-10-10
news copy ｕｓｈｏｐａｒｅａ,418,2020-10-10
copy ｕｓｈｏｐａｒｅａ google,418,2020-10-10
ｕｓｈｏｐａｒｅａ google search,418,2020-10-10
google search immediately,418,2020-10-10
search immediately successfully,418,2020-10-10
immediately successfully delivered,418,2020-10-10
successfully delivered within,418,2020-10-10
delivered within two,418,2020-10-10
within two days,418,2020-10-10
impact covid 19,415,2020-10-10
prevent spread covid,411,2020-10-10
covid 19 infections,409,2020-10-10
india mitega india,406,2020-10-10
الفلسطينيون يواجهون فايروس,406,2020-10-10
يواجهون فايروس كورونا,406,2020-10-10
19 دون أدنى,406,2020-10-10
دون أدنى مقومات,406,2020-10-10
أدنى مقومات الرعاية,406,2020-10-10
الأسرى الفلسطينيون يواجهون,405,2020-10-10
contagios covid 19,404,2020-10-10
new covid19 cases,398,2020-10-10
former nj gov,398,2020-10-10
christie leaves hospital,397,2020-10-10
nuevos casos coronavirus,396,2020-10-10
nuevos casos covid,396,2020-10-10
covid 19 also,395,2020-10-10
nj gov chris,395,2020-10-10
since coronavirus diagnosis,394,2020-10-10
last 24 hours,392,2020-10-10
florida coronavirus cases,391,2020-10-10
coronavirus cases despite,389,2020-10-10
trump hold first,387,2020-10-10
li meng yan,386,2020-10-10
in person event,385,2020-10-10
spike florida coronavirus,383,2020-10-10
amy coney barrett,380,2020-10-10
jan andolan covid,380,2020-10-10
covid 19 coronavirus,380,2020-10-10
risk transmitting coronavirus,380,2020-10-10
andolan covid 19,379,2020-10-10
chris christie leaves,379,2020-10-10
october 10 2020,377,2020-10-10
north korea covid,377,2020-10-10
korea covid 19,376,2020-10-10
covid 19 update,375,2020-10-10
trump made first,371,2020-10-10
worst coronavirus outbreak,364,2020-10-10
appropriate behaviour pledge,362,2020-10-10
muertes covid 19,360,2020-10-10
cases set new,360,2020-10-10
covid 19 spread,359,2020-10-10
mitega india mitega,357,2020-10-10
fight covid 19,355,2020-10-10
stimulus checks coronavirus,355,2020-10-10
checks coronavirus relief,354,2020-10-10
event since coronavirus,353,2020-10-10
one step forward,353,2020-10-10
taking necessary precautions,352,2020-10-10
dr li meng,352,2020-10-10
taken jan andolan,351,2020-10-10
step forward two,350,2020-10-10
latest white house,349,2020-10-10
forward two steps,349,2020-10-10
necessary precautions prevent,348,2020-10-10
precautions prevent spread,348,2020-10-10
hospital treatment covid,347,2020-10-10
two steps back,347,2020-10-10
coronavirus cases set,347,2020-10-10
covid 19 death,346,2020-10-10
first speech since,346,2020-10-10
responsibility taking necessary,345,2020-10-10
trump makes first,345,2020-10-10
committed responsibility taking,344,2020-10-10
99 recovery rate,344,2020-10-10
white house covid,342,2020-10-10
battling america worst,342,2020-10-10
america worst coronavirus,342,2020-10-10
leaving walter reed,342,2020-10-10
behaviour pledge committed,341,2020-10-10
pledge committed responsibility,341,2020-10-10
false claims trump,340,2020-10-10
new single day,339,2020-10-10
claims trump made,338,2020-10-10
house covid 19,337,2020-10-10
coronavirus outbreak state,336,2020-10-10
state broken politics,336,2020-10-10
infected covid 19,334,2020-10-10
also take pledge,334,2020-10-10
speech since getting,334,2020-10-10
coronavirus hit long,333,2020-10-10
diagnosis via youtube,333,2020-10-10
since getting covid,333,2020-10-10
pre dawn military,333,2020-10-10
dawn military parade,332,2020-10-10
declares north korea,332,2020-10-10
five false claims,332,2020-10-10
19 also take,331,2020-10-10
major pre dawn,331,2020-10-10
hit long knew,330,2020-10-10
wisconsin battling america,330,2020-10-10
jong un declares,329,2020-10-10
un declares north,328,2020-10-10
made first speech,328,2020-10-10
entertain empower educate,326,2020-10-10
empower educate talk,326,2020-10-10
0208 090 2121,326,2020-10-10
090 2121 hello,326,2020-10-10
2121 hello fantasticradio,326,2020-10-10
hello fantasticradio co,326,2020-10-10
fantasticradio co uk,326,2020-10-10
co uk homeofpossibilities,326,2020-10-10
uk homeofpossibilities believeyourpossibilities,326,2020-10-10
free major pre,326,2020-10-10
210 000 americans,324,2020-10-10
die covid 19,324,2020-10-10
19 free major,324,2020-10-10
despite mask mandate,323,2020-10-10
covid 19 numbers,321,2020-10-10
homeofpossibilities believeyourpossibilities buy,321,2020-10-10
believeyourpossibilities buy song,321,2020-10-10
government overreach covid,321,2020-10-10
overreach covid 19,321,2020-10-10
cases despite mask,320,2020-10-10
coronavirus covid19 sarscov2,320,2020-10-10
worried government overreach,320,2020-10-10
outbreak state broken,320,2020-10-10
take pledge via,319,2020-10-10
pledge via mygovindia,319,2020-10-10
educate talk us,317,2020-10-10
talk us 0208,317,2020-10-10
us 0208 090,317,2020-10-10
leaves hospital treatment,317,2020-10-10
covid 19 amp,315,2020-10-10
covid 19 case,315,2020-10-10
tests positive covid,313,2020-10-10
distancing mask wearing,313,2020-10-10
set new single,313,2020-10-10
trump longer risk,311,2020-10-10
positivos covid 19,310,2020-10-10
response covid 19,308,2020-10-10
dystopian one genuinely,307,2020-10-10
president trump hold,304,2020-10-10
tested covid 19,300,2020-10-10
new england journal,298,2020-10-10
du covid 19,298,2020-10-10
two month high,297,2020-10-10
coronavirus relief fade,297,2020-10-10
covid 19 recovery,296,2020-10-10
covid19 sarscov2 forecast,296,2020-10-10
new cases coronavirus,296,2020-10-10
result covid 19,296,2020-10-10
england journal medicine,296,2020-10-10
population coronavirus covid19,295,2020-10-10
india covid 19,295,2020-10-10
mask wearing work,294,2020-10-10
check five false,294,2020-10-10
developed using cells,293,2020-10-10
death population coronavirus,292,2020-10-10
person white house,291,2020-10-10
fact check five,291,2020-10-10
severe covid 19,290,2020-10-10
new death population,290,2020-10-10
makes first public,290,2020-10-10
hold first in,289,2020-10-10
relief fade latest,289,2020-10-10
fade latest offer,288,2020-10-10
10 10 20,287,2020-10-10
coronavirus restrictions achieve,287,2020-10-10
in person white,286,2020-10-10
recommends professional mask,286,2020-10-10
professional mask purchase,286,2020-10-10
mask purchase channel,286,2020-10-10
purchase channel hoping,286,2020-10-10
channel hoping virus,286,2020-10-10
hoping virus defeated,286,2020-10-10
latest offer trump,286,2020-10-10
offer trump draws,286,2020-10-10
interview since covid,285,2020-10-10
gold star families,284,2020-10-10
testing positive covid,283,2020-10-10
trump doctor says,283,2020-10-10
trump draws opposition,283,2020-10-10
covid 19 fora,282,2020-10-10
house event since,280,2020-10-10
prospects stimulus checks,280,2020-10-10
nine people attended,278,2020-10-10
19 fora uti,276,2020-10-10
people attended trump,275,2020-10-10
president longer risk,275,2020-10-10
south carolina senate,274,2020-10-10
lives changed considerably,274,2020-10-10
au covid 19,274,2020-10-10
covid 19 lockdown,273,2020-10-10
