gram,counts,date
covid 19 pandemic,5682,2020-10-01
covid 19 cases,4950,2020-10-01
testes covid 19,4650,2020-10-01
compra testes covid,4402,2020-10-01
positive covid 19,4387,2020-10-01
tests positive coronavirus,4227,2020-10-01
doados compra testes,4138,2020-10-01
milhões doados compra,4124,2020-10-01
auge da pandemia,4089,2020-10-01
projeto sua esposa,4058,2020-10-01
sua esposa michelle,4047,2020-10-01
hicks tests positive,4030,2020-10-01
hope hicks tests,3974,2020-10-01
michelle auge da,3954,2020-10-01
esposa michelle auge,3932,2020-10-01
covid 19 repassou,3899,2020-10-01
19 repassou dinheiro,3831,2020-10-01
repassou dinheiro projeto,3826,2020-10-01
dinheiro projeto sua,3813,2020-10-01
recommends professional mask,3627,2020-10-01
professional mask purchase,3625,2020-10-01
mask purchase channel,3625,2020-10-01
finalidade milhões doados,3602,2020-10-01
desviou finalidade milhões,3601,2020-10-01
purchase channel hoping,3572,2020-10-01
channel hoping virus,3572,2020-10-01
hoping virus defeated,3572,2020-10-01
aide hope hicks,3422,2020-10-01
jairbolsonaro senhor desviou,3375,2020-10-01
presidente jairbolsonaro senhor,3368,2020-10-01
senhor desviou finalidade,3365,2020-10-01
doctor friend recommends,3222,2020-10-01
friend recommends professional,3222,2020-10-01
wear fda approved,3220,2020-10-01
getting worse my,3219,2020-10-01
worse my doctor,3219,2020-10-01
my doctor friend,3219,2020-10-01
fda approved google,3219,2020-10-01
approved google searches,3219,2020-10-01
google searches ushoparea,3219,2020-10-01
comfortable wear fda,3167,2020-10-01
virus defeated comfortable,3166,2020-10-01
defeated comfortable wear,3166,2020-10-01
covid 19 getting,3050,2020-10-01
19 getting worse,3019,2020-10-01
covid 19 vaccine,2634,2020-10-01
covid 19 test,2312,2020-10-01
single largest driver,2157,2020-10-01
india covid 19,1980,2020-10-01
new covid 19,1849,2020-10-01
due covid 19,1812,2020-10-01
driver coronavirus misinformation,1768,2020-10-01
tested positive coronavirus,1748,2020-10-01
largest driver coronavirus,1732,2020-10-01
europe india covid,1675,2020-10-01
casos covid 19,1627,2020-10-01
tests positive covid,1531,2020-10-01
finds single largest,1484,2020-10-01
covid 19 via,1458,2020-10-01
study finds single,1452,2020-10-01
coronavirus misinformation trump,1408,2020-10-01
europe covid 19,1393,2020-10-01
trump aide hope,1376,2020-10-01
india europe covid,1341,2020-10-01
covid 19 testing,1318,2020-10-01
tested positive covid,1234,2020-10-01
covid 19 di,1223,2020-10-01
covid 19 deaths,1158,2020-10-01
hicks tested positive,1141,2020-10-01
penyebaran covid 19,1135,2020-10-01
hope hicks tested,1123,2020-10-01
covid 19 relief,1075,2020-10-01
amid covid 19,1037,2020-10-01
cases covid 19,1017,2020-10-01
covid 19 tests,1003,2020-10-01
president donald trump,983,2020-10-01
adviser hope hicks,971,2020-10-01
