gram,counts,date
covid 19 pandemic,5451,2020-09-21
covid 19 cases,5445,2020-09-21
new covid 19,2185,2020-09-21
positive covid 19,2165,2020-09-21
casos covid 19,2104,2020-09-21
covid 19 deaths,1934,2020-09-21
covid 19 vaccine,1902,2020-09-21
due covid 19,1671,2020-09-21
died covid 19,1442,2020-09-21
penyebaran covid 19,1300,2020-09-21
cases covid 19,1207,2020-09-21
masa pandemi covid19,1206,2020-09-21
pandemi covid19 ini,1205,2020-09-21
covid 19 di,1203,2020-09-21
pada masa pandemi,1203,2020-09-21
covid 19 via,1179,2020-09-21
covid 19 testing,1174,2020-09-21
covid 19 test,1149,2020-09-21
covid 19 crisis,1132,2020-09-21
200 000 americans,1130,2020-09-21
contagio covid 19,1129,2020-09-21
masker jaga jarak,1125,2020-09-21
pakai masker jaga,1117,2020-09-21
pandemia covid 19,1117,2020-09-21
pilkada yang aman,1110,2020-09-21
aman dan sehat,1104,2020-09-21
yang aman dan,1099,2020-09-21
demi berlangsungnya pilkada,1094,2020-09-21
berlangsungnya pilkada yang,1094,2020-09-21
taatprokessaatpilkada demi berlangsungnya,1092,2020-09-21
covid19 ini mari,1086,2020-09-21
ini mari taatprokessaatpilkada,1084,2020-09-21
mari taatprokessaatpilkada demi,1084,2020-09-21
jaga jarak cuci,1081,2020-09-21
dan sehat pakai,1079,2020-09-21
sehat pakai masker,1079,2020-09-21
dies covid 19,1065,2020-09-21
coronavirus airborne transmission,1045,2020-09-21
pandemi covid 19,1022,2020-09-21
new coronavirus cases,1012,2020-09-21
coronavirus covid 19,1007,2020-09-21
positif covid 19,996,2020-09-21
200 000 dead,933,2020-09-21
covid 19 puebla,912,2020-09-21
impact covid 19,910,2020-09-21
bajar altos índices,902,2020-09-21
índices contagio covid,899,2020-09-21
jarak cuci tangan,898,2020-09-21
altos índices contagio,895,2020-09-21
trabajar bajar altos,889,2020-09-21
ponerse trabajar bajar,885,2020-09-21
vez ponerse trabajar,865,2020-09-21
posted coronavirus airborne,865,2020-09-21
fallida perseguir opositores,857,2020-09-21
política fallida perseguir,856,2020-09-21
opositores vez ponerse,848,2020-09-21
perseguir opositores vez,847,2020-09-21
mbarbosamx sigue política,844,2020-09-21
sigue política fallida,844,2020-09-21
200 000 deaths,838,2020-09-21
covid 19 outbreak,830,2020-09-21
000 covid 19,817,2020-09-21
últimas 24 horas,809,2020-09-21
contagios covid 19,807,2020-09-21
covid 19 response,807,2020-09-21
spread covid 19,795,2020-09-21
tested positive covid,794,2020-09-21
barbosainquisidor mbarbosamx sigue,789,2020-09-21
da covid 19,784,2020-09-21
says guidelines posted,763,2020-09-21
guidelines posted coronavirus,759,2020-09-21
reverses says guidelines,752,2020-09-21
airborne transmission wrong,750,2020-09-21
cdc says coronavirus,737,2020-09-21
amid covid 19,734,2020-09-21
covid 19 restrictions,733,2020-09-21
cdc reverses says,728,2020-09-21
day mid october,725,2020-09-21
covid 19 lockdown,707,2020-09-21
covid 19 patients,699,2020-09-21
covid 19 update,694,2020-09-21
21 09 2020,690,2020-09-21
covid 19 death,689,2020-09-21
coronavirus alert level,688,2020-09-21
covid 19 tests,674,2020-09-21
pilkada serentak 2020,662,2020-09-21
covid 19 covid,656,2020-09-21
guidance airborne coronavirus,653,2020-09-21
covid 19 spread,648,2020-09-21
airborne coronavirus transmission,648,2020-09-21
covid 19 infections,646,2020-09-21
coronavirus spreads air,646,2020-09-21
was posted error,642,2020-09-21
200 million people,634,2020-09-21
hated face masks,629,2020-09-21
cdc abruptly removes,627,2020-09-21
face masks dies,625,2020-09-21
covid 19 ini,622,2020-09-21
official hated face,621,2020-09-21
19 covid 19,620,2020-09-21
trump loving former,610,2020-09-21
masks dies covid,610,2020-09-21
vacuna covid 19,607,2020-09-21
positivo covid 19,595,2020-09-21
september 21 2020,592,2020-09-21
removes guidance airborne,588,2020-09-21
99 recovery rate,582,2020-09-21
fight covid 19,579,2020-09-21
trumpssheep trumpssheep trumpssheep,574,2020-09-21
virus covid 19,563,2020-09-21
uk covid 19,558,2020-09-21
covid 19 relief,557,2020-09-21
uk coronavirus alert,550,2020-09-21
abruptly removes guidance,546,2020-09-21
aparat penegak hukum,543,2020-09-21
di tengah pilkada,542,2020-09-21
covid 19 case,542,2020-09-21
covid19 bukan halangan,541,2020-09-21
bukan halangan bagi,541,2020-09-21
halangan bagi aparat,541,2020-09-21
bagi aparat penegak,541,2020-09-21
penegak hukum dan,541,2020-09-21
